序号,基金代码,基金简称,日期,万份收益,年化收益率7日,年化收益率14日,年化收益率28日,近1月,近3月,近6月,近1年,近2年,近3年,近5年,今年来,成立来,手续费
55,009824,鹏华添利宝货币B,2026-04-23,0.3781,1.359,1.3575,1.3784,0.12,0.35,0.71,1.47,3.32,5.67,10.53,0.44,12.5,0.00%
56,015420,工银安盈货币D,2026-04-23,0.3561,1.352,1.3521,1.3891,0.12,0.34,0.71,1.47,3.31,5.68,,0.44,7.81,0.00%
57,270014,广发货币B,2026-04-23,0.3827,1.349,1.3659,1.3737,0.12,0.35,0.71,1.47,3.33,5.65,10.54,0.44,66.63,0.00%
58,675062,西部利得天添富货币B,2026-04-23,0.3963,1.353,1.364,1.3769,0.12,0.35,0.71,1.47,3.26,5.46,10.18,0.44,28.09,0.00%
59,630112,华商现金增利货币B,2026-04-23,0.3732,1.333,1.336,1.3385,0.11,0.34,0.7,1.47,3.31,5.62,9.52,0.43,39.53,0.00%
60,021998,信澳慧管家货币F,2026-04-23,0.3896,1.363,1.3737,1.378,0.12,0.35,0.71,1.47,,,,0.44,2.65,0.00%
61,000797,方正富邦金小宝货币A,2026-04-23,0.359,1.321,1.3401,1.3967,0.12,0.35,0.71,1.46,3.28,5.59,10.44,0.44,36.52,0.00%
62,001930,华夏收益宝货币B,2026-04-23,0.3482,1.288,1.3167,1.3851,0.12,0.35,0.71,1.46,3.32,5.65,10.52,0.44,30.84,0.00%
63,001909,创金合信货币A,2026-04-23,0.3242,1.222,1.3392,1.3689,0.12,0.34,0.7,1.46,3.31,5.64,10.45,0.43,30.38,0.00%
64,003399,太平日日金货币B,2026-04-23,0.5318,1.478,1.3838,1.303,0.11,0.33,0.72,1.46,3.19,5.33,9.7,0.43,24.95,0.00%
65,003679,国联现金增利货币C,2026-04-23,0.3374,1.239,1.2467,1.3554,0.11,0.34,0.7,1.46,3.28,5.54,10.4,0.43,28.25,0.00%
66,004199,华富天益货币B,2026-04-23,0.3572,1.322,1.3221,1.3871,0.12,0.35,0.7,1.46,3.25,5.45,10.09,0.44,25.04,0.00%
67,004216,兴业安润货币A,2026-04-23,0.4116,1.384,1.3768,1.399,0.12,0.34,0.7,1.46,3.3,5.48,9.73,0.43,24.92,0.00%
68,004198,华富天益货币A,2026-04-23,0.3572,1.322,1.3221,1.3871,0.12,0.35,0.7,1.46,3.25,5.41,9.5,0.44,23.09,0.00%
69,004251,华夏惠利货币B,2026-04-23,0.446,1.35,1.4012,1.4292,0.12,0.36,0.71,1.46,3.27,5.57,10.41,0.45,26.0,0.00%
70,583101,东吴货币B,2026-04-23,0.3566,1.301,1.288,1.3664,0.11,0.35,0.71,1.46,3.32,5.47,9.72,0.43,54.09,0.00%
71,000790,易方达龙宝货币B,2026-04-23,0.3803,1.406,1.4246,1.4589,0.12,0.35,0.71,1.45,3.23,5.6,10.36,0.45,37.49,0.00%
72,000846,国联货币C,2026-04-23,0.3135,1.154,1.1769,1.3677,0.11,0.34,0.69,1.45,3.24,5.52,9.96,0.42,36.17,0.00%
73,000917,嘉实快线货币A,2026-04-23,0.4112,1.378,1.3663,1.3845,0.12,0.34,0.7,1.45,3.26,5.45,10.21,0.43,31.45,0.00%
74,001026,诺安理财宝货币C,2026-04-23,0.3745,1.336,1.316,1.3695,0.12,0.34,0.7,1.45,3.25,5.63,9.9,0.43,32.5,0.00%
