序号,合约编码,合约代码,合约简称,标的证券简称(代码),合约类型,行权价,合约单位,最后交易日,行权日,到期日,交收日,新挂,涨停价格,跌停价格,前结算价,合约调整,停牌,合约总持仓,挂牌原因,原合约代码,原合约简称,原行权价格,原合约单位,合约到期剩余交易天数,合约到期剩余自然天数,下次合约调整剩余交易天数,下次合约调整剩余自然天数,交易日期
58,90006498,159922C2606M002850A,中证500ETF购6月2813A,中证500ETF嘉实(159922),认购,2.813,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.8631,0.1971,0.5301,否,否,564.0,非新挂牌,159922C2606M002850A,中证500ETF购6月2813A,2.813,10132,40,62,0,0,2026-04-24
59,90006499,159922C2606M002900A,中证500ETF购6月2862A,中证500ETF嘉实(159922),认购,2.862,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.8143,0.1483,0.4813,否,否,1434.0,非新挂牌,159922C2606M002900A,中证500ETF购6月2862A,2.862,10132,40,62,0,0,2026-04-24
60,90006500,159922C2606M002950A,中证500ETF购6月2912A,中证500ETF嘉实(159922),认购,2.912,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.7647,0.0987,0.4317,否,否,2128.0,非新挂牌,159922C2606M002950A,中证500ETF购6月2912A,2.912,10132,40,62,0,0,2026-04-24
61,90006501,159922C2606M003000A,中证500ETF购6月2961A,中证500ETF嘉实(159922),认购,2.961,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.7163,0.0503,0.3833,否,否,913.0,非新挂牌,159922C2606M003000A,中证500ETF购6月2961A,2.961,10132,40,62,0,0,2026-04-24
62,90006502,159922C2606M003100A,中证500ETF购6月3060A,中证500ETF嘉实(159922),认购,3.06,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.6204,0.0001,0.2874,否,否,353.0,非新挂牌,159922C2606M003100A,中证500ETF购6月3060A,3.06,10132,40,62,0,0,2026-04-24
63,90006503,159922C2606M003200A,中证500ETF购6月3158A,中证500ETF嘉实(159922),认购,3.158,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.546,0.0001,0.213,否,否,663.0,非新挂牌,159922C2606M003200A,中证500ETF购6月3158A,3.158,10132,40,62,0,0,2026-04-24
64,90006504,159922P2606M002700A,中证500ETF沽6月2665A,中证500ETF嘉实(159922),认沽,2.665,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.21,0.0001,0.01,否,否,956.0,非新挂牌,159922P2606M002700A,中证500ETF沽6月2665A,2.665,10132,40,62,0,0,2026-04-24
65,90006505,159922P2606M002750A,中证500ETF沽6月2714A,中证500ETF嘉实(159922),认沽,2.714,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2217,0.0001,0.0119,否,否,759.0,非新挂牌,159922P2606M002750A,中证500ETF沽6月2714A,2.714,10132,40,62,0,0,2026-04-24
66,90006506,159922P2606M002800A,中证500ETF沽6月2763A,中证500ETF嘉实(159922),认沽,2.763,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2337,0.0001,0.0141,否,否,796.0,非新挂牌,159922P2606M002800A,中证500ETF沽6月2763A,2.763,10132,40,62,0,0,2026-04-24
67,90006507,159922P2606M002850A,中证500ETF沽6月2813A,中证500ETF嘉实(159922),认沽,2.813,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2467,0.0001,0.0171,否,否,1083.0,非新挂牌,159922P2606M002850A,中证500ETF沽6月2813A,2.813,10132,40,62,0,0,2026-04-24
