板块名称,涨跌幅,主力净流入,板块异动总次数,板块异动最频繁个股及所属类型-股票代码,板块异动最频繁个股及所属类型-股票名称,板块异动最频繁个股及所属类型-买卖方向,板块具体异动类型列表及出现次数
中证500,-0.71,-1283690.9056,1211,002624,完美世界,大笔买入,"[{'t': 64, 'ct': 248}, {'t': 128, 'ct': 189}, {'t': 8201, 'ct': 145}, {'t': 8202, 'ct': 78}, {'t': 8218, 'ct': 70}, {'t': 8203, 'ct': 63}, {'t': 8204, 'ct': 45}, {'t': 8193, 'ct': 38}, {'t': 8214, 'ct': 36}, {'t': 8219, 'ct': 30}, {'t': 8220, 'ct': 27}, {'t': 8213, 'ct': 26}, {'t': 8212, 'ct': 25}, {'t': 8194, 'ct': 23}, {'t': 8, 'ct': 22}, {'t': 8216, 'ct': 21}, {'t': 32, 'ct': 20}, {'t': 8221, 'ct': 19}, {'t': 8215, 'ct': 18}, {'t': 4, 'ct': 15}, {'t': 8217, 'ct': 12}, {'t': 16, 'ct': 11}, {'t': 8208, 'ct': 9}, {'t': 8222, 'ct': 9}, {'t': 8210, 'ct': 8}, {'t': 8211, 'ct': 3}, {'t': 8209, 'ct': 1}]"
小盘成长,-0.97,-1080998.1952,1192,600726,华电能源,大笔卖出,"[{'t': 64, 'ct': 179}, {'t': 128, 'ct': 138}, {'t': 8201, 'ct': 133}, {'t': 8202, 'ct': 97}, {'t': 8193, 'ct': 74}, {'t': 8218, 'ct': 74}, {'t': 8203, 'ct': 65}, {'t': 8220, 'ct': 50}, {'t': 4, 'ct': 46}, {'t': 8204, 'ct': 46}, {'t': 8194, 'ct': 45}, {'t': 16, 'ct': 41}, {'t': 8219, 'ct': 33}, {'t': 8, 'ct': 26}, {'t': 32, 'ct': 24}, {'t': 8221, 'ct': 22}, {'t': 8212, 'ct': 17}, {'t': 8213, 'ct': 14}, {'t': 8214, 'ct': 13}, {'t': 8216, 'ct': 11}, {'t': 8208, 'ct': 10}, {'t': 8217, 'ct': 8}, {'t': 8215, 'ct': 7}, {'t': 8210, 'ct': 6}, {'t': 8222, 'ct': 6}, {'t': 8207, 'ct': 3}, {'t': 8211, 'ct': 3}, {'t': 8209, 'ct': 1}]"
百日新高 ,-0.06,-800820.6336,1161,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 170}, {'t': 8194, 'ct': 123}, {'t': 8201, 'ct': 114}, {'t': 8203, 'ct': 106}, {'t': 128, 'ct': 88}, {'t': 8202, 'ct': 87}, {'t': 8219, 'ct': 78}, {'t': 64, 'ct': 71}, {'t': 8213, 'ct': 57}, {'t': 8221, 'ct': 41}, {'t': 8220, 'ct': 38}, {'t': 4, 'ct': 30}, {'t': 8222, 'ct': 28}, {'t': 8204, 'ct': 27}, {'t': 16, 'ct': 25}, {'t': 8217, 'ct': 16}, {'t': 8, 'ct': 15}, {'t': 32, 'ct': 13}, {'t': 8208, 'ct': 10}, {'t': 8215, 'ct': 6}, {'t': 8216, 'ct': 6}, {'t': 8211, 'ct': 5}, {'t': 8218, 'ct': 3}, {'t': 8207, 'ct': 2}, {'t': 8212, 'ct': 2}]"
近期新高,-0.01,-968179.1232,1141,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 167}, {'t': 8201, 'ct': 114}, {'t': 8194, 'ct': 109}, {'t': 8203, 'ct': 104}, {'t': 128, 'ct': 87}, {'t': 8202, 'ct': 86}, {'t': 8219, 'ct': 78}, {'t': 64, 'ct': 72}, {'t': 8213, 'ct': 57}, {'t': 8221, 'ct': 41}, {'t': 8220, 'ct': 38}, {'t': 4, 'ct': 30}, {'t': 8222, 'ct': 28}, {'t': 16, 'ct': 25}, {'t': 8204, 'ct': 25}, {'t': 8217, 'ct': 16}, {'t': 8, 'ct': 15}, {'t': 32, 'ct': 13}, {'t': 8208, 'ct': 10}, {'t': 8216, 'ct': 7}, {'t': 8215, 'ct': 6}, {'t': 8211, 'ct': 5}, {'t': 8218, 'ct': 4}, {'t': 8207, 'ct': 2}, {'t': 8212, 'ct': 2}]"
北京板块,-0.84,-916548.608,1113,002713,*ST东易,大笔买入,"[{'t': 64, 'ct': 163}, {'t': 8202, 'ct': 106}, {'t': 8218, 'ct': 106}, {'t': 8193, 'ct': 102}, {'t': 8201, 'ct': 93}, {'t': 128, 'ct': 82}, {'t': 8194, 'ct': 76}, {'t': 8203, 'ct': 64}, {'t': 8214, 'ct': 43}, {'t': 8204, 'ct': 40}, {'t': 8221, 'ct': 28}, {'t': 8212, 'ct': 26}, {'t': 8219, 'ct': 25}, {'t': 8, 'ct': 20}, {'t': 32, 'ct': 18}, {'t': 8215, 'ct': 18}, {'t': 8220, 'ct': 16}, {'t': 8222, 'ct': 14}, {'t': 8208, 'ct': 12}, {'t': 8213, 'ct': 12}, {'t': 8217, 'ct': 11}, {'t': 8216, 'ct': 10}, {'t': 4, 'ct': 7}, {'t': 8211, 'ct': 6}, {'t': 16, 'ct': 5}, {'t': 8210, 'ct': 5}, {'t': 8207, 'ct': 3}, {'t': 8209, 'ct': 2}]"
算力概念,-0.75,-1484757.8112,1096,300067,安诺其,大笔买入,"[{'t': 64, 'ct': 144}, {'t': 8193, 'ct': 135}, {'t': 128, 'ct': 117}, {'t': 8202, 'ct': 100}, {'t': 8194, 'ct': 99}, {'t': 8201, 'ct': 83}, {'t': 8220, 'ct': 68}, {'t': 8203, 'ct': 62}, {'t': 8204, 'ct': 58}, {'t': 8218, 'ct': 48}, {'t': 8221, 'ct': 31}, {'t': 8219, 'ct': 21}, {'t': 8, 'ct': 20}, {'t': 32, 'ct': 18}, {'t': 8212, 'ct': 12}, {'t': 8213, 'ct': 12}, {'t': 8217, 'ct': 12}, {'t': 8222, 'ct': 12}, {'t': 8208, 'ct': 10}, {'t': 8215, 'ct': 8}, {'t': 8214, 'ct': 7}, {'t': 4, 'ct': 5}, {'t': 8210, 'ct': 5}, {'t': 8216, 'ct': 5}, {'t': 16, 'ct': 1}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}, {'t': 8211, 'ct': 1}]"
商业航天,-1.81,-1448555.2128,1067,002565,顺灏股份,大笔买入,"[{'t': 64, 'ct': 151}, {'t': 8202, 'ct': 107}, {'t': 8193, 'ct': 99}, {'t': 128, 'ct': 96}, {'t': 8201, 'ct': 87}, {'t': 8203, 'ct': 83}, {'t': 8218, 'ct': 73}, {'t': 8194, 'ct': 71}, {'t': 8220, 'ct': 56}, {'t': 8204, 'ct': 51}, {'t': 8221, 'ct': 29}, {'t': 8212, 'ct': 20}, {'t': 8, 'ct': 19}, {'t': 8222, 'ct': 18}, {'t': 8214, 'ct': 17}, {'t': 32, 'ct': 16}, {'t': 8219, 'ct': 16}, {'t': 8208, 'ct': 11}, {'t': 8213, 'ct': 9}, {'t': 8215, 'ct': 9}, {'t': 8216, 'ct': 7}, {'t': 4, 'ct': 6}, {'t': 8217, 'ct': 6}, {'t': 16, 'ct': 5}, {'t': 8210, 'ct': 2}, {'t': 8211, 'ct': 2}, {'t': 8207, 'ct': 1}]"
上海板块,-0.45,-484828.9024,1040,300890,翔丰华,大笔买入,"[{'t': 8201, 'ct': 118}, {'t': 8193, 'ct': 108}, {'t': 64, 'ct': 97}, {'t': 8194, 'ct': 93}, {'t': 8218, 'ct': 75}, {'t': 8202, 'ct': 73}, {'t': 128, 'ct': 71}, {'t': 8203, 'ct': 62}, {'t': 8, 'ct': 45}, {'t': 8214, 'ct': 42}, {'t': 32, 'ct': 40}, {'t': 8204, 'ct': 34}, {'t': 8220, 'ct': 31}, {'t': 8219, 'ct': 26}, {'t': 8212, 'ct': 19}, {'t': 8215, 'ct': 19}, {'t': 8221, 'ct': 19}, {'t': 8213, 'ct': 9}, {'t': 8208, 'ct': 8}, {'t': 8216, 'ct': 8}, {'t': 8217, 'ct': 8}, {'t': 8222, 'ct': 8}, {'t': 4, 'ct': 6}, {'t': 8209, 'ct': 6}, {'t': 8210, 'ct': 6}, {'t': 8211, 'ct': 4}, {'t': 8207, 'ct': 3}, {'t': 16, 'ct': 2}]"
昨日涨停_含一字,0.2,-416767.872,1024,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 190}, {'t': 8194, 'ct': 150}, {'t': 8219, 'ct': 71}, {'t': 8203, 'ct': 68}, {'t': 8201, 'ct': 66}, {'t': 8202, 'ct': 61}, {'t': 8220, 'ct': 61}, {'t': 128, 'ct': 51}, {'t': 4, 'ct': 41}, {'t': 64, 'ct': 40}, {'t': 8217, 'ct': 34}, {'t': 16, 'ct': 31}, {'t': 8221, 'ct': 30}, {'t': 8213, 'ct': 26}, {'t': 8222, 'ct': 24}, {'t': 8, 'ct': 17}, {'t': 8211, 'ct': 16}, {'t': 32, 'ct': 15}, {'t': 8204, 'ct': 14}, {'t': 8215, 'ct': 7}, {'t': 8216, 'ct': 7}, {'t': 8212, 'ct': 2}, {'t': 8218, 'ct': 2}]"
物联网,-0.8,-1034588.9536,1024,603236,移远通信,大笔卖出,"[{'t': 64, 'ct': 157}, {'t': 128, 'ct': 105}, {'t': 8193, 'ct': 105}, {'t': 8218, 'ct': 100}, {'t': 8201, 'ct': 90}, {'t': 8202, 'ct': 68}, {'t': 8194, 'ct': 61}, {'t': 8204, 'ct': 51}, {'t': 8203, 'ct': 46}, {'t': 8214, 'ct': 32}, {'t': 8212, 'ct': 26}, {'t': 8220, 'ct': 26}, {'t': 8219, 'ct': 21}, {'t': 8216, 'ct': 19}, {'t': 8221, 'ct': 16}, {'t': 8, 'ct': 15}, {'t': 8208, 'ct': 14}, {'t': 32, 'ct': 12}, {'t': 8210, 'ct': 11}, {'t': 8213, 'ct': 11}, {'t': 8215, 'ct': 11}, {'t': 4, 'ct': 7}, {'t': 8217, 'ct': 5}, {'t': 16, 'ct': 4}, {'t': 8209, 'ct': 4}, {'t': 8222, 'ct': 4}, {'t': 8207, 'ct': 3}]"
计算机,-0.65,-7175.68,1010,301666,大普微-UW,大笔买入,"[{'t': 8193, 'ct': 133}, {'t': 8218, 'ct': 112}, {'t': 64, 'ct': 101}, {'t': 8201, 'ct': 100}, {'t': 8202, 'ct': 86}, {'t': 128, 'ct': 75}, {'t': 8203, 'ct': 58}, {'t': 8204, 'ct': 57}, {'t': 8194, 'ct': 51}, {'t': 8214, 'ct': 40}, {'t': 8212, 'ct': 25}, {'t': 8221, 'ct': 22}, {'t': 4, 'ct': 21}, {'t': 16, 'ct': 17}, {'t': 8216, 'ct': 16}, {'t': 8220, 'ct': 16}, {'t': 8, 'ct': 15}, {'t': 32, 'ct': 13}, {'t': 8219, 'ct': 12}, {'t': 8208, 'ct': 10}, {'t': 8215, 'ct': 7}, {'t': 8217, 'ct': 7}, {'t': 8222, 'ct': 6}, {'t': 8210, 'ct': 4}, {'t': 8213, 'ct': 4}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
数据中心,-0.97,-916790.144,998,301666,大普微-UW,大笔买入,"[{'t': 64, 'ct': 144}, {'t': 8193, 'ct': 114}, {'t': 128, 'ct': 99}, {'t': 8201, 'ct': 99}, {'t': 8202, 'ct': 86}, {'t': 8194, 'ct': 75}, {'t': 8218, 'ct': 59}, {'t': 8204, 'ct': 58}, {'t': 8203, 'ct': 55}, {'t': 8220, 'ct': 45}, {'t': 8212, 'ct': 19}, {'t': 8221, 'ct': 18}, {'t': 8214, 'ct': 16}, {'t': 8222, 'ct': 13}, {'t': 4, 'ct': 12}, {'t': 8, 'ct': 11}, {'t': 8219, 'ct': 11}, {'t': 8213, 'ct': 10}, {'t': 32, 'ct': 9}, {'t': 8208, 'ct': 9}, {'t': 16, 'ct': 8}, {'t': 8210, 'ct': 8}, {'t': 8216, 'ct': 8}, {'t': 8217, 'ct': 4}, {'t': 8211, 'ct': 3}, {'t': 8215, 'ct': 3}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
ST股,-0.02,-84136.2768,943,002289,*ST宇顺,大笔买入,"[{'t': 8219, 'ct': 169}, {'t': 8220, 'ct': 138}, {'t': 8, 'ct': 86}, {'t': 32, 'ct': 69}, {'t': 4, 'ct': 50}, {'t': 8218, 'ct': 46}, {'t': 16, 'ct': 41}, {'t': 8202, 'ct': 41}, {'t': 8194, 'ct': 40}, {'t': 8201, 'ct': 40}, {'t': 8203, 'ct': 30}, {'t': 8193, 'ct': 29}, {'t': 128, 'ct': 25}, {'t': 64, 'ct': 24}, {'t': 8214, 'ct': 23}, {'t': 8212, 'ct': 22}, {'t': 8222, 'ct': 13}, {'t': 8221, 'ct': 12}, {'t': 8204, 'ct': 11}, {'t': 8215, 'ct': 9}, {'t': 8217, 'ct': 8}, {'t': 8210, 'ct': 5}, {'t': 8216, 'ct': 5}, {'t': 8211, 'ct': 3}, {'t': 8213, 'ct': 3}, {'t': 8208, 'ct': 1}]"
中盘成长,-0.92,-882335.8976,919,002812,恩捷股份,大笔买入,"[{'t': 64, 'ct': 176}, {'t': 128, 'ct': 156}, {'t': 8201, 'ct': 103}, {'t': 8203, 'ct': 69}, {'t': 8202, 'ct': 58}, {'t': 8218, 'ct': 44}, {'t': 8204, 'ct': 42}, {'t': 8193, 'ct': 41}, {'t': 8194, 'ct': 28}, {'t': 4, 'ct': 26}, {'t': 16, 'ct': 23}, {'t': 8220, 'ct': 18}, {'t': 8221, 'ct': 18}, {'t': 8219, 'ct': 17}, {'t': 8213, 'ct': 16}, {'t': 8214, 'ct': 14}, {'t': 8212, 'ct': 13}, {'t': 8222, 'ct': 12}, {'t': 8216, 'ct': 10}, {'t': 8208, 'ct': 9}, {'t': 8210, 'ct': 8}, {'t': 8215, 'ct': 6}, {'t': 8217, 'ct': 4}, {'t': 8, 'ct': 3}, {'t': 32, 'ct': 3}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
破发股,-0.01,-106560.6912,913,002211,ST宏达,大笔买入,"[{'t': 8218, 'ct': 110}, {'t': 8201, 'ct': 100}, {'t': 8193, 'ct': 99}, {'t': 8219, 'ct': 61}, {'t': 8194, 'ct': 55}, {'t': 8214, 'ct': 49}, {'t': 64, 'ct': 47}, {'t': 8220, 'ct': 46}, {'t': 8202, 'ct': 42}, {'t': 8203, 'ct': 42}, {'t': 128, 'ct': 32}, {'t': 8215, 'ct': 28}, {'t': 8, 'ct': 26}, {'t': 32, 'ct': 22}, {'t': 8221, 'ct': 22}, {'t': 8204, 'ct': 21}, {'t': 4, 'ct': 19}, {'t': 8212, 'ct': 19}, {'t': 8216, 'ct': 17}, {'t': 16, 'ct': 13}, {'t': 8222, 'ct': 10}, {'t': 8208, 'ct': 7}, {'t': 8217, 'ct': 7}, {'t': 8210, 'ct': 6}, {'t': 8213, 'ct': 6}, {'t': 8209, 'ct': 3}, {'t': 8211, 'ct': 3}, {'t': 8207, 'ct': 1}]"
氢能源,-0.66,-605331.8144,889,688813,泰金新能,大笔卖出,"[{'t': 8201, 'ct': 118}, {'t': 64, 'ct': 106}, {'t': 8193, 'ct': 83}, {'t': 8194, 'ct': 81}, {'t': 128, 'ct': 69}, {'t': 8219, 'ct': 65}, {'t': 8202, 'ct': 54}, {'t': 8203, 'ct': 52}, {'t': 8220, 'ct': 38}, {'t': 8218, 'ct': 34}, {'t': 8204, 'ct': 23}, {'t': 8221, 'ct': 21}, {'t': 4, 'ct': 19}, {'t': 16, 'ct': 18}, {'t': 8215, 'ct': 16}, {'t': 8214, 'ct': 15}, {'t': 8213, 'ct': 13}, {'t': 8212, 'ct': 10}, {'t': 8210, 'ct': 9}, {'t': 8217, 'ct': 9}, {'t': 8216, 'ct': 8}, {'t': 8208, 'ct': 7}, {'t': 8222, 'ct': 7}, {'t': 8, 'ct': 4}, {'t': 32, 'ct': 3}, {'t': 8209, 'ct': 3}, {'t': 8211, 'ct': 3}, {'t': 8207, 'ct': 1}]"
DeepSeek概念,-0.46,-91900.3136,887,301666,大普微-UW,大笔买入,"[{'t': 8193, 'ct': 114}, {'t': 64, 'ct': 107}, {'t': 8201, 'ct': 100}, {'t': 8218, 'ct': 75}, {'t': 128, 'ct': 71}, {'t': 8203, 'ct': 61}, {'t': 8194, 'ct': 59}, {'t': 8202, 'ct': 58}, {'t': 8204, 'ct': 41}, {'t': 8214, 'ct': 20}, {'t': 8220, 'ct': 20}, {'t': 4, 'ct': 16}, {'t': 8212, 'ct': 15}, {'t': 8219, 'ct': 15}, {'t': 8, 'ct': 14}, {'t': 16, 'ct': 14}, {'t': 8221, 'ct': 14}, {'t': 32, 'ct': 13}, {'t': 8215, 'ct': 12}, {'t': 8217, 'ct': 10}, {'t': 8216, 'ct': 9}, {'t': 8208, 'ct': 7}, {'t': 8213, 'ct': 6}, {'t': 8222, 'ct': 5}, {'t': 8210, 'ct': 4}, {'t': 8209, 'ct': 3}, {'t': 8207, 'ct': 2}, {'t': 8211, 'ct': 2}]"
大数据,-0.83,-650877.2352,876,000889,中嘉博创,大笔买入,"[{'t': 64, 'ct': 124}, {'t': 8193, 'ct': 92}, {'t': 8218, 'ct': 88}, {'t': 128, 'ct': 85}, {'t': 8201, 'ct': 75}, {'t': 8202, 'ct': 70}, {'t': 8204, 'ct': 59}, {'t': 8203, 'ct': 51}, {'t': 8194, 'ct': 46}, {'t': 8214, 'ct': 25}, {'t': 8212, 'ct': 19}, {'t': 8219, 'ct': 18}, {'t': 8220, 'ct': 17}, {'t': 8221, 'ct': 17}, {'t': 4, 'ct': 16}, {'t': 8208, 'ct': 12}, {'t': 16, 'ct': 11}, {'t': 8215, 'ct': 10}, {'t': 8222, 'ct': 10}, {'t': 8213, 'ct': 9}, {'t': 8216, 'ct': 7}, {'t': 8217, 'ct': 5}, {'t': 8210, 'ct': 4}, {'t': 8211, 'ct': 2}, {'t': 8, 'ct': 1}, {'t': 32, 'ct': 1}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
深圳特区,-0.45,-560624.5888,869,002289,*ST宇顺,大笔买入,"[{'t': 64, 'ct': 110}, {'t': 8193, 'ct': 104}, {'t': 8201, 'ct': 82}, {'t': 128, 'ct': 68}, {'t': 8218, 'ct': 68}, {'t': 8194, 'ct': 54}, {'t': 8202, 'ct': 52}, {'t': 8203, 'ct': 42}, {'t': 4, 'ct': 29}, {'t': 8219, 'ct': 28}, {'t': 8, 'ct': 27}, {'t': 8214, 'ct': 25}, {'t': 16, 'ct': 23}, {'t': 32, 'ct': 23}, {'t': 8204, 'ct': 22}, {'t': 8221, 'ct': 18}, {'t': 8220, 'ct': 16}, {'t': 8212, 'ct': 15}, {'t': 8213, 'ct': 13}, {'t': 8216, 'ct': 11}, {'t': 8215, 'ct': 10}, {'t': 8208, 'ct': 8}, {'t': 8222, 'ct': 8}, {'t': 8210, 'ct': 5}, {'t': 8217, 'ct': 5}, {'t': 8211, 'ct': 2}, {'t': 8209, 'ct': 1}]"
电商概念,-0.44,-159652.4544,861,002891,中宠股份,大笔买入,"[{'t': 64, 'ct': 84}, {'t': 8193, 'ct': 83}, {'t': 8201, 'ct': 71}, {'t': 8194, 'ct': 63}, {'t': 8218, 'ct': 54}, {'t': 128, 'ct': 53}, {'t': 8219, 'ct': 51}, {'t': 8202, 'ct': 48}, {'t': 8, 'ct': 38}, {'t': 32, 'ct': 36}, {'t': 8214, 'ct': 34}, {'t': 4, 'ct': 30}, {'t': 8203, 'ct': 30}, {'t': 8220, 'ct': 27}, {'t': 16, 'ct': 23}, {'t': 8215, 'ct': 20}, {'t': 8221, 'ct': 19}, {'t': 8213, 'ct': 18}, {'t': 8204, 'ct': 15}, {'t': 8217, 'ct': 13}, {'t': 8216, 'ct': 11}, {'t': 8222, 'ct': 10}, {'t': 8212, 'ct': 9}, {'t': 8211, 'ct': 7}, {'t': 8208, 'ct': 6}, {'t': 8210, 'ct': 4}, {'t': 8209, 'ct': 3}, {'t': 8207, 'ct': 1}]"
转债标的,-0.33,-482625.92,850,300890,翔丰华,大笔买入,"[{'t': 8201, 'ct': 134}, {'t': 8193, 'ct': 98}, {'t': 64, 'ct': 65}, {'t': 8218, 'ct': 55}, {'t': 8194, 'ct': 53}, {'t': 128, 'ct': 50}, {'t': 8219, 'ct': 47}, {'t': 8202, 'ct': 43}, {'t': 8203, 'ct': 43}, {'t': 8220, 'ct': 36}, {'t': 8204, 'ct': 28}, {'t': 4, 'ct': 24}, {'t': 8213, 'ct': 21}, {'t': 8214, 'ct': 21}, {'t': 8215, 'ct': 19}, {'t': 16, 'ct': 16}, {'t': 8221, 'ct': 15}, {'t': 8212, 'ct': 14}, {'t': 8216, 'ct': 14}, {'t': 8217, 'ct': 13}, {'t': 8208, 'ct': 10}, {'t': 8, 'ct': 6}, {'t': 8211, 'ct': 6}, {'t': 8222, 'ct': 6}, {'t': 32, 'ct': 5}, {'t': 8209, 'ct': 3}, {'t': 8210, 'ct': 3}, {'t': 8207, 'ct': 2}]"
创投,-0.43,-331095.2192,847,600736,苏州高新,大笔卖出,"[{'t': 64, 'ct': 120}, {'t': 128, 'ct': 98}, {'t': 8193, 'ct': 72}, {'t': 8201, 'ct': 65}, {'t': 8202, 'ct': 65}, {'t': 8218, 'ct': 56}, {'t': 8194, 'ct': 47}, {'t': 8219, 'ct': 46}, {'t': 8203, 'ct': 42}, {'t': 8214, 'ct': 27}, {'t': 4, 'ct': 26}, {'t': 8204, 'ct': 22}, {'t': 16, 'ct': 19}, {'t': 8220, 'ct': 19}, {'t': 8216, 'ct': 18}, {'t': 8221, 'ct': 18}, {'t': 8215, 'ct': 15}, {'t': 8212, 'ct': 12}, {'t': 8208, 'ct': 10}, {'t': 8213, 'ct': 10}, {'t': 8, 'ct': 8}, {'t': 8217, 'ct': 8}, {'t': 32, 'ct': 7}, {'t': 8222, 'ct': 7}, {'t': 8210, 'ct': 5}, {'t': 8211, 'ct': 5}]"
新能源,-1.65,-1033352.4224,808,002478,常宝股份,大笔买入,"[{'t': 64, 'ct': 161}, {'t': 8202, 'ct': 71}, {'t': 8193, 'ct': 67}, {'t': 128, 'ct': 64}, {'t': 8194, 'ct': 56}, {'t': 8, 'ct': 49}, {'t': 32, 'ct': 48}, {'t': 8219, 'ct': 38}, {'t': 8203, 'ct': 37}, {'t': 8201, 'ct': 35}, {'t': 8220, 'ct': 34}, {'t': 8218, 'ct': 23}, {'t': 8216, 'ct': 15}, {'t': 8222, 'ct': 15}, {'t': 8204, 'ct': 14}, {'t': 8221, 'ct': 14}, {'t': 8208, 'ct': 10}, {'t': 8214, 'ct': 10}, {'t': 8210, 'ct': 9}, {'t': 8212, 'ct': 9}, {'t': 4, 'ct': 8}, {'t': 16, 'ct': 6}, {'t': 8217, 'ct': 5}, {'t': 8213, 'ct': 4}, {'t': 8215, 'ct': 4}, {'t': 8211, 'ct': 2}]"
医药生物,-0.31,-125933.9264,789,300434,金石亚药,大笔买入,"[{'t': 64, 'ct': 100}, {'t': 8218, 'ct': 100}, {'t': 8201, 'ct': 95}, {'t': 8193, 'ct': 74}, {'t': 8202, 'ct': 60}, {'t': 8214, 'ct': 45}, {'t': 8194, 'ct': 38}, {'t': 128, 'ct': 33}, {'t': 8203, 'ct': 29}, {'t': 8204, 'ct': 25}, {'t': 8215, 'ct': 22}, {'t': 8220, 'ct': 22}, {'t': 8212, 'ct': 19}, {'t': 8, 'ct': 17}, {'t': 8219, 'ct': 16}, {'t': 32, 'ct': 15}, {'t': 8216, 'ct': 15}, {'t': 8221, 'ct': 12}, {'t': 8217, 'ct': 10}, {'t': 8222, 'ct': 9}, {'t': 8208, 'ct': 7}, {'t': 8213, 'ct': 7}, {'t': 8211, 'ct': 5}, {'t': 4, 'ct': 4}, {'t': 8210, 'ct': 4}, {'t': 8209, 'ct': 3}, {'t': 16, 'ct': 2}, {'t': 8207, 'ct': 1}]"
固态电池,0.75,791599.4368,786,300890,翔丰华,大笔买入,"[{'t': 8193, 'ct': 117}, {'t': 8201, 'ct': 110}, {'t': 128, 'ct': 109}, {'t': 64, 'ct': 65}, {'t': 8194, 'ct': 60}, {'t': 8202, 'ct': 55}, {'t': 8219, 'ct': 54}, {'t': 8203, 'ct': 32}, {'t': 8218, 'ct': 32}, {'t': 4, 'ct': 22}, {'t': 8213, 'ct': 21}, {'t': 8215, 'ct': 17}, {'t': 16, 'ct': 16}, {'t': 8221, 'ct': 15}, {'t': 8204, 'ct': 13}, {'t': 8208, 'ct': 8}, {'t': 8214, 'ct': 8}, {'t': 8220, 'ct': 6}, {'t': 8210, 'ct': 4}, {'t': 8212, 'ct': 4}, {'t': 8222, 'ct': 4}, {'t': 8, 'ct': 3}, {'t': 8216, 'ct': 3}, {'t': 8217, 'ct': 3}, {'t': 32, 'ct': 2}, {'t': 8209, 'ct': 2}, {'t': 8211, 'ct': 1}]"
上证380,-0.69,-1048793.3952,786,601636,旗滨集团,大笔卖出,"[{'t': 64, 'ct': 141}, {'t': 8201, 'ct': 101}, {'t': 128, 'ct': 96}, {'t': 8218, 'ct': 55}, {'t': 8203, 'ct': 44}, {'t': 8202, 'ct': 41}, {'t': 8219, 'ct': 37}, {'t': 8, 'ct': 27}, {'t': 8204, 'ct': 27}, {'t': 32, 'ct': 25}, {'t': 8214, 'ct': 23}, {'t': 8220, 'ct': 21}, {'t': 8215, 'ct': 19}, {'t': 8213, 'ct': 16}, {'t': 8212, 'ct': 15}, {'t': 8193, 'ct': 14}, {'t': 8217, 'ct': 14}, {'t': 4, 'ct': 12}, {'t': 8216, 'ct': 12}, {'t': 8221, 'ct': 10}, {'t': 8194, 'ct': 9}, {'t': 16, 'ct': 8}, {'t': 8208, 'ct': 5}, {'t': 8210, 'ct': 5}, {'t': 8211, 'ct': 5}, {'t': 8222, 'ct': 4}]"
昨日涨停,-0.12,-388586.3168,780,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 129}, {'t': 8194, 'ct': 111}, {'t': 8201, 'ct': 61}, {'t': 8202, 'ct': 52}, {'t': 8203, 'ct': 51}, {'t': 8219, 'ct': 50}, {'t': 8220, 'ct': 46}, {'t': 128, 'ct': 38}, {'t': 64, 'ct': 36}, {'t': 4, 'ct': 27}, {'t': 8217, 'ct': 27}, {'t': 8221, 'ct': 25}, {'t': 8213, 'ct': 21}, {'t': 16, 'ct': 20}, {'t': 8222, 'ct': 18}, {'t': 8, 'ct': 15}, {'t': 8204, 'ct': 14}, {'t': 32, 'ct': 13}, {'t': 8211, 'ct': 11}, {'t': 8216, 'ct': 7}, {'t': 8215, 'ct': 6}, {'t': 8212, 'ct': 1}, {'t': 8218, 'ct': 1}]"
2025年报预减,-0.6,-418120.6272,779,603315,福鞍股份,大笔卖出,"[{'t': 8193, 'ct': 92}, {'t': 8201, 'ct': 90}, {'t': 64, 'ct': 76}, {'t': 8218, 'ct': 71}, {'t': 8202, 'ct': 64}, {'t': 8194, 'ct': 55}, {'t': 128, 'ct': 41}, {'t': 8219, 'ct': 37}, {'t': 8220, 'ct': 34}, {'t': 8203, 'ct': 32}, {'t': 8214, 'ct': 28}, {'t': 8204, 'ct': 23}, {'t': 8215, 'ct': 19}, {'t': 8212, 'ct': 15}, {'t': 8213, 'ct': 15}, {'t': 8221, 'ct': 14}, {'t': 4, 'ct': 13}, {'t': 16, 'ct': 8}, {'t': 8216, 'ct': 8}, {'t': 8211, 'ct': 7}, {'t': 8217, 'ct': 7}, {'t': 8208, 'ct': 6}, {'t': 8210, 'ct': 6}, {'t': 8, 'ct': 5}, {'t': 8222, 'ct': 5}, {'t': 32, 'ct': 4}, {'t': 8209, 'ct': 3}, {'t': 8207, 'ct': 1}]"
