统计时间,货币和准货币（广义货币M2）,货币和准货币（广义货币M2）同比增长,货币(狭义货币M1),货币(狭义货币M1)同比增长,流通中现金(M0),流通中现金(M0)同比增长,活期存款,活期存款同比增长,准货币,准货币同比增长,定期存款,定期存款同比增长,储蓄存款,储蓄存款同比增长,其他存款,其他存款同比增长
2020.6,2134948.66,11.1,604317.97,6.5,79459.41,9.5,524858.56,,1530630.69,,399039.85,,903187.93,,228402.91,
2020.5,2100183.74,11.1,581111.06,6.8,79706.83,9.5,501404.23,,1519072.68,,404645.38,,881204.57,,233222.73,
2020.4,2093533.83,11.1,570150.48,5.5,81485.21,10.2,488665.26,,1523383.35,,405776.09,,876293.87,,241313.38,
2020.3,2080923.41,10.1,575050.29,5.0,83022.21,10.8,492028.08,,1505873.12,,390274.95,,884279.26,,231318.92,
2020.2,2030830.42,8.8,552700.73,4.8,88187.05,10.9,464513.68,,1478129.7,,379783.92,,860503.7,,237842.08,
2020.1,2023066.49,8.4,545531.79,0.0,93249.16,6.6,452282.62,,1477534.69,,383920.71,,861177.06,,232436.92,
2019.12,1986488.82,8.7,576009.15,4.4,77189.47,5.4,498819.68,,1410479.67,,363486.04,,819161.84,,227831.79,
2019.11,1961429.56,8.2,562486.52,3.5,73973.82,4.8,488512.7,,1398943.04,,367310.58,,803868.34,,227764.13,
2019.10,1945600.55,8.4,558143.92,3.3,73395.4,4.7,484748.52,,1387456.63,,365733.05,,801411.52,,220312.05,
2019.9,1952250.49,8.4,557137.95,3.4,74129.75,4.0,483008.2,,1395112.54,,374318.07,,807437.27,,213357.2,
2019.8,1935492.43,8.2,556798.09,3.4,73152.62,4.8,483645.46,,1378694.34,,366889.18,,791891.96,,219913.2,
2019.7,1919410.82,8.1,553043.11,3.1,72689.25,4.5,480353.86,,1366367.71,,363148.41,,789111.05,,214108.24,
2019.6,1921360.19,8.5,567696.18,4.4,72580.96,4.3,495115.22,,1353664.01,,362162.76,,790201.11,,201300.14,
2019.5,1891153.7,8.5,544355.64,3.4,72798.46,4.3,471557.18,,1346798.06,,364890.78,,778725.61,,203181.67,
2019.4,1884670.33,8.5,540614.6,2.9,73965.76,3.5,466648.84,,1344055.72,,365304.79,,776276.48,,202474.45,
2019.3,1889412.14,8.6,547575.54,4.6,74941.58,3.1,472633.97,,1341836.59,,359015.48,,782606.12,,200214.99,
2019.2,1867427.45,8.0,527190.48,2.0,79484.72,-2.4,447705.76,,1340236.97,,356710.05,,773741.13,,209785.79,
2019.1,1865935.33,8.4,545638.46,0.4,87470.62,17.2,458167.84,,1320296.87,,355604.75,,760391.93,,204300.19,
2018.12,1826744.22,8.1,551685.91,1.5,73208.4,3.6,478477.5,,1275058.31,,340178.91,,721688.57,,213190.83,
2018.11,1813175.07,8.0,543498.66,1.5,70563.3,2.8,472935.36,,1269676.4,,342190.73,,710236.37,,217249.31,
2018.10,1795561.6,8.0,540128.37,2.7,70106.62,2.8,470021.74,,1255433.23,,340815.59,,702827.46,,211790.18,
2018.9,1801665.58,8.3,538574.08,4.0,71254.26,2.2,467319.82,,1263091.5,,349826.79,,706256.25,,207008.46,
2018.8,1788670.43,8.2,538324.64,3.9,69775.39,3.3,468549.25,,1250345.79,,341834.17,,692847.93,,215663.69,
2018.7,1776196.11,8.5,536624.29,5.1,69530.59,3.6,467093.7,,1239571.81,,335935.49,,689397.13,,214239.19,
2018.6,1770178.37,8.3,543944.71,6.0,69589.33,3.6,474355.38,,1226233.66,,334425.29,,692440.77,,199367.6,
2018.5,1743063.79,8.3,526276.72,6.0,69774.81,3.6,456501.91,,1216787.08,,336063.23,,681333.9,,199389.95,
2018.4,1737683.73,8.3,525447.77,7.2,71476.46,4.5,453971.31,,1212235.96,,335348.35,,679185.94,,197701.67,
2018.3,1739859.48,8.2,523540.07,7.1,72692.63,6.0,450847.45,,1216319.4,,332605.89,,692563.69,,191149.82,
2018.2,1729070.12,8.8,517035.99,8.5,81424.24,13.5,435611.75,,1212034.13,,330531.73,,687076.39,,194426.0,
2018.1,1720814.46,8.62,543247.13,14.97,74636.29,-13.81,468610.84,,1177567.33,,328169.8,,658424.25,,190973.27,
2017.12,1676768.54,8.1,543790.15,11.8,70645.6,3.4,473144.55,,1146445.17,,320196.23,,649341.5,,176907.44,
