私募基金管理人名称,法定代表人/执行事务合伙人(委派代表)姓名,机构类型,登记编号,注册地,办公地,成立时间,登记时间,在管基金数量,会员类型,是否有提示信息,是否有诚信信息
红杉资本股权投资管理(天津）有限公司,周逵,私募股权、创业投资基金管理人,P1000645,天津市,北京市,2008-09-10,2014-03-17,95,普通会员,是,否
上海彤源投资发展有限公司,薛凌云,私募证券投资基金管理人,P1000266,上海市,上海市,2006-04-19,2014-03-25,75,观察会员,否,否
北京乐瑞资产管理有限公司,唐毅亭,私募证券投资基金管理人,P1000270,北京市,北京市,2011-04-11,2014-03-25,45,普通会员,是,否
北京源乐晟资产管理有限公司,曾晓洁,私募证券投资基金管理人,P1000278,北京市,北京市,2009-05-27,2014-03-25,2,观察会员,是,否
弘毅私募基金管理（天津）合伙企业（有限合伙）,曹永刚,私募股权、创业投资基金管理人,P1000283,天津市,北京市,2008-04-14,2014-03-25,24,普通会员,是,否
淡水泉（北京）投资管理有限公司,赵军,私募证券投资基金管理人,P1000294,北京市,北京市,2007-06-26,2014-03-25,345,普通会员,否,否
上海以太投资管理有限公司,丁伟,私募证券投资基金管理人,P1000315,上海市,上海市,2006-11-25,2014-03-25,2,观察会员,是,否
青骓私募基金管理（上海）有限公司,张烨,私募证券投资基金管理人,P1000369,上海市,上海市,2009-04-07,2014-03-25,15,普通会员,否,否
宁波宁聚资产管理中心（有限合伙）,唐华琴,私募证券投资基金管理人,P1000398,浙江省,宁波市,2011-08-29,2014-03-25,64,普通会员,是,否
上海坤阳私募基金管理有限公司,焦庆,私募证券投资基金管理人,P1000426,上海市,上海市,2007-06-27,2014-03-25,9,观察会员,否,否
深圳市长青藤资产管理有限公司,夏燕辉,私募证券投资基金管理人,P1000434,广东省,深圳市,2010-11-22,2014-03-25,6,观察会员,否,否
深圳人合资本管理有限公司,金伟春,私募股权、创业投资基金管理人,P1000481,广东省,北京市,2012-12-28,2014-03-25,5,观察会员,是,否
昆吾九鼎投资管理有限公司,王欣,私募股权、创业投资基金管理人,P1000487,北京市,北京市,2007-07-27,2014-03-25,63,普通会员,是,否
北京神农投资管理股份有限公司,陈宇,私募证券投资基金管理人,P1000566,北京市,北京市,2009-07-23,2014-03-25,42,观察会员,是,否
北京云程泰投资管理有限责任公司,魏上雲,私募证券投资基金管理人,P1000649,北京市,北京市,2006-08-18,2014-03-25,1,观察会员,是,是
深圳市尚诚资产管理有限责任公司,肖华,私募证券投资基金管理人,P1000650,广东省,深圳市,2007-02-16,2014-03-25,1,非会员机构,否,是
上海明河投资管理有限公司,张翎,私募证券投资基金管理人,P1000651,上海市,上海市,2010-02-23,2014-03-25,15,观察会员,否,否
上海摩旗投资管理有限公司,李晶,私募证券投资基金管理人,P1000652,上海市,上海市,2006-01-16,2014-03-25,19,观察会员,否,否
京福资产管理有限公司,陈山,私募股权、创业投资基金管理人,P1000655,北京市,北京市,2007-08-01,2014-03-25,10,观察会员,否,否
上海泰唯信投资管理有限公司,张甦伟,私募证券投资基金管理人,P1000656,上海市,上海市,2010-08-11,2014-03-25,1,非会员机构,否,否
广东懋峰资产管理有限公司,夏和平,私募证券投资基金管理人,P1000657,广东省,广东省,2013-03-14,2014-03-25,2,观察会员,否,否
江苏金百临投资咨询股份有限公司,费晓燕,私募证券投资基金管理人,P1000658,江苏省,江苏省,2001-01-18,2014-03-25,1,非会员机构,否,否
中城赋比兴（天津）股权投资基金管理合伙企业（有限合伙）,赵珂,私募证券投资基金管理人,P1000659,天津市,上海市,2010-12-28,2014-03-25,2,普通会员,是,否
天津硅谷天堂股权投资基金管理有限公司,张全有,私募股权、创业投资基金管理人,P1000660,天津市,北京市,2010-09-28,2014-03-25,3,观察会员,是,否
天津赛富盛元投资管理中心（有限合伙）,阎焱,私募股权、创业投资基金管理人,P1000661,天津市,天津市,2008-07-02,2014-03-25,26,普通会员,是,否
中粮农业产业基金管理有限责任公司,刘燕松,私募股权、创业投资基金管理人,P1000662,北京市,北京市,2011-03-02,2014-03-25,4,非会员机构,是,否
苏州工业园区华穗创业投资管理有限公司,SEAH KIAN WEE,私募股权、创业投资基金管理人,P1000663,江苏省,上海市,2008-07-18,2014-03-25,3,非会员机构,是,否
北京银河吉星创业投资有限责任公司,陈嘉翊,私募股权、创业投资基金管理人,P1000664,北京市,北京市,2010-08-27,2014-03-25,5,观察会员,是,否
北京紫荆华融资本管理有限公司,钱进,私募股权、创业投资基金管理人,P1000666,北京市,北京市,2013-11-13,2014-03-25,2,非会员机构,是,否
