序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
51,159819,易方达中证人工智能主题ETF,1.7136,1.7136,1.6805,1.6805,0.0331,1.97,开放,开放,2026-04-17,1.7136,1.7136,股票型,2026-04-17
52,512930,平安人工智能ETF,2.4427,2.6467,2.3955,2.5995,0.0547,1.97,开放,开放,2026-04-17,2.4427,2.6467,股票型,2026-04-17
53,588320,广发中证科创创业50增强策略ETF,1.6748,1.6748,1.6426,1.6426,0.0322,1.96,开放,开放,2026-04-17,1.6748,1.6748,股票型,2026-04-17
54,588660,兴银中证科创创业50ETF,1.7602,1.7602,1.7263,1.7263,0.0339,1.96,开放,开放,2026-04-17,1.7602,1.7602,股票型,2026-04-17
55,515980,华富中证人工智能产业ETF,0.994,1.988,0.975,1.95,0.038,1.95,开放,开放,2026-04-17,0.994,1.988,股票型,2026-04-17
56,588830,鹏华科创板新能源ETF,1.6469,1.6469,1.6156,1.6156,0.0313,1.94,开放,开放,2026-04-17,1.6469,1.6469,股票型,2026-04-17
57,588960,富国上证科创板新能源ETF,1.4945,1.4945,1.466,1.466,0.0285,1.94,开放,开放,2026-04-17,1.4945,1.4945,股票型,2026-04-17
58,589960,易方达上证科创板新能源ETF,1.144,1.144,1.1223,1.1223,0.0217,1.93,开放,开放,2026-04-17,1.144,1.144,股票型,2026-04-17
59,516050,科技龙头ETF工银,1.2021,1.2021,1.1797,1.1797,0.0224,1.9,开放,开放,2026-04-17,1.2021,1.2021,股票型,2026-04-17
60,515000,华宝中证科技龙头ETF,1.1287,2.2574,1.1081,2.2162,0.0412,1.86,开放,开放,2026-04-17,1.1287,2.2574,股票型,2026-04-17
61,588070,万家上证科创板成长ETF,2.0189,2.0189,1.9832,1.9832,0.0357,1.8,开放,开放,2026-04-17,2.0189,2.0189,股票型,2026-04-17
62,589700,南方上证科创板成长ETF,1.9654,1.9654,1.9306,1.9306,0.0348,1.8,开放,开放,2026-04-17,1.9654,1.9654,股票型,2026-04-17
63,159370,创50ETF工银,1.9471,1.9471,1.9129,1.9129,0.0342,1.79,开放,开放,2026-04-17,1.9471,1.9471,股票型,2026-04-17
64,159372,万家创业板50ETF,1.9619,1.9619,1.9274,1.9274,0.0345,1.79,开放,开放,2026-04-17,1.9619,1.9619,股票型,2026-04-17
65,159371,富国创业板50ETF,1.8425,1.8425,1.8102,1.8102,0.0323,1.78,开放,开放,2026-04-17,1.8425,1.8425,股票型,2026-04-17
66,159375,国泰创业板50ETF,1.9626,1.9626,1.9282,1.9282,0.0344,1.78,开放,开放,2026-04-17,1.9626,1.9626,股票型,2026-04-17
67,588020,易方达上证科创板成长ETF,2.3511,2.3511,2.3099,2.3099,0.0412,1.78,开放,开放,2026-04-17,2.3511,2.3511,股票型,2026-04-17
68,588110,广发上证科创板成长ETF,2.2925,2.2925,2.2523,2.2523,0.0402,1.78,开放,开放,2026-04-17,2.2925,2.2925,股票型,2026-04-17
69,159298,大成创业板50ETF,1.2987,1.2987,1.2762,1.2762,0.0225,1.76,开放,开放,2026-04-17,1.2987,1.2987,股票型,2026-04-17
70,159369,易方达创业板50ETF,1.4982,1.4982,1.4724,1.4724,0.0258,1.75,开放,开放,2026-04-17,1.4982,1.4982,股票型,2026-04-17
71,159367,华夏创业板50ETF,1.8537,1.8537,1.822,1.822,0.0317,1.74,开放,开放,2026-04-17,1.8537,1.8537,股票型,2026-04-17
72,159949,华安创业板50ETF,1.7617,1.7617,1.7315,1.7315,0.0302,1.74,开放,开放,2026-04-17,1.7617,1.7617,股票型,2026-04-17
73,159373,嘉实创业板50ETF,1.8835,1.8835,1.8515,1.8515,0.032,1.73,开放,开放,2026-04-17,1.8835,1.8835,股票型,2026-04-17
74,159383,华泰柏瑞创业板50ETF,1.8319,1.8319,1.8008,1.8008,0.0311,1.73,开放,开放,2026-04-17,1.8319,1.8319,股票型,2026-04-17
75,159681,创50ETF,1.729,1.729,1.6996,1.6996,0.0294,1.73,开放,开放,2026-04-17,1.729,1.729,股票型,2026-04-17
76,159682,景顺长城创业板50ETF,1.7099,1.7099,1.6808,1.6808,0.0291,1.73,开放,开放,2026-04-17,1.7099,1.7099,股票型,2026-04-17
77,588410,鹏华中证科创创业人工智能ETF,1.1745,1.1745,1.1545,1.1545,0.02,1.73,开放,开放,2026-04-17,1.1745,1.1745,股票型,2026-04-17
78,159140,易方达中证科创创业人工智能ETF,1.2203,1.2203,1.1998,1.1998,0.0205,1.71,开放,开放,2026-04-17,1.2203,1.2203,股票型,2026-04-17
79,588850,嘉实上证科创板工业机械ETF,1.585,1.585,1.5584,1.5584,0.0266,1.71,开放,开放,2026-04-17,1.585,1.585,股票型,2026-04-17
