基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
026886,财通资管消费研选混合发起式A,财通资管,混合型-偏股,26/03/09～26/03/09,0.1,2026-03-11,0.79,赵雯,开放申购,0.08
026308,新华锦利债券C,新华基金,债券型-混合二级,26/03/04～26/03/25,2.7,2026-03-27,0.05,"林翟,姚海明",开放申购,0.0
026307,新华锦利债券A,新华基金,债券型-混合二级,26/03/04～26/03/25,2.7,2026-03-27,0.06,"林翟,姚海明",开放申购,0.03
023679,格林上证科创板综合指数增强A,格林基金,指数型-股票,26/03/04～26/03/24,3.4,2026-03-27,2.46,"郑中华,宋宾煌",开放申购,0.03
023680,格林上证科创板综合指数增强C,格林基金,指数型-股票,26/03/04～26/03/24,3.4,2026-03-27,2.43,"郑中华,宋宾煌",开放申购,0.0
026847,易方达中证港股通综合量化增强A,易方达基金,指数型-股票,26/03/04～26/03/17,4.97,2026-03-19,1.47,"官泽帆,杜才鸣",开放申购,0.03
026848,易方达中证港股通综合量化增强C,易方达基金,指数型-股票,26/03/04～26/03/17,4.97,2026-03-19,1.45,"官泽帆,杜才鸣",开放申购,0.0
026456,银华启元债券A,银华基金,债券型-混合二级,26/03/03～26/03/16,21.84,2026-03-18,0.32,冯帆,开放申购,0.03
026457,银华启元债券C,银华基金,债券型-混合二级,26/03/03～26/03/16,21.84,2026-03-18,0.3,冯帆,开放申购,0.0
025944,财通聚信稳健3个月持有期混合(FOF)A,财通基金,FOF-稳健型,26/03/02～26/04/13,2.06,2026-04-16,0.0,陈曦,开放申购,0.05
025945,财通聚信稳健3个月持有期混合(FOF)C,财通基金,FOF-稳健型,26/03/02～26/04/13,2.06,2026-04-16,-0.01,陈曦,开放申购,0.0
026764,人保中证港股通互联网指数A,人保资产,指数型-股票,26/03/02～26/03/19,2.05,2026-03-23,-1.72,"吴若宗,周剑",开放申购,0.03
026765,人保中证港股通互联网指数C,人保资产,指数型-股票,26/03/02～26/03/19,2.05,2026-03-23,-1.74,"吴若宗,周剑",开放申购,0.0
026844,国泰上证科创板200ETF发起联接C,国泰基金,指数型-股票,26/03/02～26/03/18,6.1,2026-03-20,1.84,彭悦,开放申购,0.0
026843,国泰上证科创板200ETF发起联接A,国泰基金,指数型-股票,26/03/02～26/03/18,6.1,2026-03-20,1.86,彭悦,开放申购,0.03
026464,人保睿逸智选混合A,人保资产,混合型-偏股,26/03/02～26/03/18,2.02,2026-03-23,7.25,周剑,开放申购,0.08
026465,人保睿逸智选混合C,人保资产,混合型-偏股,26/03/02～26/03/18,2.02,2026-03-23,7.21,周剑,开放申购,0.0
026773,中银证券创业板ETF联接C,中银证券,指数型-股票,26/03/02～26/03/13,16.08,2026-03-17,14.66,张艺敏,开放申购,0.0
026817,富国创业板新能源ETF发起式联接C,富国基金,指数型-股票,26/03/02～26/03/13,0.45,2026-03-17,4.9,葛俊阳,开放申购,0.0
026772,中银证券创业板ETF联接A,中银证券,指数型-股票,26/03/02～26/03/13,16.08,2026-03-17,14.73,张艺敏,开放申购,0.03
026816,富国创业板新能源ETF发起式联接A,富国基金,指数型-股票,26/03/02～26/03/13,0.45,2026-03-17,4.93,葛俊阳,开放申购,0.03
026631,天弘中证智选质量领先50指数C,天弘基金,指数型-股票,26/03/02～26/03/13,10.35,2026-03-17,1.3,沙川,开放申购,0.0
026783,诺安悦鑫90天持有期债A,诺安基金,债券型-长债,26/03/02～26/03/13,7.91,2026-03-17,0.07,岳帅,开放申购,0.03
026380,国泰海通善选稳健配置三个月持有混合(FOF)A,国泰海通资管,FOF-稳健型,26/03/02～26/03/13,2.21,2026-03-17,0.35,郭圳滨,开放申购,0.03
026381,国泰海通善选稳健配置三个月持有混合(FOF)C,国泰海通资管,FOF-稳健型,26/03/02～26/03/13,2.21,2026-03-17,0.32,郭圳滨,开放申购,0.0
026784,诺安悦鑫90天持有期债C,诺安基金,债券型-长债,26/03/02～26/03/13,7.91,2026-03-17,0.06,岳帅,开放申购,0.0
026630,天弘中证智选质量领先50指数A,天弘基金,指数型-股票,26/03/02～26/03/13,10.35,2026-03-17,1.31,沙川,开放申购,0.03
026729,中信保诚科技智选混合C,中信保诚基金,混合型-偏股,26/02/27～26/03/20,3.53,2026-03-24,6.63,孙浩中,开放申购,0.0
026728,中信保诚科技智选混合A,中信保诚基金,混合型-偏股,26/02/27～26/03/20,3.53,2026-03-24,6.67,孙浩中,开放申购,0.08
025974,工银添悦债券A,工银瑞信基金,债券型-混合二级,26/02/26～26/03/13,3.92,2026-03-17,0.08,张洋,开放申购,0.03
025981,工银添悦债券C,工银瑞信基金,债券型-混合二级,26/02/26～26/03/13,3.92,2026-03-17,0.06,张洋,开放申购,0.0
026758,招商港股通汽车发起式A,招商基金,指数型-股票,26/02/26～26/02/26,0.1,2026-03-02,6.04,廖裕舟,开放申购,0.03
026759,招商港股通汽车发起式C,招商基金,指数型-股票,26/02/26～26/02/26,0.1,2026-03-02,6.01,廖裕舟,开放申购,0.0
026397,鹏扬科技先锋混合C,鹏扬基金,混合型-偏股,26/02/25～26/03/11,2.21,2026-03-13,6.65,张勋,开放申购,0.0
026396,鹏扬科技先锋混合A,鹏扬基金,混合型-偏股,26/02/25～26/03/11,2.21,2026-03-13,6.7,张勋,开放申购,0.08
026864,苏新韵启混合A,苏新基金,混合型-偏股,26/02/24～26/03/20,3.5,2026-03-24,2.0,李永兴,开放申购,0.08
026865,苏新韵启混合C,苏新基金,混合型-偏股,26/02/24～26/03/20,3.5,2026-03-24,1.96,李永兴,开放申购,0.0
026458,银华中证有色金属ETF联接A,银华基金,指数型-股票,26/02/24～26/03/16,12.74,2026-03-18,3.48,"张凯,谭普景",开放申购,0.03
026459,银华中证有色金属ETF联接C,银华基金,指数型-股票,26/02/24～26/03/16,12.74,2026-03-18,3.46,"张凯,谭普景",开放申购,0.0
026771,中银创业板50指数C,中银基金,指数型-股票,26/02/24～26/03/13,2.58,2026-03-17,12.53,"姚进,李念",开放申购,0.0
026170,华富安沣债券C,华富基金,债券型-混合二级,26/02/24～26/03/13,5.65,2026-03-17,0.12,"戴弘毅,何嘉楠",开放申购,0.0
026169,华富安沣债券A,华富基金,债券型-混合二级,26/02/24～26/03/13,5.65,2026-03-17,0.13,"戴弘毅,何嘉楠",开放申购,0.03
026770,中银创业板50指数A,中银基金,指数型-股票,26/02/24～26/03/13,2.58,2026-03-17,12.55,"姚进,李念",开放申购,0.03
026125,汇丰晋信周期优选股票C,汇丰晋信基金,股票型,26/02/24～26/03/09,6.94,2026-03-11,-1.94,郑小兵,开放申购,0.0
026124,汇丰晋信周期优选股票A,汇丰晋信基金,股票型,26/02/24～26/03/09,6.94,2026-03-11,-1.9,郑小兵,开放申购,0.08
026840,万家医疗创新混合发起式C,万家基金,混合型-偏股,26/02/24～26/02/24,0.1,2026-02-26,-1.96,况晓,开放申购,0.0
026839,万家医疗创新混合发起式A,万家基金,混合型-偏股,26/02/24～26/02/24,0.1,2026-02-26,-1.9,况晓,开放申购,0.08
026837,财通资管周期研选混合发起式A,财通资管,混合型-偏股,26/02/24～26/02/24,0.1,2026-02-26,-3.85,毛鼎,开放申购,0.08
026838,财通资管周期研选混合发起式C,财通资管,混合型-偏股,26/02/24～26/02/24,0.1,2026-02-26,-3.9,毛鼎,开放申购,0.0
