交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
上海期货交易所,沪铅2610,pb2610,16750.0,18425.0,15075.0,12.0,12.0,10050.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铅2611,pb2611,16775.0,18450.0,15095.0,12.0,12.0,10065.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铅2612,pb2612,16800.0,18480.0,15120.0,12.0,12.0,10080.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铅2701,pb2701,16820.0,18500.0,15135.0,12.0,12.0,10092.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铅2702,pb2702,16885.0,18570.0,15195.0,12.0,12.0,10131.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铅2703,pb2703,16820.0,17995.0,15640.0,9.0,9.0,7569.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2605,zn2605,24285.0,26710.0,21855.0,12.0,12.0,14571.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2606,zn2606,24350.0,26785.0,21915.0,12.0,12.0,14610.0,,3,,3,,0,25,3.0,22.0,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2607,zn2607,24405.0,26845.0,21960.0,12.0,12.0,14643.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2608,zn2608,24435.0,26875.0,21990.0,12.0,12.0,14661.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2609,zn2609,24430.0,26870.0,21985.0,12.0,12.0,14658.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2610,zn2610,24415.0,26855.0,21970.0,12.0,12.0,14649.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2611,zn2611,24400.0,26840.0,21960.0,12.0,12.0,14640.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2612,zn2612,24420.0,26860.0,21975.0,12.0,12.0,14652.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2701,zn2701,24440.0,26880.0,21995.0,12.0,12.0,14664.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2702,zn2702,24385.0,26820.0,21945.0,12.0,12.0,14631.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锌2703,zn2703,24420.0,26125.0,22710.0,9.0,9.0,10989.0,,3,,3,,0,25,3.0,22.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2605,ao2605,2696.0,2965.0,2426.0,12.0,12.0,6470.4,0.0001,1/万分之 (5.4元),0.0001,1/万分之 (5.4元),0.0001,1/万分之 (5.4元),20,10.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2606,ao2606,2706.0,2976.0,2435.0,12.0,12.0,6494.4,0.0001,1/万分之 (5.4元),0.0001,1/万分之 (5.4元),0.0001,1/万分之 (5.4元),20,10.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2607,ao2607,2764.0,3040.0,2487.0,12.0,12.0,6633.6,0.0001,1/万分之 (5.5元),0.0001,1/万分之 (5.5元),0.0001,1/万分之 (5.5元),20,11.1,8.9,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2608,ao2608,2804.0,3084.0,2523.0,12.0,12.0,6729.6,0.0001,1/万分之 (5.6元),0.0001,1/万分之 (5.6元),0.0001,1/万分之 (5.6元),20,11.2,8.8,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2609,ao2609,2843.0,3127.0,2558.0,12.0,12.0,6823.2,0.0001,1/万分之 (5.7元),0.0001,1/万分之 (5.7元),0.0001,1/万分之 (5.7元),20,11.4,8.6,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2610,ao2610,2867.0,3153.0,2580.0,12.0,12.0,6880.8,0.0001,1/万分之 (5.7元),0.0001,1/万分之 (5.7元),0.0001,1/万分之 (5.7元),20,11.5,8.5,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2611,ao2611,2886.0,3174.0,2597.0,12.0,12.0,6926.4,0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),20,11.5,8.5,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2612,ao2612,2902.0,3192.0,2611.0,12.0,12.0,6964.8,0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),20,11.6,8.4,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2701,ao2701,2916.0,3207.0,2624.0,12.0,12.0,6998.4,0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),20,11.7,8.3,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2702,ao2702,2927.0,3219.0,2634.0,12.0,12.0,7024.8,0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),20,11.7,8.3,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,氧化铝2703,ao2703,2916.0,3120.0,2711.0,9.0,9.0,5248.8,0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),0.0001,1/万分之 (5.8元),20,11.7,8.3,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,线材2605,wr2605,3270.0,3531.0,3008.0,10.0,10.0,3270.0,4e-05,0.4/万分之 (1.3元),4e-05,0.4/万分之 (1.3元),0.0,0/万分之 (0元),10,1.3,8.7,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,线材2606,wr2606,3409.0,3681.0,3136.0,10.0,10.0,3409.0,4e-05,0.4/万分之 (1.4元),4e-05,0.4/万分之 (1.4元),0.0,0/万分之 (0元),10,1.4,8.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,线材2607,wr2607,3370.0,3639.0,3100.0,10.0,10.0,3370.0,4e-05,0.4/万分之 (1.3元),4e-05,0.4/万分之 (1.3元),0.0,0/万分之 (0元),10,1.3,8.7,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,线材2608,wr2608,3391.0,3662.0,3119.0,10.0,10.0,3391.0,4e-05,0.4/万分之 (1.4元),4e-05,0.4/万分之 (1.4元),0.0,0/万分之 (0元),10,1.4,8.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,线材2609,wr2609,3386.0,3656.0,3115.0,10.0,10.0,3386.0,4e-05,0.4/万分之 (1.4元),4e-05,0.4/万分之 (1.4元),0.0,0/万分之 (0元),10,1.4,8.6,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
