合约编码,合约交易代码,合约简称,标的券名称及代码,类型,行权价,合约单位,期权行权日,行权交收日,到期日,开始日期
10010305,510050P2606A02900,50ETF沽6月2825A,50ETF(510050),认沽,2.825,10265,20260624,20260625,20260624,20251023
10010306,510050P2606A02950,50ETF沽6月2874A,50ETF(510050),认沽,2.874,10265,20260624,20260625,20260624,20251023
10010307,510050P2606A03000,50ETF沽6月2923A,50ETF(510050),认沽,2.923,10265,20260624,20260625,20260624,20251023
10010308,510050P2606A03100,50ETF沽6月3020A,50ETF(510050),认沽,3.020,10265,20260624,20260625,20260624,20251023
10010309,510050P2606A03200,50ETF沽6月3117A,50ETF(510050),认沽,3.117,10265,20260624,20260625,20260624,20251023
10010310,510050P2606A03300,50ETF沽6月3215A,50ETF(510050),认沽,3.215,10265,20260624,20260625,20260624,20251023
10010311,510050P2606A03400,50ETF沽6月3312A,50ETF(510050),认沽,3.312,10265,20260624,20260625,20260624,20251023
10010312,510050P2606A03500,50ETF沽6月3410A,50ETF(510050),认沽,3.410,10265,20260624,20260625,20260624,20251023
10010386,510050P2606A03600,50ETF沽6月3507A,50ETF(510050),认沽,3.507,10265,20260624,20260625,20260624,20251024
10011253,510050P2606M02650,50ETF沽6月2650,50ETF(510050),认沽,2.650,10000,20260624,20260625,20260624,20260324
10011254,510050P2606M02700,50ETF沽6月2700,50ETF(510050),认沽,2.700,10000,20260624,20260625,20260624,20260324
10011232,510050P2606M02750,50ETF沽6月2750,50ETF(510050),认沽,2.750,10000,20260624,20260625,20260624,20260323
10010606,510050P2606M02800,50ETF沽6月2800,50ETF(510050),认沽,2.800,10000,20260624,20260625,20260624,20251217
10010607,510050P2606M02850,50ETF沽6月2850,50ETF(510050),认沽,2.850,10000,20260624,20260625,20260624,20251217
10010608,510050P2606M02900,50ETF沽6月2900,50ETF(510050),认沽,2.900,10000,20260624,20260625,20260624,20251217
10010609,510050P2606M02950,50ETF沽6月2950,50ETF(510050),认沽,2.950,10000,20260624,20260625,20260624,20251217
10010610,510050P2606M03000,50ETF沽6月3000,50ETF(510050),认沽,3.000,10000,20260624,20260625,20260624,20251217
10010611,510050P2606M03100,50ETF沽6月3100,50ETF(510050),认沽,3.100,10000,20260624,20260625,20260624,20251217
10010612,510050P2606M03200,50ETF沽6月3200,50ETF(510050),认沽,3.200,10000,20260624,20260625,20260624,20251217
10010613,510050P2606M03300,50ETF沽6月3300,50ETF(510050),认沽,3.300,10000,20260624,20260625,20260624,20251217
10010614,510050P2606M03400,50ETF沽6月3400,50ETF(510050),认沽,3.400,10000,20260624,20260625,20260624,20251217
10010622,510050P2606M03500,50ETF沽6月3500,50ETF(510050),认沽,3.500,10000,20260624,20260625,20260624,20251218
10010730,510050P2606M03600,50ETF沽6月3600,50ETF(510050),认沽,3.600,10000,20260624,20260625,20260624,20260106
10011257,510050P2609M02650,50ETF沽9月2650,50ETF(510050),认沽,2.650,10000,20260923,20260924,20260923,20260324
10011258,510050P2609M02700,50ETF沽9月2700,50ETF(510050),认沽,2.700,10000,20260923,20260924,20260923,20260324
10011234,510050P2609M02750,50ETF沽9月2750,50ETF(510050),认沽,2.750,10000,20260923,20260924,20260923,20260323
10011216,510050P2609M02800,50ETF沽9月2800,50ETF(510050),认沽,2.800,10000,20260923,20260924,20260923,20260310
10010980,510050P2609M02850,50ETF沽9月2850,50ETF(510050),认沽,2.850,10000,20260923,20260924,20260923,20260129
10010981,510050P2609M02900,50ETF沽9月2900,50ETF(510050),认沽,2.900,10000,20260923,20260924,20260923,20260129
10010982,510050P2609M02950,50ETF沽9月2950,50ETF(510050),认沽,2.950,10000,20260923,20260924,20260923,20260129
