基金代码,基金名称,投资类型,募集起始日,募集终止日,管理人,基金经理,认购费率,最低认购,基金类型,投资风格
026418,东财上证科创100指数A,股票型,2026-04-13,2026-04-27,东财基金管理有限公司,赵肖萌,0.3,1.0,开放式基金,平衡型
026419,东财上证科创100指数C,股票型,2026-04-13,2026-04-27,东财基金管理有限公司,赵肖萌,0.0,1.0,开放式基金,平衡型
026450,天弘稳益优选混合A,混合型,2026-04-20,2026-04-28,天弘基金管理有限公司,曹渝,0.5,0.1,开放式基金,
026451,天弘稳益优选混合C,混合型,2026-04-20,2026-04-28,天弘基金管理有限公司,曹渝,0.0,0.1,开放式基金,
026473,西部利得周期鑫选混合发起A,混合型,2026-04-14,2026-04-27,西部利得基金管理有限公司,何奇,0.8,1.0,开放式基金,成长型
026474,西部利得周期鑫选混合发起C,混合型,2026-04-14,2026-04-27,西部利得基金管理有限公司,何奇,0.0,1.0,开放式基金,成长型
026510,广发优选回报混合A,混合型,2026-04-15,2026-05-08,广发基金管理有限公司,王鹏,0.8,,开放式基金,平衡型
026511,广发优选回报混合C,混合型,2026-04-15,2026-05-08,广发基金管理有限公司,王鹏,0.0,,开放式基金,平衡型
026551,东方和煦30天持有期债券A,债券型,2026-04-13,2026-04-24,东方基金管理股份有限公司,吴萍萍,0.3,,开放式基金,
026552,东方和煦30天持有期债券C,债券型,2026-04-13,2026-04-24,东方基金管理股份有限公司,吴萍萍,0.0,,开放式基金,
026572,农银安泽多元配置三个月持有期混合(FOF)A,基金型,2026-05-06,2026-05-26,农银汇理基金管理有限公司,方玉冰,0.5,10.0,开放式基金,
026573,农银安泽多元配置三个月持有期混合(FOF)C,基金型,2026-05-06,2026-05-26,农银汇理基金管理有限公司,方玉冰,0.0,10.0,开放式基金,
026604,交银沃享稳健三个月持有期混合(FOF)A,基金型,2026-04-13,2026-04-24,交银施罗德基金管理有限公司,刘迪,0.5,1.0,开放式基金,
026605,交银沃享稳健三个月持有期混合(FOF)C,基金型,2026-04-13,2026-04-24,交银施罗德基金管理有限公司,刘迪,0.0,1.0,开放式基金,
026626,建信消费严选股票A,股票型,2026-04-07,2026-04-24,建信基金管理有限责任公司,刘克飞,0.8,1.0,开放式基金,成长型
026627,建信消费严选股票C,股票型,2026-04-07,2026-04-24,建信基金管理有限责任公司,刘克飞,0.0,1.0,开放式基金,成长型
026650,易方达如意安惠6个月持有混合(FOF)A,基金型,2026-05-08,2026-05-13,易方达基金管理有限公司,刘先宇,0.5,1.0,开放式基金,
026651,易方达如意安惠6个月持有混合(FOF)C,基金型,2026-05-08,2026-05-13,易方达基金管理有限公司,刘先宇,0.0,1.0,开放式基金,
