代码,简称,股东大会名称,召开开始日,股权登记日,现场登记日,网络投票时间-开始日,网络投票时间-结束日,决议公告日,公告日,序列号,提案
300648,星云股份,2025年年度股东大会,2026-05-18,2026-05-11,,2026-05-18,2026-05-18,,2026-04-25,235145,"1、《关于<2025年度董事会工作报告>的议案》、《关于<2025年度募集资金存放与实际使用情况的专项报告>的议案》、《关于<2025年度财务决算报告>的议案》
4、《关于<2026年度财务预算报告>的议案》
5、《关于2025年度利润分配预案的议案》
6、《关于<2025年年度报告及其摘要>的议案》
7、《关于续聘2026年度审计机构的议案》
8、《关于2026年度日常关联交易预计的议案》
9、《关于2026年度为子公司提供担保额度预计的议案》
10、《关于使用部分闲置募集资金用于现金管理的议案》
11、《关于重新制定<董事、高级管理人员薪酬管理制度>的议案》
12、《关于确认董事2025年度薪酬及制定2026年度薪酬方案的议案》
13、《关于未弥补亏损达到股本总额三分之一的议案》"
300278,华昌达,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235146,"1、公司2025年度董事会工作报告、公司2025年度财务决算报告、公司2025年度利润分配预案
4、关于计提资产减值准备的议案
5、公司2025年年度报告及报告摘要
6、关于公司续聘及支付聘请的审计机构报酬的议案
7、关于申请银行综合授信额度的议案
8、关于公司及下属子公司2026年度日常关联交易预计的议案
9、关于为公司及董事、高级管理人员购买责任险的议案
10、关于公司未来三年(2026年-2028年)股东回报规划的议案
11、关于变更注册资本并修订《公司章程》的议案
12、关于未弥补亏损达到实收股本总额三分之一的议案
13、关于制定《公司董事、高级管理人员薪酬管理制度》的议案
14、关于2026年度董事薪酬方案的议案"
688370,丛麟科技,2025年年度股东大会,2026-05-26,2026-05-19,,2026-05-26,2026-05-26,,2026-04-25,235143,"1、《关于2025年度董事会工作报告的议案》、《关于2025年度利润分配预案的议案》、《关于提请股东会授权董事会进行2026年度中期分红的议案》
4、《关于聘任公司2025年度财务审计机构及内控审计机构的议案》
5、《关于2026年度董事薪酬方案的议案》
6、《关于2026年度申请银行授信及对外担保预计的议案》
7、《关于2026年度日常关联交易预计的议案》
8、《关于修订<董事、高级管理人员薪酬管理制度>的议案》"
300040,九洲集团,2025年年度股东大会,2026-05-26,2026-05-15,,2026-05-26,2026-05-26,,2026-04-25,235144,"1、《董事会工作报告》、《2025年年度报告及其摘要》、《2025年度财务报告》
4、《关于2025年利润分配方案的议案》
5、《关于续聘2026年度审计机构的议案》
6、《关于董事、高级管理人员2026年度薪酬标准及考核方案的议案》
7、《关于使用暂时闲置资金购买银行理财产品的议案》
8、《关于为子公司申请综合授信或融资租赁借款提供担保的议案》
9、《关于修订<董事、高级管理人员薪酬管理制度>的议案》
10、《2026年投资计划的议案》
11、《关于2026年度日常关联交易预计的议案》
12、《关于增加注册资本及修订公司章程的议案》
13、《关于提请股东会授权董事会以简易程序向特定对象发行股票的议案》
14、《关于换届选举公司第九届董事会非独立董事的议案》
15、《关于换届选举公司第九届董事会独立董事的议案》"
603078,江化微,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235095,"1、关于《江阴江化微电子材料股份有限公司2025年度董事会工作报告》的议案、关于2025年度利润分配方案的议案、关于《江阴江化微电子材料股份有限公司2025年年度报告》及其摘要的议案
4、关于董事2025年度薪酬执行情况及2026年度薪酬考核方案的议案
5、关于公司继续购买董高责任险的议案
6、关于制定《江阴江化微电子材料股份有限公司董事、高级管理人员薪酬与绩效考核制度》的议案
7、关于申请2026年度银行综合授信的议案
8、关于提请股东会授权董事会制定2026年中期分红方案的议案"
600861,北京人力,2025年年度股东大会,2026-05-19,2026-05-12,,2026-05-19,2026-05-19,,2026-04-25,235168,"1、《关于<公司2025年度董事会工作报告>的议案》、《关于2025年年度利润分配方案的议案》、《关于现任非独立董事2025年度考核结果的议案》
4、《关于为公司及董事、高级管理人员购买责任保险的议案》"
603579,荣泰健康,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235169,"1、关于公司2025年年度报告及报告摘要的议案、关于公司2025年度董事会工作报告的议案、关于公司2025年度财务报告的议案
4、关于公司2025年度财务决算报告的议案
5、关于公司2025年度利润分配预案的议案
6、关于提议续聘公司2026年度审计机构的议案
7、关于公司2026年度向金融机构申请综合授信额度的议案
8、关于公司2026年度使用闲置自有资金委托理财的议案
9、关于公司2026年开展远期结售汇业务和外汇衍生产品业务的议案
10、关于公司2026年董事及高级管理人员薪酬方案的议案
11、关于制定公司《董事、高级管理人员薪酬管理制度》的议案"
603688,石英股份,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235092,"1、关于公司2025年年度董事会工作报告的议案、关于公司2025年年度财务决算报告的议案、关于公司2025年年度独立董事述职报告的议案
4、关于公司2025年年度报告及摘要的议案
5、关于公司2025年年度利润分配预案的议案
6、关于董事2025年年度薪酬执行情况的议案
7、关于高级管理人员2025年年度薪酬执行情况的议案
8、关于董事2026年年度薪酬考核方案的议案
9、关于高级管理人员2026年年度薪酬考核方案的议案
10、关于续聘公司2026年年度审计机构的议案
11、关于修订《董事和高级管理人员薪酬管理制度》的议案"
300849,锦盛新材,2025年年度股东大会,2026-05-19,2026-05-13,,2026-05-19,2026-05-19,,2026-04-25,235167,"1、《2025年度董事会工作报告》、《关于公司2025年年度报告及摘要的议案》、《2025年度财务决算报告》
4、《关于公司2025年度利润分配预案的议案》
5、《关于公司续聘会计师事务所的议案》
6、《关于修订<董事、高级管理人员薪酬管理制度>的议案》
7、《关于公司2026年度非独立董事薪酬方案的议案》
8、《关于公司2026年度独立董事薪酬方案的议案》
9、《关于公司及子公司2026年度向金融机构申请授信额度的议案》"
603663,三祥新材,2025年年度股东大会,2026-05-28,2026-05-21,,2026-05-28,2026-05-28,,2026-04-25,235170,"1、关于2025年董事会工作报告的议案、关于2025年年度报告及其摘要的议案、关于公司2025年度利润分配预案的议案
4、关于公司2026年度董事、高级管理人员薪酬方案的议案
5、关于制定《三祥新材股份有限公司董事、高级管理人员薪酬管理制度》的议案
6、关于2026年度公司及所属子公司申请授信及提供担保的议案
7、关于续聘公司2026年审计机构的议案
8、关于变更注册资本并修改〈公司章程〉的议案"
300275,梅安森,2025年年度股东大会,2026-05-18,2026-05-13,,2026-05-18,2026-05-18,,2026-04-25,235173,"1、《2025年度董事会工作报告》、《2025年度利润分配预案》、《关于续聘中喜会计师事务所(特殊普通合伙)为公司2026年度审计机构的议案》
4、《关于董事2025年度薪酬确认和2026年度薪酬方案的议案》"
301065,本立科技,2025年年度股东大会,2026-05-15,2026-05-12,,2026-05-15,2026-05-15,,2026-04-25,235090,"1、《关于<2025年度董事会工作报告>的议案》、《关于公司2025年度利润分配预案的议案》、《关于<2025年年度报告>及其摘要的议案》
4、《关于公司董事2025年度薪酬(津贴)确认及2026年度薪酬(津贴)方案的议案》"
601015,陕西黑猫,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235171,"1、《关于公司2025年度董事会工作报告的议案》、《关于公司2025年度利润分配方案的议案》、《关于公司2025年度日常关联交易执行情况和2026年度预计日常关联交易报告的议案》
4、《关于制定公司部分治理制度的议案》
5、《关于公司聘任2026年度审计机构的议案》"
300189,神农种业,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235091,"1、《2025年度董事会工作报告》、《2025年度利润分配预案》、《2025年年度报告全文及摘要》
4、《关于修订<董事及高级管理人员薪酬管理制度>的议案》
5、《关于2026年度董事薪酬方案的议案》
6、《关于未弥补亏损达到实收股本总额三分之一的议案》
7、《关于2025年度日常关联交易执行情况及2026年度日常关联交易预计的议案》
8、《关于拟续聘会计师事务所的议案》
9、《关于向金融机构申请2026年度综合授信额度并提供担保相关事项的议案》"
688628,优利德,2025年年度股东大会,2026-05-19,2026-05-12,,2026-05-19,2026-05-19,,2026-04-25,235166,"1、《关于<2025年年度报告>及摘要的议案》、《关于<2025年度董事会工作报告>的议案》、《关于2025年度利润分配预案的议案》
4、《关于续聘2026年度审计机构的议案》
5、《关于公司2026年度独立董事薪酬方案的议案》
6、《关于公司2026年度非独立董事薪酬方案的议案》
7、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
8、《关于提请股东会授权董事会办理以简易程序向特定对象发行股票的议案》"
002158,汉钟精机,2025年年度股东大会,2026-05-22,2026-05-15,,2026-05-22,2026-05-22,,2026-04-25,235094,"1、审议关于公司《2025年度董事会工作报告》的议案、审议关于公司2025年度利润分配的议案、审议关于公司《2025年度报告全文及摘要》的议案
4、审议关于公司拟聘任2026年度审计机构的议案
5、审议关于公司董事、高级管理人员2025年度薪酬确认及2026年度薪酬方案的议案
6、审议关于授权公司董事长与银行签署融资额度及日常业务的议案
7、审议关于公司使用部分闲置自有资金进行投资理财的议案
8、审议关于公司2026年度为子公司及子公司之间提供担保的议案
9、审议关于公司及子公司开展外汇衍生品交易业务的议案
10、审议关于公司预计2026年度日常关联交易的议案
11、审议关于制定《未来三年(2026-2028年)股东回报规划》的议案
12、审议关于制定《董事、高级管理人员薪酬管理制度》的议案"
600503,华丽家族,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235158,"1、关于2025年年度报告及摘要的议案、关于2025年度董事会工作报告的议案、关于2025年度财务决算报告的议案
4、关于2025年度利润分配预案的议案
5、关于公司内部董事2026年度津贴方案的议案
6、关于续聘2026年度财务和内控审计机构的议案
7、关于2026年度担保计划的议案
8、关于选举第八届董事会独立董事的议案
9、关于制定公司董事和高级管理人员薪酬管理制度的议案"
001212,中旗新材,2025年年度股东大会,2026-05-18,2026-05-11,,2026-05-18,2026-05-18,,2026-04-25,235156,"1、2025年年度报告全文及其摘要、2025年度董事会工作报告、2025年度财务决算报告
4、2026年度财务预算方案
5、关于2025年度拟不进行利润分配的议案
6、关于使用部分闲置募集资金和自有资金进行现金管理及追认使用部分自有资金进行现金管理的议案
7、关于公司2026年续聘会计师事务所的议案
8、关于2026年度向银行申请综合授信额度的议案
9、关于提请股东会授权董事会办理小额快速融资相关事宜的议案
10、逐项审议关于修订《独立董事工作制度》等其他管理制度文件的议案
11、关于制定《董事、高级管理人员薪酬管理制度》的议案
12、关于2026年度董事、高级管理人员薪酬方案的议案"
600121,郑州煤电,2025年年度股东大会,2026-05-22,2026-05-18,,2026-05-22,2026-05-22,,2026-04-25,235157,"1、2025年度董事会工作报告、2025年度财务决算及2026年度财务预算报告、2025年年度报告全文及摘要
4、关于未弥补亏损达到实收股本总额三分之一的议案
5、2025年度利润分配方案
6、关于续聘会计师事务所的议案
7、关于确认2025年度董事薪酬及拟订2026年度薪酬方案的议案
8、关于与控股子公司开展联合融资租赁业务的议案
9、关于子公司开展反向保理业务的议案
10、关于修订《董事及高级管理人员薪酬管理办法》的议案"
605018,长华集团,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235160,"1、《2025年度董事会工作报告》、关于《2025年年度报告》全文及摘要的议案、关于续聘立信会计师事务所(特殊普通合伙)为公司2026年度审计机构的议案
4、关于2025年度利润分配预案的议案
5、关于公司及子公司2026年度向银行申请综合授信并对子公司提供担保的议案
6、关于董事2025年度薪酬情况及2026年度薪酬方案的议案
7、关于修订公司《董事、高级管理人员薪酬、津贴管理制度》的议案"
600992,贵绳股份,2025年年度股东大会,2026-05-22,2026-05-14,,2026-05-22,2026-05-22,,2026-04-25,235093,"1、2025年度董事会工作报告、2025年年度利润分配方案、2025年度财务决算报告及2026年度财务预算
4、2025年年度报告及年度报告摘要
5、独立董事述职报告
6、关于续聘会计师事务所的议案
7、关于公司日常关联交易的议案
8、关于2025年募集资金存放与实际使用情况的专项报告
9、关于制定《董事及高级管理人员薪酬管理制度》的议案"
603600,永艺股份,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235165,"1、关于2025年度董事会工作报告的议案、关于2025年年度报告及摘要的议案、关于2025年度财务决算报告的议案
4、关于2025年年度利润分配方案及2026年中期利润分配计划的议案
5、关于修订《永艺家具股份有限公司董事、高级管理人员薪酬管理制度》的议案
6、关于公司董事2025年度薪酬及2026年度薪酬方案的议案
7、关于续聘公司2026年度审计机构的议案
8、关于2026年度外汇衍生品交易计划的议案
9、关于2026年度向银行申请授信额度的议案
10、关于2026年度抵质押融资额度的议案
11、关于2026年度开展应收账款保理业务的议案
12、关于2026年度对外担保额度预计的议案"
002802,洪汇新材,2025年年度股东大会,2026-05-18,2026-05-11,,2026-05-18,2026-05-18,,2026-04-25,235161,"1、《关于2025年年度报告》及摘要、《2025年度董事会工作报告》、《2025年度财务决算报告》
4、《2026年度财务预算报告》
5、《关于2025年度利润分配预案的议案》
6、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
7、《关于2026年度董事薪酬方案的议案》
8、《关于向银行及非银行类金融机构申请融资及授信总额度的议案》
9、《关于开展外汇衍生品业务的议案》
10、《关于使用部分自有闲置资金进行现金管理的议案》
11、《关于确认2025年度日常关联交易及预计2026年度日常关联交易的议案》"
