统计时间,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中:中央政府,对其他存款性公司债权,对其他金融性公司债权,对非货币金融机构债权,对非金融性公司债权,其他资产,总资产,储备货币,发行货币,金融性公司存款,其他存款性公司,其他金融性公司,对金融机构负债,准备金存款,非金融性公司存款,活期存款,债券,国外负债,政府存款,自有资金,其他负债,总负债
2023.11,232796.52,219763.93,4009.97,9022.62,15240.68,15240.68,169884.8,1335.32,,,21397.31,440654.63,363160.01,115073.49,224098.75,224098.75,,,,,,1250.0,4402.85,55036.02,219.75,10853.11,440654.63
2023.10,232046.26,219002.12,3953.79,9090.35,15240.68,15240.68,163237.95,1331.18,,,21403.73,433259.8,350659.11,113544.31,213551.71,213551.71,,,,,,1150.0,4459.43,60559.97,219.75,9843.99,433259.8
2023.9,230938.68,218095.08,3855.33,8988.26,15240.68,15240.68,158157.05,1341.33,,,21677.15,427354.89,363920.94,114478.45,224684.87,224684.87,,,,,,1150.0,3539.93,43978.84,219.75,8774.38,427354.89
2023.8,231576.32,217673.89,3750.44,10151.99,15240.68,15240.68,146836.22,1359.52,,,21827.7,416840.45,353555.18,111437.81,218102.93,218102.93,,,,,,1050.0,1855.27,44706.43,219.75,8537.19,416840.45
2023.7,231736.57,217824.72,3633.25,10278.6,15240.68,15240.68,135783.71,1363.19,,,23967.53,408091.68,347843.94,111060.85,213840.69,213840.69,,,,,,950.0,1486.56,45154.97,219.75,6064.21,408091.68
2023.6,231574.38,217733.71,3539.95,10300.72,15240.68,15240.68,143449.64,1559.25,,,26238.89,418062.84,365235.34,110311.22,231388.96,231388.96,,,,,,950.0,1458.24,36873.7,219.75,6544.37,418062.84
2023.5,231469.31,217822.22,3455.76,10191.33,15240.68,15240.68,131711.72,1565.5,,,26433.63,406420.84,344206.59,109771.27,211438.1,211438.1,,,,,,950.0,1943.93,46016.9,219.75,6674.58,406420.84
2023.4,231338.37,217895.06,3385.1,10058.21,15240.68,15240.68,137902.3,1562.72,,,26610.13,412654.2,351668.92,110903.21,217622.83,217622.83,,,,,,1000.0,1503.96,44984.57,219.75,6784.49,412654.2
2023.3,230941.18,217893.63,3349.5,9698.05,15240.68,15240.68,146628.42,1564.52,,,26632.46,421007.27,364071.5,110936.84,230382.81,230382.81,,,,,,950.0,1652.61,41318.08,219.75,6690.57,421007.27
2023.2,229061.8,216182.12,3270.77,9608.91,15240.68,15240.68,143390.44,1551.26,,,28435.17,417679.36,350383.69,113860.09,,213456.77,,,,,,950.0,1571.72,51300.31,219.75,7291.16,417679.36
