代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
111000,起帆转债,204.92,605222,起帆电缆,10.0,9.992,2021-11-29,,2027-05-24,17.35,130,22.555,31.24,,14/15 | 30,如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%(含130%),
118044,赛特转债,177.194,688398,赛特新材,4.42,4.42,2024-03-15,,2029-09-11,18.9,130,24.57,27.95,,14/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123085,万顺转2,147.916,300057,万顺新材,9.0,4.662,2021-06-17,,2026-12-11,4.99,130,6.487,7.34,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%(含130%),
123236,家联转债,148.773,301193,家联科技,7.5,5.835,2024-06-28,,2029-12-22,15.33,130,19.929,22.58,,14/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127088,赫达转债,161.402,002810,山东赫达,6.0,5.996,2024-01-08,,2029-07-03,16.76,130,21.788,26.28,,14/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
111013,新港转债,167.771,605162,新中港,3.691,3.016,2023-09-14,,2029-03-08,8.67,130,11.271,14.01,,13/15 | 30,如果公司 A 股股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%,
118003,华兴转债,170.252,688001,华兴源创,8.0,6.271,2022-06-06,,2027-11-29,26.22,130,34.086,44.06,,12/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%(含 130%),
113051,节能转债,145.76,601016,节能风电,30.0,26.52,2021-12-27,,2027-06-21,3.33,130,4.329,4.06,,12/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),
123149,通裕转债,139.0,300185,通裕重工,14.847,11.069,2022-12-26,,2028-06-20,2.71,130,3.523,3.3,,12/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
113640,苏利转债,136.648,603585,苏利股份,9.572,7.934,2022-08-22,,2028-02-16,17.2,130,22.36,23.6,,11/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）。,
128141,旺能转债,137.958,002034,旺能环境,14.0,10.319,2021-06-23,,2026-12-17,13.98,130,18.174,19.46,,11/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),
118004,博瑞转债,189.091,688166,博瑞医药,4.65,4.428,2022-07-11,,2028-01-04,34.74,130,45.162,56.79,,9/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
113678,中贝转债,189.497,603220,中贝通信,5.17,5.108,2024-04-25,,2029-10-19,20.54,130,26.702,30.88,,14/15 | 30,如果公司股票在连续三十个交易日内至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）；,
127067,恒逸转2,178.699,000703,恒逸石化,30.0,29.994,2023-01-30,,2028-07-21,10.37,130,13.481,15.46,,9/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123255,鼎龙转债,246.547,300054,鼎龙股份,9.1,9.096,2025-10-09,,2031-04-02,28.48,130,37.024,52.53,,8/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123059,银信转债,140.101,300231,银信科技,3.914,1.569,2021-01-21,,2026-07-15,9.15,130,11.895,11.48,,8/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123092,天壕转债,136.904,300332,天壕能源,4.23,3.417,2021-06-30,,2026-12-24,4.98,130,6.474,5.68,,9/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
127103,东南转债,150.912,002135,东南网架,20.0,19.999,2024-07-09,,2030-01-03,5.6,130,7.28,7.38,,9/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
111005,富春转债,178.004,605189,富春染织,5.7,5.298,2022-12-29,,2028-06-23,11.98,130,15.574,17.93,,7/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
118056,路维转债,226.818,688401,路维光电,6.15,6.145,2025-12-17,,2031-06-11,32.7,130,42.51,56.4,,7/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%,
123187,超达转债,237.468,301186,超达装备,4.69,2.679,2023-10-11,,2029-04-04,30.98,130,40.274,72.7,,6/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含）,
127024,盈峰转债,181.768,000967,盈峰环境,14.762,11.306,2021-05-10,,2026-11-04,7.67,130,9.971,13.94,,6/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123054,思特转债,138.335,300608,思特奇,2.71,1.667,2020-12-16,,2026-06-10,9.88,130,12.844,12.87,,6/15 | 30,如果公司股票连续三十个交 易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
110087,天业转债,135.724,600075,新疆天业,30.0,29.975,2022-12-29,,2028-06-23,5.6,130,7.28,6.03,,10/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113048,晶科转债,146.722,601778,晶科科技,30.0,19.272,2021-10-29,,2027-04-23,4.5,130,5.85,6.42,,7/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
127109,电化转债,161.883,002125,湘潭电化,4.87,4.867,2025-12-22,,2031-06-16,10.1,130,13.13,14.16,,4/15 | 30,当公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123241,欧通转债,908.358,300870,欧陆通,6.445,2.605,2025-01-13,,2030-07-05,43.43,130,56.459,387.01,,4/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123126,瑞丰转债,155.155,300243,瑞丰高材,3.4,3.326,2022-03-16,,2027-09-10,11.64,130,15.132,17.24,,6/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%）,
127047,帝欧转债,140.724,002798,帝欧水华,15.0,6.558,2022-04-29,,2027-10-25,5.1,130,6.63,7.12,,3/15 | 30,如果公司股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
128128,齐翔转2,139.323,002408,齐翔腾达,29.9,6.792,2021-02-26,,2026-08-20,5.37,130,6.981,6.54,,2/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
127066,科利转债,149.97,002850,科达利,15.344,15.342,2023-01-16,,2028-07-08,148.7,130,193.31,201.46,,2/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
123091,长海转债,146.579,300196,长海股份,5.5,5.497,2021-06-29,,2026-12-23,15.34,130,19.942,19.11,,1/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123121,帝尔转债,156.69,300776,帝尔激光,8.4,8.292,2022-02-11,,2027-08-05,73.56,130,95.628,105.2,,1/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113661,福22转债,141.295,603806,福斯特,30.3,30.297,2023-05-29,,2028-11-22,14.74,130,19.162,17.44,,3/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
111022,锡振转债,160.598,605319,无锡振华,5.2,5.197,2025-12-24,,2031-06-18,22.64,130,29.432,26.98,,1/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
123155,中陆转债,146.281,301040,中环海陆,3.6,3.6,2023-02-20,,2028-08-12,31.76,130,41.288,33.74,,2/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123195,蓝晓转02,163.741,300487,蓝晓科技,5.461,5.458,2023-10-23,,2029-04-17,59.38,130,77.194,65.1,,1/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；,
118034,XD晶能转,128.819,688223,晶科能源,100.0,83.22,2023-10-26,,2029-04-20,6.35,120,7.62,7.0,,6/15 | 30,在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的120%（含）,
123215,铭利转债,147.233,301268,铭利达,10.0,8.555,2024-02-19,,2029-08-03,19.2,130,24.96,23.44,,1/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127026,超声转债,143.227,000823,超声电子,7.0,6.996,2021-06-15,,2026-12-08,12.22,130,15.886,16.02,,2/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123114,三角转债,154.276,300775,三角防务,9.044,8.999,2021-11-30,,2027-05-25,31.39,130,40.807,38.32,,1/20 | 30,如果公司股票连续三十个交易日中至少有二十个交易日的收盘价格不低于当期转股价格的130%(含130%),
123113,仙乐转债,121.754,300791,仙乐健康,10.249,10.248,2021-10-25,,2027-04-19,31.86,130,41.418,20.42,,0/20 | 30,如果公司股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的130%(含130%),
113589,天创转债,212.19,603608,天创时尚,6.0,0.663,2021-01-04,,2026-06-24,12.29,130,15.977,12.45,,0/20 | 30,如果公司A股股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的130%(含 130%),
123178,花园转债,139.99,300401,花园生物,12.0,11.731,2023-09-11,,2029-03-06,13.45,130,17.485,13.41,,0/15 | 30,公司股票任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123175,百畅转债,121.587,300614,百川畅银,4.2,4.199,2023-08-28,,2029-02-22,20.4,130,26.52,13.08,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123196,正元转02,135.824,300645,正元智慧,3.507,3.501,2023-10-24,,2029-04-18,21.93,130,28.509,17.09,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123193,海能转债,135.339,300787,海能实业,6.0,5.997,2023-10-19,,2029-04-13,14.7,130,19.11,12.35,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
123189,晓鸣转债,137.197,300967,晓鸣股份,3.29,3.287,2023-10-12,,2029-04-06,19.34,130,25.142,17.65,,0/15 | 30,在本次可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123194,百洋转债,141.31,301015,百洋医药,8.6,8.459,2023-10-20,,2029-04-14,25.36,130,32.968,25.89,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123192,科思转债,130.599,300856,科思股份,7.249,7.187,2023-10-19,,2029-04-13,17.39,130,22.607,12.66,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123173,恒锋转债,144.657,300605,恒锋信息,2.424,2.331,2023-07-06,,2028-12-30,13.77,130,17.901,14.35,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
123061,航新转债,139.8,300424,航新科技,2.5,1.674,2021-01-28,,2026-07-22,14.82,130,19.266,18.72,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123064,万孚转债,116.407,300482,万孚生物,6.0,5.977,2021-03-08,,2026-09-01,21.1,130,27.43,17.81,,0/15 | 30,在转股期内，如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123180,浙矿转债,142.048,300837,浙矿股份,3.2,3.197,2023-09-15,,2029-03-09,47.89,130,62.257,37.0,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123183,海顺转债,144.121,300501,海顺新材,6.33,6.329,2023-10-09,,2029-03-23,17.29,130,22.477,19.65,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123179,立高转债,126.969,300973,立高食品,9.5,9.499,2023-09-13,,2029-03-07,95.13,130,123.669,34.12,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123144,裕兴转债,128.096,300305,裕兴股份,6.0,5.997,2022-10-17,,2028-04-11,8.5,130,11.05,6.29,,0/15 | 30,如果公司A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
123107,温氏转债,130.082,300498,温氏股份,92.97,77.064,2021-10-08,,2027-03-29,16.29,130,21.177,16.7,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123104,卫宁转债,133.731,300253,卫宁健康,9.703,9.699,2021-09-22,,2027-03-16,9.44,130,12.272,8.73,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123109,昌红转债,133.883,300151,昌红科技,4.6,4.595,2021-10-08,,2027-04-01,26.72,130,34.736,18.68,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123112,万讯转债,138.641,300112,万讯自控,2.457,2.265,2021-10-14,,2027-04-08,8.3,130,10.79,8.03,,0/15 | 30,如果公司股票连续三十个交易日中至少有十 五个交易日的收盘价不低于当期转股价格的 130%(含 130%),
123117,健帆转债,124.823,300529,健帆生物,10.0,9.998,2021-12-29,,2027-06-23,38.65,130,50.245,17.63,,0/15 | 30,在转股期内，如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123065,宝莱转债,128.722,300246,宝莱特,2.19,2.18,2021-03-11,,2026-09-04,23.8,130,30.94,17.14,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123090,三诺转债,116.412,300298,三诺生物,5.0,4.984,2021-06-25,,2026-12-21,34.46,130,44.798,15.94,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个 交易日的收盘价格不低于当期转股价格的 130%(含 130%),
110073,国投转债,107.042,600061,国投资本,80.0,79.991,2021-02-01,,2026-07-24,9.42,130,12.246,6.84,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123072,乐歌转债,127.025,300729,乐歌股份,1.42,1.418,2021-04-27,,2026-10-21,32.91,130,42.783,13.26,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),
123080,海波转债,144.276,300517,海波重科,2.45,1.486,2021-06-08,,2026-12-02,11.38,130,14.794,12.2,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交 易日的收盘价格不低于当期转股价格的 130%(含 130%),
123071,天能转债,129.529,300569,天能重工,7.0,6.937,2021-04-27,,2026-10-21,6.7,130,8.71,6.78,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123088,威唐转债,140.16,300707,威唐工业,3.014,3.004,2021-06-21,,2026-12-15,14.96,130,19.448,16.3,,0/15 | 30,如果公司A股股票在连续三十个交易日内至少有十五个交易日的收盘价不低于当期转股价格的130%(含 130%),
123119,康泰转2,129.9,300601,康泰生物,20.0,19.99,2022-01-21,,2027-07-15,15.73,130,20.449,13.99,,0/15 | 30,如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格超过当期转股价格的130%(含 130%),
