日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2012-04-01,上海,98.4,99.8,101.0,98.5,100.1,100.4
2012-04-01,北京,98.7,99.8,102.3,96.8,100.4,98.3
2012-05-01,上海,98.0,99.8,100.9,98.5,100.3,100.7
2012-05-01,北京,98.4,99.9,102.2,96.9,99.9,98.3
2012-06-01,上海,98.1,100.2,101.1,98.5,100.2,100.9
2012-06-01,北京,98.7,100.3,102.5,97.2,100.2,98.5
2012-07-01,北京,99.0,100.3,102.9,97.5,100.3,98.8
2012-07-01,上海,98.2,100.1,101.2,98.4,100.2,101.1
2012-08-01,上海,98.2,100.0,101.1,98.5,100.3,101.4
2012-08-01,北京,99.2,100.2,103.1,97.7,100.3,99.0
2012-09-01,上海,98.1,100.0,101.1,98.6,100.2,101.6
2012-09-01,北京,99.3,100.1,103.2,98.2,100.1,99.2
2012-10-01,上海,98.4,100.0,101.1,99.0,100.2,101.8
2012-10-01,北京,99.7,100.3,103.5,98.8,100.0,99.2
2012-11-01,上海,99.0,100.2,101.3,99.7,100.2,102.0
2012-11-01,北京,100.9,100.8,104.3,99.8,100.3,99.5
2012-12-01,北京,102.0,101.0,105.4,101.6,101.0,100.4
2012-12-01,上海,100.0,100.7,102.0,100.4,100.4,102.3
2013-01-01,上海,101.5,101.3,103.4,102.0,100.8,103.2
2013-01-01,北京,104.3,102.1,107.6,103.5,101.0,101.6
2013-02-01,上海,104.1,102.3,105.7,103.9,101.6,104.9
2013-02-01,北京,107.7,103.1,110.9,106.0,102.2,103.7
2013-03-01,上海,107.8,103.2,109.1,107.2,102.6,107.6
2013-03-01,北京,111.2,102.7,113.9,109.1,103.1,106.9
2013-04-01,上海,110.2,102.0,111.4,108.5,101.3,109.0
2013-04-01,北京,113.4,101.8,115.9,110.9,102.0,109.0
2013-05-01,上海,112.2,101.7,113.2,109.2,100.9,110.0
2013-05-01,北京,115.2,101.6,117.8,112.8,101.7,110.9
2013-06-01,上海,114.4,102.2,115.6,110.2,101.1,111.2
2013-06-01,北京,116.7,101.7,119.7,114.1,101.3,112.3
2013-07-01,北京,118.3,101.6,121.7,115.3,101.4,113.9
2013-07-01,上海,116.5,101.9,117.8,110.9,100.8,112.1
2013-08-01,上海,118.5,101.7,119.8,111.4,100.8,113.0
2013-08-01,北京,119.3,101.1,123.0,116.4,101.2,115.2
2013-09-01,上海,120.4,101.6,121.7,112.3,101.0,114.1
2013-09-01,北京,120.6,101.2,124.5,117.8,101.3,116.8
2013-10-01,上海,121.4,100.8,122.7,113.2,100.9,115.2
2013-10-01,北京,121.2,100.8,125.4,119.0,101.1,118.1
2013-11-01,上海,121.9,100.7,123.5,113.7,100.7,116.0
2013-11-01,北京,121.1,100.7,126.3,120.1,101.2,119.5
2013-12-01,北京,120.6,100.6,127.1,119.7,100.6,120.3
2013-12-01,上海,121.9,100.6,124.3,113.9,100.5,116.6
2014-01-01,上海,120.9,100.5,125.0,113.2,100.1,116.8
2014-01-01,北京,118.8,100.5,127.8,118.4,99.9,120.1
2014-02-01,上海,118.7,100.4,125.5,112.1,100.6,117.5
2014-02-01,北京,115.5,100.3,128.1,115.9,100.0,120.1
2014-03-01,上海,115.5,100.4,126.1,109.5,100.2,117.8
2014-03-01,北京,113.0,100.5,128.7,112.6,100.2,120.4
2014-04-01,上海,113.6,100.3,126.4,108.1,100.0,117.8
2014-04-01,北京,111.2,100.2,128.9,110.2,99.8,120.2
2014-05-01,上海,111.3,99.7,126.0,106.8,99.8,117.5
2014-05-01,北京,109.7,100.2,129.2,107.4,99.1,119.1
2014-06-01,北京,108.0,100.1,129.3,104.7,98.7,117.6
2014-06-01,上海,108.2,99.3,125.1,105.0,99.3,116.7
2014-07-01,上海,104.8,98.6,123.4,103.2,99.1,115.7
2014-07-01,北京,104.9,98.7,127.6,102.4,99.2,116.6
2014-08-01,上海,101.7,98.7,121.9,101.7,99.3,114.9
2014-08-01,北京,102.6,98.8,126.2,100.4,99.1,115.7
2014-09-01,上海,99.1,98.9,120.6,99.9,99.2,114.0
2014-09-01,北京,100.4,99.1,125.0,97.6,98.6,114.0
2014-10-01,上海,97.6,99.3,119.8,99.0,100.0,114.1
2014-10-01,北京,98.3,98.7,123.4,96.8,100.3,114.3
2014-11-01,北京,97.4,99.7,123.0,96.3,100.7,115.1
2014-11-01,上海,96.5,99.5,119.2,98.3,100.0,114.0
2014-12-01,上海,95.6,99.7,118.8,98.2,100.4,114.5
2014-12-01,北京,96.6,99.8,122.7,95.9,100.2,115.3
2015-01-01,上海,95.1,100.0,118.8,98.4,100.3,114.9
2015-01-01,北京,96.0,99.9,122.6,96.0,100.0,115.3
2015-02-01,上海,94.5,99.9,118.6,97.9,100.1,115.0
2015-02-01,北京,95.5,99.7,122.3,95.9,99.9,115.2
