股票代码,ESG评分,ESG评分日期,环境总评,环境总评日期,社会责任总评,社会责任总评日期,治理总评,治理总评日期,争议总评,争议总评日期,行业,交易所
UBSI,38.0(C),2026-04-18,2.1(D-),2026-04-18,27.6(C-),2026-04-18,66.6(B),2026-04-18,100.0(A+),2025-05-24,区域银行,纳斯达克
ROG,59.2(B),2026-04-18,49.3(C+),2026-04-18,50.0(B-),2026-04-18,86.3(A),2026-04-18,100.0(A+),2026-04-18,专业化工品,纽交所
SKM,76.1(A-),2026-04-18,65.8(B),2026-04-18,76.4(A-),2026-04-18,83.0(A-),2026-04-18,11.5(D),2026-04-18,无线电,纽交所
CYRX,31.2(C-),2026-04-18,17.5(D+),2026-04-18,29.8(C-),2026-04-18,49.4(C+),2026-04-18,100.0(A+),2026-03-21,空运-快递,纳斯达克
AEO,51.7(B-),2026-04-18,79.4(A-),2026-04-18,38.4(C),2026-04-18,52.5(B-),2026-04-18,52.9(B-),2026-04-18,服装-鞋类零售,纽交所
JSM,43.0(C+),2026-04-18,6.8(D-),2026-04-18,42.3(C+),2026-04-18,58.4(B),2026-04-18,83.6(A),2026-04-18,财务-租赁,纳斯达克
ORMP,20.4(D+),2026-04-18,0.0(D-),2025-06-21,9.9(D),2026-04-18,43.5(C+),2026-04-18,100.0(A+),2025-06-21,其他制药,纳斯达克
600926.SH,40.2(C),2026-04-18,50.0(C+),2026-04-18,36.9(C),2026-04-18,41.0(C),2026-04-18,100.0(A+),2025-05-03,城商行Ⅱ,上交所
AQUA,53.4(B-),2026-04-18,60.1(B),2026-04-18,70.3(B+),2026-04-18,27.0(C-),2026-04-18,73.9(B+),2026-04-18,环境服务,纽交所
RDN,65.6(B),2026-04-18,11.5(D),2026-04-18,74.8(B+),2026-04-18,72.8(B+),2026-04-18,100.0(A+),2026-04-11,专业保险,纽交所
ITT,75.6(A-),2026-04-18,73.2(B+),2026-04-18,66.6(B),2026-04-18,90.2(A),2026-04-18,100.0(A+),2025-03-08,工业机械,纽交所
LANC,23.6(D+),2026-04-18,1.1(D-),2026-04-11,29.4(C-),2026-04-18,38.1(C),2026-04-18,100.0(A+),2025-09-12,糖果食品,纳斯达克
SMFG,65.2(B),2026-04-18,73.4(B+),2026-04-18,54.5(B-),2026-04-18,76.7(A-),2026-04-18,54.7(B-),2026-04-18,主要银行,纽交所
688012.SH,59.7(B),2026-04-18,47.9(C+),2026-04-18,62.3(B),2026-04-18,69.6(B+),2026-04-18,100.0(A+),2026-04-18,半导体,上交所
