日期,合约品种,合约代码,手续费公布时间,价格公布时间,现价,涨停板,跌停板,保证金/买开,保证金/卖开,保证金/每手,开仓,平今,平昨,每手跳数,每跳毛利,每跳净利,交易所
2026-02-13,热卷2605,hc2605,2026-02-12 23:40:43,2026-02-13 15:24:38,3222.0,3544.0,2899.0,12%,12%,3866.4元,1/万分之(3.2元),1/万分之(3.2元),1/万分之(3.2元),10,,3.6,上海期货交易所
2026-02-13,烧碱       603,SH603,2026-02-12 23:40:43,2026-02-13 15:24:38,1958.0,2135.0,1781.0,10%,10%,5874元,1/万分之(5.9元),0/万分之(0元),1/万分之(5.9元),30,,24.1,郑州商品交易所
2026-02-13,液化石油气2604,pg2604,2026-02-12 23:40:43,2026-02-13 15:24:38,4564.0,5020.0,4108.0,11%,11%,10040.8元,6元,6元,6元,20,,8.0,大连商品交易所
2026-02-13,液化石油气2603,pg2603,2026-02-12 23:40:43,2026-02-13 15:03:59,4295.0,4724.0,3866.0,11%,11%,9449元,6元,6元,6元,20,,8.0,大连商品交易所
2026-02-13,油菜籽609,RS609,2026-02-12 23:40:43,2026-02-13 15:24:38,5550.0,6105.0,4995.0,20%,20%,11100元,2元,2元,2元,10,,6.0,郑州商品交易所
2026-02-13,沪镍2603,ni2603,2026-02-12 23:40:43,2026-02-13 15:24:38,140320.0,161360.0,119270.0,17%,17%,23854.4元,3元,3元,3元,10,,4.0,上海期货交易所
2026-02-13,沪锡2603,sn2603,2026-02-12 23:40:43,2026-02-13 15:24:38,393120.0,452080.0,334150.0,17%,17%,66830.4元,3元,3元,3元,10,,4.0,上海期货交易所
2026-02-13,沪锌2603,zn2603,2026-02-12 23:40:43,2026-02-13 15:24:38,24590.0,27785.0,21390.0,15%,15%,18442.5元,3元,0元,3元,25,,22.0,上海期货交易所
2026-02-13,沪铝2603,al2603,2026-02-12 23:40:43,2026-02-13 15:24:38,23610.0,26675.0,20540.0,15%,15%,17707.5元,3元,3元,3元,25,,19.0,上海期货交易所
2026-02-13,沪铜2603,cu2603,2026-02-12 23:40:43,2026-02-13 15:24:38,102680.0,116020.0,89330.0,15%,15%,77010元,0.5/万分之(25.7元),1/万分之(51.3元),0.5/万分之(25.7元),50,,-27.0,上海期货交易所
2026-02-13,沪铅2604,pb2604,2026-02-12 23:40:43,2026-02-13 15:24:38,16755.0,18930.0,14575.0,15%,15%,12566.25元,0.4/万分之(3.4元),0/万分之(0元),0.4/万分之(3.4元),25,,21.6,上海期货交易所
2026-02-13,沪深300指数2603,IF2603,2026-02-12 23:40:43,2026-02-13 15:24:38,4717.4,5189.0,4245.8,12%,12%,169826.4元,0.23/万分之(32.6元),2.3/万分之(325.5元),0.23/万分之(32.6元),60,,-298.1,中国金融期货交易所
2026-02-13,沥青2604,bu2604,2026-02-12 23:40:43,2026-02-13 15:24:38,3355.0,3757.0,2952.0,14%,14%,4697元,0.5/万分之(1.7元),0/万分之(0元),0.5/万分之(1.7元),10,,8.3,上海期货交易所
2026-02-13,氧化铝2605,ao2605,2026-02-12 23:40:43,2026-02-13 15:24:38,2824.0,3191.0,2456.0,15%,15%,8472元,1/万分之(5.6元),1/万分之(5.6元),1/万分之(5.6元),20,,8.7,上海期货交易所
2026-02-13,橡胶2605,ru2605,2026-02-12 23:40:43,2026-02-13 15:24:38,16550.0,18535.0,14560.0,14%,14%,23170元,3元,0元,3元,50,,47.0,上海期货交易所
2026-02-13,棕榈油2605,p2605,2026-02-12 23:40:43,2026-02-13 15:24:38,8854.0,9738.0,7970.0,11%,11%,9739.4元,2.5元,2.5元,2.5元,20,,15.0,大连商品交易所
2026-02-13,棉花605,CF605,2026-02-12 23:40:43,2026-02-13 15:24:38,14780.0,16115.0,13445.0,10%,10%,7390元,4.3元,0元,4.3元,25,,20.7,郑州商品交易所
2026-02-13,棉纱605,CY605,2026-02-12 23:40:43,2026-02-13 15:24:38,20650.0,22100.0,19200.0,8%,8%,8260元,1元,0元,1元,25,,24.0,郑州商品交易所
2026-02-13,工业硅2605,si2605,2026-02-12 23:40:43,2026-02-13 15:24:38,8355.0,9270.0,7440.0,13%,13%,5430.75元,1/万分之(4.2元),0/万分之(0元),1/万分之(4.2元),25,,20.8,广州期货交易所
2026-02-13,尿素605,UR605,2026-02-12 23:40:43,2026-02-13 15:24:38,1828.0,1993.0,1663.0,10%,10%,3656元,1/万分之(3.7元),1/万分之(3.7元),1/万分之(3.7元),20,,12.7,郑州商品交易所
2026-02-13,对二甲苯   605,PX605,2026-02-12 23:40:43,2026-02-13 15:24:38,7390.0,8056.0,6724.0,10%,10%,3695元,1/万分之(3.7元),0/万分之(0元),1/万分之(3.7元),10,,6.3,郑州商品交易所
2026-02-13,多晶硅2605,ps2605,2026-02-12 23:40:43,2026-02-13 15:24:38,48830.0,54685.0,42975.0,15%,15%,21973.5元,5/万分之(73.2元),5/万分之(73.2元),5/万分之(73.2元),15,,-131.5,广州期货交易所
2026-02-13,塑料2605,l2605,2026-02-12 23:40:43,2026-02-13 15:24:38,6786.0,7396.0,6176.0,10%,10%,3393元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,国际铜2603,bc2603,2026-02-12 23:40:43,2026-02-13 15:24:38,91260.0,103120.0,79390.0,15%,15%,68445元,0.1/万分之(4.6元),0/万分之(0元),0.1/万分之(4.6元),50,,45.4,上海国际能源交易中心
2026-02-13,合成橡胶2603,br2603,2026-02-12 23:40:43,2026-02-13 15:24:38,12835.0,14375.0,11290.0,14%,14%,8984.5元,0.2/万分之(1.3元),0.2/万分之(1.3元),0.2/万分之(1.3元),25,,22.4,上海期货交易所
2026-02-13,原油2604,sc2604,2026-02-12 23:40:43,2026-02-13 15:24:38,481.0,538.7,423.2,14%,14%,67340元,19.99元,0元,19.99元,100,,80.0,上海国际能源交易中心
2026-02-13,原木2603,lg2603,2026-02-12 23:40:43,2026-02-13 15:24:38,783.0,845.5,720.5,10%,10%,7047元,1/万分之(7元),1/万分之(7元),1/万分之(7元),45,,30.9,大连商品交易所
2026-02-13,低硫燃料油2605,lu2605,2026-02-12 23:40:43,2026-02-13 15:24:38,3377.0,3782.0,2971.0,14%,14%,4727.8元,0.1/万分之(0.3元),0.1/万分之(0.3元),0.1/万分之(0.3元),10,,9.3,上海国际能源交易中心
2026-02-13,乙二醇2605,eg2605,2026-02-12 23:40:43,2026-02-13 15:24:38,3755.0,4130.0,3380.0,11%,11%,4130.5元,3元,3元,3元,10,,4.0,大连商品交易所
2026-02-13,中证500股指2603,IC2603,2026-02-12 23:40:43,2026-02-13 15:24:38,8445.8,9290.2,7601.4,12%,12%,202699.2元,0.23/万分之(38.9元),2.3/万分之(388.5元),0.23/万分之(38.9元),40,,-387.4,中国金融期货交易所
2026-02-13,中证1000股指2603,IM2603,2026-02-12 23:40:43,2026-02-13 15:24:38,8334.6,9168.0,7501.2,12%,12%,200030.4元,0.23/万分之(38.3元),2.3/万分之(383.4元),0.23/万分之(38.3元),40,,-381.7,中国金融期货交易所
2026-02-13,丙烯605,PL605,2026-02-12 23:40:43,2026-02-13 15:24:38,6268.0,6833.0,5703.0,10%,10%,12536元,1/万分之(12.5元),1/万分之(12.5元),1/万分之(12.5元),20,,-5.1,郑州商品交易所
2026-02-13,不锈钢2604,ss2604,2026-02-12 23:40:43,2026-02-13 15:24:38,14075.0,15620.0,12525.0,13%,13%,9148.75元,2元,0元,2元,25,,23.0,上海期货交易所
2026-02-13,上证50指数2603,IH2603,2026-02-12 23:40:43,2026-02-13 15:24:38,3083.6,3391.8,2775.4,12%,12%,111009.6元,0.23/万分之(21.3元),2.3/万分之(212.8元),0.23/万分之(21.3元),60,,-174.0,中国金融期货交易所
2026-02-13,PVC2605,v2605,2026-02-12 23:40:43,2026-02-13 15:24:38,4959.0,5405.0,4513.0,10%,10%,2479.5元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,PTA605,TA605,2026-02-12 23:40:43,2026-02-13 15:24:38,5276.0,5752.0,4800.0,10%,10%,2638元,3元,0元,3元,10,,7.0,郑州商品交易所
2026-02-13,5年期国债2606,TF2606,2026-02-12 23:40:43,2026-02-13 15:24:38,106.155,107.425,104.885,1.2%,1.2%,12738.6元,3元,0元,3元,50,,47.0,中国金融期货交易所
2026-02-13,5年期国债2603,TF2603,2026-02-12 23:40:43,2026-02-13 15:03:59,106.075,107.345,104.805,1.2%,1.2%,12729元,3元,0元,3元,50,,47.0,中国金融期货交易所
2026-02-13,30年期国债2603,TL2603,2026-02-12 23:40:43,2026-02-13 15:24:38,112.8,116.74,108.86,3.5%,3.5%,39480元,3元,0元,3元,100,,97.0,中国金融期货交易所
2026-02-13,2年期国债2603,TS2603,2026-02-12 23:40:43,2026-02-13 15:24:38,102.466,102.978,101.9539,0.5%,0.5%,10246.6元,3元,0元,3元,40,,37.0,中国金融期货交易所
2026-02-13,20号胶2604,nr2604,2026-02-12 23:40:43,2026-02-13 15:24:38,13435.0,15045.0,11820.0,14%,14%,18809元,0.2/万分之(2.7元),0/万分之(0元),0.2/万分之(2.7元),50,,47.3,上海国际能源交易中心
2026-02-13,10年国债2603,T2603,2026-02-12 23:40:43,2026-02-13 15:24:38,108.615,110.785,106.445,2%,2%,21723元,3元,0元,3元,50,,47.0,中国金融期货交易所
