symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600048,保利发展,5.740,-0.130,-2.215,5.730,5.740,5.870,5.840,5.860,5.690,101028485,581036521,600048,15:00:01
sh600050,中国联通,4.490,-0.010,-0.222,4.490,4.500,4.500,4.490,4.500,4.470,113065357,507403650,600050,15:00:01
sh600051,宁波联合,7.420,0.070,0.952,7.420,7.430,7.350,7.350,7.470,7.280,6614160,48812863,600051,15:00:03
sh600052,东望时代,4.300,-0.280,-6.114,4.300,4.310,4.580,4.900,4.900,4.280,122375684,565372486,600052,15:00:03
sh600053,九鼎投资,14.110,-0.220,-1.535,14.110,14.120,14.330,14.330,14.350,13.900,4891100,68815997,600053,15:00:01
sh600054,黄山旅游,12.050,-0.120,-0.986,12.050,12.060,12.170,12.170,12.170,11.900,7106951,85401419,600054,15:00:03
sh600055,万东医疗,15.110,0.400,2.719,15.100,15.110,14.710,14.710,15.190,14.550,6678042,99838085,600055,15:00:03
sh600056,中国医药,10.430,0.000,0.000,10.430,10.440,10.430,10.370,10.480,10.300,16580658,172198578,600056,15:00:01
sh600057,厦门象屿,6.840,-0.540,-7.317,6.840,6.850,7.380,7.170,7.250,6.730,53724695,370865201,600057,15:00:01
sh600058,五矿发展,11.070,-0.140,-1.249,11.070,11.080,11.210,11.160,11.280,11.000,9065949,100733113,600058,15:00:03
sh600059,古越龙山,9.070,0.070,0.778,9.070,9.080,9.000,9.020,9.100,8.970,12538945,113479289,600059,15:00:01
sh600060,海信视像,24.260,-0.080,-0.329,24.250,24.260,24.340,24.200,24.550,24.170,10512000,256500059,600060,15:00:01
sh600061,国投资本,6.550,-0.070,-1.057,6.550,6.560,6.620,6.610,6.620,6.540,36667183,240853328,600061,15:00:03
sh600062,华润双鹤,17.890,-0.160,-0.886,17.890,17.900,18.050,18.060,18.070,17.860,7000972,125503669,600062,15:00:03
sh600063,皖维高新,6.960,0.070,1.016,6.960,6.970,6.890,6.840,7.010,6.840,30259837,210021989,600063,15:00:01
sh600064,南京高科,7.990,-0.170,-2.083,7.990,8.000,8.160,8.120,8.140,7.960,25368432,203559154,600064,15:00:01
sh600066,宇通客车,36.970,0.000,0.000,36.960,36.970,36.970,36.790,37.720,36.500,17891232,664736904,600066,15:00:03
sh600067,冠城新材,3.960,0.010,0.253,3.960,3.970,3.950,3.970,3.990,3.910,18306200,72146487,600067,15:00:03
sh600072,中船科技,13.160,-0.350,-2.591,13.160,13.170,13.510,13.490,13.640,13.120,35166152,467475327,600072,15:00:00
sh600073,光明肉业,5.780,-0.060,-1.027,5.780,5.790,5.840,5.810,5.820,5.760,5610454,32457119,600073,15:00:01
sh600075,新疆天业,6.710,0.340,5.338,6.710,6.720,6.370,6.370,6.880,6.300,48801876,323023180,600075,15:00:01
sh600076,康欣新材,3.320,0.030,0.912,3.320,3.330,3.290,3.310,3.370,3.240,16708040,55181144,600076,15:00:01
sh600078,澄星股份,13.350,0.630,4.953,13.340,13.350,12.720,12.540,13.560,12.540,37360700,490837611,600078,15:00:01
sh600080,金花股份,7.970,0.040,0.504,7.960,7.970,7.930,7.900,8.000,7.680,6569344,51728074,600080,15:00:01
sh600081,东风科技,10.700,0.040,0.375,10.690,10.700,10.660,10.610,10.780,10.460,2568875,27348531,600081,15:00:03
sh600084,中信尼雅,6.590,0.070,1.074,6.580,6.590,6.520,6.490,6.610,6.450,4406100,28796218,600084,15:00:03
sh600085,同仁堂,27.620,-0.070,-0.253,27.620,27.630,27.690,27.640,27.720,27.520,3780050,104460966,600085,15:00:01
sh600088,中视传媒,14.100,-0.060,-0.424,14.090,14.100,14.160,14.060,14.200,13.860,2145000,30054077,600088,15:00:01
sh600089,特变电工,26.960,-0.720,-2.601,26.950,26.960,27.680,27.500,27.510,26.860,139784935,3782692246,600089,15:00:01
sh600094,大名城,4.710,-0.120,-2.484,4.710,4.720,4.830,4.830,4.850,4.670,26149206,123797896,600094,15:00:03
sh600095,湘财股份,9.110,-0.230,-2.463,9.110,9.120,9.340,9.300,9.320,9.080,24554000,224931582,600095,15:00:03
sh600096,云天化,35.670,1.670,4.912,35.670,35.680,34.000,33.800,35.700,33.760,84032989,2941924224,600096,15:00:00
sh600097,开创国际,10.790,0.030,0.279,10.780,10.790,10.760,10.710,10.800,10.640,2409710,25822472,600097,15:00:03
sh600098,广州发展,7.080,-0.140,-1.939,7.080,7.090,7.220,7.220,7.220,7.050,28524600,202612479,600098,15:00:03
sh600099,林海股份,11.570,0.310,2.753,11.570,11.580,11.260,11.260,11.640,11.160,6111300,70122083,600099,15:00:01
sh600100,同方股份,8.510,-0.080,-0.931,8.500,8.510,8.590,8.570,8.690,8.430,37202356,317509718,600100,15:00:01
sh600101,明星电力,9.660,-0.310,-3.109,9.660,9.670,9.970,9.870,9.920,9.640,22789657,222446169,600101,15:00:03
sh600103,青山纸业,4.850,-0.290,-5.642,4.840,4.850,5.140,5.090,5.140,4.750,467807888,2296582582,600103,15:00:00
sh600104,上汽集团,13.710,-0.180,-1.296,13.700,13.710,13.890,13.860,13.870,13.670,40294006,552621378,600104,15:00:01
sh600105,永鼎股份,49.010,0.510,1.052,49.010,49.020,48.500,48.500,51.000,47.550,195776992,9626672742,600105,15:00:03
sh600106,重庆路桥,6.040,-0.070,-1.146,6.040,6.050,6.110,6.050,6.150,6.040,12959078,78677411,600106,15:00:03
sh600108,亚盛集团,4.270,-0.050,-1.157,4.260,4.270,4.320,4.290,4.370,4.230,65653197,282216051,600108,15:00:01
sh600109,国金证券,8.650,0.100,1.170,8.650,8.660,8.550,8.620,8.790,8.620,48390461,420732033,600109,15:00:03
sh600110,诺德股份,9.760,0.490,5.286,9.750,9.760,9.270,8.940,9.950,8.630,265834440,2519053122,600110,15:00:01
sh600111,北方稀土,47.240,0.080,0.170,47.240,47.250,47.160,47.000,47.460,46.420,68970629,3234124818,600111,15:00:01
sh600113,浙江东日,45.300,-0.670,-1.457,45.280,45.300,45.970,46.010,47.000,45.130,3891658,178872724,600113,15:00:01
sh600114,东睦股份,33.240,0.380,1.156,33.230,33.240,32.860,32.790,33.500,32.270,14589170,478983868,600114,15:00:01
sh600115,中国东航,4.420,-0.040,-0.897,4.420,4.430,4.460,4.410,4.470,4.390,123833528,547241437,600115,15:00:03
sh600116,三峡水利,6.590,-0.110,-1.642,6.590,6.600,6.700,6.650,6.670,6.580,24340500,161149369,600116,15:00:01
sh600117,西宁特钢,2.600,0.000,0.000,2.590,2.600,2.600,2.590,2.610,2.570,9470178,24518349,600117,15:00:01
sh600118,中国卫星,96.300,-5.700,-5.588,96.290,96.300,102.000,99.960,100.660,95.100,78909823,7687756096,600118,15:00:01
sh600119,长江投资,6.080,0.180,3.051,6.080,6.090,5.900,5.900,6.120,5.800,7787600,46707020,600119,15:00:01
sh600120,浙江东方,5.880,0.120,2.083,5.880,5.890,5.760,5.680,6.020,5.600,133914423,780720367,600120,15:00:03
sh600121,郑州煤电,4.170,-0.010,-0.239,4.160,4.170,4.180,4.170,4.280,4.120,51479580,215786887,600121,15:00:01
sh600123,兰花科创,6.460,-0.140,-2.121,6.460,6.470,6.600,6.400,6.550,6.390,40712737,262738737,600123,15:00:03
sh600125,铁龙物流,6.070,-0.040,-0.655,6.070,6.080,6.110,6.110,6.150,6.050,15730360,95922866,600125,15:00:03
sh600126,杭钢股份,10.480,0.050,0.479,10.480,10.490,10.430,10.390,11.220,10.060,389550878,4146235298,600126,15:00:03
sh600127,金健米业,6.840,-0.070,-1.013,6.830,6.840,6.910,6.870,6.930,6.770,25192101,172596406,600127,15:00:03
sh600128,苏豪弘业,10.560,0.060,0.571,10.560,10.570,10.500,10.410,10.590,10.350,4558800,47831951,600128,15:00:01
sh600129,太极集团,15.850,-0.110,-0.689,15.850,15.860,15.960,15.840,15.960,15.720,4593875,72736262,600129,15:00:01
sh600131,国网信通,18.200,-0.300,-1.622,18.200,18.210,18.500,18.490,18.530,18.100,13994112,254960747,600131,15:00:01
sh600132,重庆啤酒,54.170,0.910,1.709,54.170,54.180,53.260,53.260,54.370,52.750,4505418,242132831,600132,15:00:01
sh600133,东湖高新,9.060,0.010,0.110,9.050,9.060,9.050,8.930,9.200,8.910,38822308,353416123,600133,15:00:03
sh600135,乐凯胶片,10.430,-0.340,-3.157,10.430,10.440,10.770,10.820,10.820,10.310,18788801,196323917,600135,15:00:01
sh600137,浪莎股份,23.080,0.290,1.272,23.070,23.080,22.790,22.590,23.290,22.460,3425400,78647231,600137,15:00:03
sh600138,中青旅,9.120,-0.020,-0.219,9.120,9.130,9.140,9.100,9.140,9.030,5816774,52807287,600138,15:00:01
sh600141,兴发集团,33.020,0.300,0.917,33.010,33.020,32.720,32.500,33.400,32.440,34644887,1143276839,600141,15:00:00
sh600143,金发科技,16.710,-0.150,-0.890,16.710,16.720,16.860,16.930,16.930,16.590,35161722,586986982,600143,15:00:03
