债券代码,债券简称,申购日期,申购代码,原股东配售码,每股获配额,计划发行量,实际发行量,中签公布日,中签号,上市日期,正股代码,正股简称,转股价格,到期时间,中签率
111024,澳弘转债,2025-12-11,713058,715058,4.058,5.8,5.8,2025-12-15,"134425、334425、534425、734425、934425、140385；
9025137、7025137、5025137、3025137、1025137；
35387799、47887799、60387799、72887799、85387799、97887799、22887799、10387799、67389768；
359167777、484167777、609167777、734167777、859167777、984167777、234167777、109167777；
8550710355、6874046985、2125066908、4883521547、5390415202、2228800490、4900234294",2026-01-16,605058,澳弘电子,34.04,2031-12-11,0.00065988
123261,普联转债,2025-12-05,370996,380996,0.8598,2.429326,2.429326,2025-12-09,"867300、067300、267300、467300、667300、900723；
7070762；
158266543、033266543、283266543、408266543、533266543、658266543、783266543、908266543；
6507788156、2892821980、3498861858、5754941493、4167872536、1900474335、0164285628",2025-12-22,300996,普联软件,18.26,2031-12-05,0.00061088
118061,茂莱转债,2025-11-21,718502,726502,10.703,5.625,5.625,2025-11-25,"98150；
944400、444400、859082；
3454501、5454501、7454501、9454501、1454501；
05737895；
202072584、327072584、452072584、577072584、702072584、827072584、952072584、077072584；
6457497560、6238488688、1584364039、2955446566、4180766935、4618184218",2025-12-10,688502,茂莱光学,364.43,2031-11-21,0.00135186
118060,瑞可转债,2025-11-14,718800,726800,4.883,10.0,10.0,2025-11-18,"12984、62984；
736050、936050、536050、336050、136050、131091；
5011742、7511742、2511742、0011742；
58184294、08184294、28446852；
7702934480、5472236804、4584278987、0374327715、0071587191、6307886514、0229610823",2025-12-12,688800,瑞可达,73.85,2031-11-14,0.00264310
123260,卓镁转债,2025-11-07,371398,381398,4.0178,4.5,4.5,2025-11-11,"859053、109053、359053、609053；
0057296、2057296、4057296、6057296、8057296、7803677；
60161550、10161550、66657398；
874719623、374719623、041944854；
4436773961、5270230549、2977870641、0070190897、3486352859、6557448684、7721065976",2025-11-24,301398,星源卓镁,52.3,2031-11-07,0.00046338
118059,颀中转债,2025-11-03,718352,726352,0.72,8.5,8.5,2025-11-05,"65816、15816、71795；
027776、152776、277776、402776、527776、652776、777776、902776；
6400864、1400864；
67059974、79559974、92059974、54559974、42059974、29559974、17059974、04559974；
299302595、799302595、200898609；
2078947512、4600825068、5020124994",2025-11-21,688352,颀中科技,13.75,2031-11-03,0.00382834
123259,锦浪转02,2025-10-17,370763,380763,4.2186,16.765838,16.765838,2025-10-21,"84968、04968、24968、44968、64968；
958613、458613、641322；
5764243；
76049194、16049194、36049194、56049194、96049194；
423916451；
5598388987、4323006165、1425780614",2025-11-06,300763,锦浪科技,72.55,2031-10-17,0.00531513
110099,福能转债,2025-10-13,733483,704483,1.371,38.02,38.02,2025-10-15,"91445、71445、51445、31445、11445、96811；
7868283、2868283、3892392；
24549853、74549853；
086856061、286856061、486856061、686856061、886856061、965524910；
7416052899、5936211162、6333798002、3277347412、4896945432、6276470655",2025-10-30,600483,福能股份,9.84,2031-10-13,0.00603265
113699,金25转债,2025-09-26,754979,753979,3.206,20.0,20.0,2025-09-30,"42517、62517、82517、22517、02517、17838；
699217、949217、449217、199217；
72618257、22618257；
177872812、427872812、677872812、927872812；
1313445536、3374531716",2025-10-27,603979,金诚信,63.46,2031-09-26,0.00640243
113697,应流转债,2025-09-19,754308,753308,2.209,15.0,15.0,2025-09-23,"68977、18977、37882；
774295、899295、649295、524295、399295、274295、149295、024295；
3619375、6119375、8619375、1119375；
45347282、95347282、35396460；
050571703、175571703、300571703、425571703、550571703、675571703、800571703、925571703、791735205；
2867451378、6700860918、8409813745、7411130468、2135352057、6917457536、0040315574",2025-10-22,603308,应流股份,30.47,2031-09-19,0.00384399
