序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
54,020900,天弘中证全指通信设备指数发起C,3.332,3.332,3.1881,3.1881,0.1439,4.51,开放,开放,2026-04-17,3.332,3.332,股票型,2026-04-17
55,021173,华安北证50成份指数发起式C,1.9059,1.9059,1.8236,1.8236,0.0823,4.51,开放,限制大额,2026-04-17,1.9059,1.9059,股票型,2026-04-17
56,025954,华宝北证50成份指数A,0.9775,0.9775,0.9353,0.9353,0.0422,4.51,开放,开放,2026-04-17,0.9775,0.9775,股票型,2026-04-17
57,025955,华宝北证50成份指数C,0.9764,0.9764,0.9343,0.9343,0.0421,4.51,开放,开放,2026-04-17,0.9764,0.9764,股票型,2026-04-17
58,018113,工银北证50成份指数C,1.532,1.532,1.466,1.466,0.066,4.5,开放,开放,2026-04-17,1.532,1.532,股票型,2026-04-17
59,018120,万家北证50成份指数发起式A,1.4496,1.4496,1.3872,1.3872,0.0624,4.5,开放,开放,2026-04-17,1.4496,1.4496,股票型,2026-04-17
60,018121,万家北证50成份指数发起式C,1.4409,1.4409,1.3789,1.3789,0.062,4.5,开放,开放,2026-04-17,1.4409,1.4409,股票型,2026-04-17
61,018128,博时北证50成份指数发起式A,1.6393,1.6393,1.5687,1.5687,0.0706,4.5,开放,开放,2026-04-17,1.6393,1.6393,股票型,2026-04-17
62,018129,博时北证50成份指数发起式C,1.6183,1.6183,1.5486,1.5486,0.0697,4.5,开放,开放,2026-04-17,1.6183,1.6183,股票型,2026-04-17
63,021101,国泰北证50成份指数发起A,1.1712,1.1712,1.1208,1.1208,0.0504,4.5,开放,开放,2026-04-17,1.1712,1.1712,股票型,2026-04-17
64,021102,国泰北证50成份指数发起C,1.168,1.168,1.1177,1.1177,0.0503,4.5,开放,开放,2026-04-17,1.168,1.168,股票型,2026-04-17
65,024162,大成北证50成份指数发起式C,0.9605,0.9605,0.9191,0.9191,0.0414,4.5,开放,开放,2026-04-17,0.9605,0.9605,股票型,2026-04-17
