报告期,报表核心指标,*净利润,*营业总收入,*营业支出,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,利息净收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,投资收益,其中：对联营企业和合营企业的投资收益,公允价值变动收益,汇兑收益,其他业务收入,二、营业支出,营业税金及附加,业务及管理费,资产减值损失,信用减值损失,三、营业利润,加：营业外收入,减：营业外支出,四、利润总额,减：所得税费用,五、净利润,归属母公司所有者的净利润,少数股东损益,扣除非经常性损益后的利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2020-12-31,,289.28亿,1535.42亿,1166.33亿,289.28亿,288.40亿,,1535.42亿,1535.42亿,1134.70亿,2010.07亿,875.37亿,296.61亿,394.76亿,98.15亿,99.21亿,False,-6.14亿,7.62亿,1.11亿,1166.33亿,15.25亿,446.90亿,8.07亿,696.11亿,369.09亿,7700.00万,2.32亿,367.54亿,78.26亿,289.28亿,289.28亿,False,288.40亿,,1.40,1.40,-18.52亿,-18.52亿,270.76亿,False,False
2020-09-30,,223.98亿,1165.64亿,876.41亿,223.98亿,223.16亿,,1165.64亿,1165.64亿,845.59亿,1501.86亿,656.27亿,228.34亿,304.38亿,76.04亿,83.03亿,False,-4900.00万,6.83亿,6200.00万,876.41亿,11.56亿,320.95亿,6.49亿,537.41亿,289.23亿,5300.00万,1.50亿,288.26亿,64.28亿,223.98亿,223.98亿,False,223.16亿,,1.11,1.11,-15.02亿,-15.02亿,208.96亿,False,False
2020-06-30,,136.78亿,783.28亿,606.69亿,136.78亿,135.86亿,,783.28亿,783.28亿,555.80亿,1002.61亿,446.81亿,144.47亿,190.80亿,46.33亿,80.25亿,False,-4.93亿,5.48亿,4400.00万,606.69亿,7.98亿,213.80亿,6.37亿,378.54亿,176.59亿,2800.00万,1.00亿,175.87亿,39.09亿,136.78亿,136.78亿,False,135.86亿,,0.66,0.66,-1.56亿,-1.56亿,135.22亿,False,False
2020-03-31,,85.48亿,379.26亿,269.28亿,85.48亿,85.06亿,,379.26亿,379.26亿,274.31亿,505.38亿,231.07亿,70.27亿,89.20亿,18.93亿,38.02亿,False,-9.49亿,5.10亿,2500.00万,269.28亿,4.02亿,105.98亿,4.15亿,155.13亿,109.98亿,1800.00万,5800.00万,109.58亿,24.10亿,85.48亿,85.48亿,False,85.06亿,,0.40,0.40,17.02亿,17.02亿,102.50亿,False,False
2019-12-31,,281.95亿,1379.58亿,1016.69亿,281.95亿,280.86亿,,1379.58亿,1379.58亿,899.61亿,1775.49亿,875.88亿,367.43亿,459.03亿,91.60亿,97.10亿,False,4900.00万,11.96亿,1.10亿,1016.69亿,12.90亿,408.52亿,10.56亿,584.71亿,362.89亿,9900.00万,1.48亿,362.40亿,80.45亿,281.95亿,281.95亿,False,280.86亿,,1.54,1.45,15.28亿,15.28亿,297.23亿,False,False
2019-09-30,,236.21亿,1029.58亿,722.45亿,236.21亿,235.27亿,,1029.58亿,1029.58亿,662.69亿,1318.13亿,655.44亿,278.31亿,345.34亿,67.03亿,77.17亿,False,-1.83亿,10.98亿,6600.00万,722.45亿,9.52亿,302.97亿,4.17亿,405.79亿,307.13亿,6200.00万,9900.00万,306.76亿,70.55亿,236.21亿,236.21亿,False,235.27亿,,1.32,1.32,11.89亿,11.89亿,248.10亿,False,False
2019-06-30,,154.03亿,678.29亿,477.92亿,154.03亿,153.16亿,,678.29亿,678.29亿,436.39亿,871.11亿,434.72亿,183.91亿,225.55亿,41.64亿,49.38亿,False,1.44亿,5.30亿,3900.00万,477.92亿,6.07亿,199.81亿,3.94亿,268.10亿,200.37亿,3900.00万,7300.00万,200.03亿,46.00亿,154.03亿,154.03亿,False,153.16亿,,0.85,0.78,7.97亿,7.97亿,162.00亿,False,False
2019-03-31,,74.46亿,324.76亿,228.09亿,74.46亿,74.22亿,,324.76亿,324.76亿,207.74亿,426.61亿,218.87亿,95.60亿,115.79亿,20.19亿,25.71亿,False,-6.42亿,1.69亿,1700.00万,228.09亿,3.04亿,96.20亿,2.31亿,126.54亿,96.67亿,2900.00万,2500.00万,96.71亿,22.25亿,74.46亿,74.46亿,False,74.22亿,,0.38,0.36,5.99亿,5.99亿,80.45亿,False,False
2018-12-31,,248.18亿,1167.16亿,844.11亿,248.18亿,247.00亿,,1167.16亿,1167.16亿,747.45亿,1628.88亿,881.43亿,312.97亿,393.62亿,80.65亿,91.86亿,False,8.92亿,2.09亿,1.70亿,844.11亿,11.49亿,353.91亿,5700.00万,478.14亿,323.05亿,2800.00万,1.02亿,322.31亿,74.13亿,248.18亿,248.18亿,False,247.00亿,,1.39,1.39,9.12亿,9.12亿,257.30亿,False,False
2018-09-30,,204.56亿,866.64亿,600.50亿,204.56亿,203.47亿,,866.64亿,866.64亿,545.29亿,1216.61亿,671.32亿,237.05亿,289.23亿,52.18亿,70.99亿,False,10.47亿,-4000.00万,1.44亿,600.50亿,8.47亿,255.81亿,5500.00万,335.67亿,266.14亿,1400.00万,6200.00万,265.66亿,61.10亿,204.56亿,204.56亿,False,203.47亿,,1.14,1.14,4.63亿,4.63亿,209.19亿,False,False
