统计时间,全社会用电量,全社会用电量同比,各行业用电量合计,各行业用电量合计同比,第一产业用电量,第一产业用电量同比,第二产业用电量,第二产业用电量同比,第三产业用电量,第三产业用电量同比,城乡居民生活用电量合计,城乡居民生活用电量合计同比,城镇居民用电量,城镇居民用电量同比,乡村居民用电量,乡村居民用电量同比
2006.3,62498690.0,11.81,54743713.0,11.42,1477797.0,11.0,46540433.0,11.31,6725483.0,12.3,7754977.0,14.63,4744547.0,12.3,3010430.0,18.5
2006.4,84665929.0,12.33,74579133.0,12.1,2157486.0,9.65,63716422.0,12.35,8705225.0,10.87,10086796.0,14.09,6111953.0,11.77,3974843.0,17.85
2006.5,107325198.0,12.54,94911451.0,12.36,2930502.0,8.62,81277886.0,12.71,10703063.0,10.79,12413747.0,13.91,7504017.0,11.76,4909730.0,17.37
2006.6,131112297.0,12.89,116317046.0,12.82,3817045.0,9.31,99548409.0,13.28,12951592.0,10.39,14795251.0,13.43,8910446.0,11.36,5884805.0,16.71
2006.7,157118595.0,13.26,139385225.0,13.23,4597724.0,6.61,119208341.0,13.84,15579160.0,10.7,17733370.0,13.52,10688197.0,11.42,7045173.0,16.87
2006.8,183870074.0,13.71,162786138.0,13.77,5548013.0,9.04,138864147.0,14.37,18373978.0,10.85,21083936.0,13.24,12720379.0,11.07,8363557.0,16.7
2006.9,207579799.0,13.7,183130817.0,13.49,6281521.0,9.86,155741581.0,13.88,21107715.0,11.78,24448982.0,15.31,14762462.0,13.01,9686520.0,18.99
2007.10,267267739.0,15.0,237300159.0,15.61,7248841.0,5.16,203647602.0,16.4,26403716.0,12.79,29967580.0,10.37,17847944.0,9.46,12119636.0,11.75
2007.11,295316555.0,14.94,262398279.0,15.46,7874164.0,5.92,225552180.0,16.21,28971935.0,12.56,32918276.0,10.96,19533200.0,9.83,13385078.0,12.64
2007.12,324580000.0,14.42,,,8600000.0,5.2,248470000.0,15.7,31670000.0,12.1,35840000.0,10.6,,,,
2007.2,46772715.0,16.75,41276092.0,18.26,993631.0,6.04,35290871.0,19.73,4991590.0,11.18,5496623.0,6.57,3373852.0,6.35,2122771.0,6.94
2007.3,71891244.0,14.92,63550919.0,15.77,1512134.0,3.5,54700806.0,16.86,7337979.0,10.77,8340325.0,8.85,5043993.0,7.81,3296332.0,10.47
2007.4,97666675.0,15.47,86566143.0,16.11,2231671.0,4.04,74624915.0,17.07,9709557.0,12.02,11100532.0,10.72,6664922.0,9.67,4435610.0,12.34
2007.5,124226708.0,15.83,110513315.0,16.52,3035925.0,2.8,95456036.0,17.57,12021354.0,12.34,13713393.0,10.52,8168285.0,9.5,5545108.0,12.07
2007.6,151495364.0,15.56,135082043.0,16.15,3930971.0,2.67,116638582.0,17.18,14512490.0,12.16,16413321.0,10.97,9744411.0,10.04,6668910.0,12.36
2007.7,181673647.0,15.68,162014935.0,16.3,4865096.0,6.19,139595351.0,17.13,17554488.0,12.91,19658712.0,10.86,11684387.0,9.86,7974325.0,12.36
2007.8,211818168.0,15.2,188502029.0,15.84,5838762.0,5.29,161964032.0,16.71,20699235.0,12.49,23316139.0,10.27,13910398.0,9.44,9405741.0,11.52
2007.9,239528748.0,15.12,212669770.0,15.85,6601096.0,5.4,182395884.0,16.77,23672790.0,12.15,26858978.0,9.63,16031224.0,8.62,10827754.0,11.17
2008.10,289684965.0,8.27,255502057.0,7.63,7485978.0,3.53,218681415.0,7.36,29334638.0,10.85,34182904.0,13.29,20239297.0,12.9,13943605.0,13.85
2008.11,315308897.0,6.67,278070991.0,5.9,8269716.0,3.41,237547382.0,5.35,32253893.0,10.86,37237906.0,12.75,21885434.0,11.69,15352472.0,14.3
2008.12,342680000.0,5.23,302340000.0,4.41,8790000.0,1.85,258630000.0,3.83,34930000.0,9.67,40350000.0,11.83,,,,
2008.2,52393818.0,11.93,45798104.0,11.25,1064133.0,3.75,38925195.0,11.15,5808776.0,13.38,6595714.0,16.93,4030262.0,17.26,2565452.0,16.42
2008.3,81339842.0,13.04,71221612.0,12.16,1648216.0,9.2,61069223.0,11.83,8504173.0,15.2,10118230.0,19.68,6140082.0,20.56,3978148.0,18.34
2008.4,109976481.0,12.71,96659336.0,11.82,2398230.0,8.11,83161591.0,11.61,11099515.0,14.24,13317145.0,19.67,8025126.0,20.61,5292019.0,18.28
2008.5,139561851.0,12.42,123270871.0,11.67,3200881.0,5.58,106421457.0,11.6,13648533.0,13.75,16290980.0,18.41,9744883.0,19.08,6546097.0,17.44
2008.6,169086289.0,11.67,149825415.0,11.08,4130176.0,4.95,129300096.0,11.13,16395143.0,12.28,19260874.0,16.51,11459845.0,18.9,7801029.0,15.94
2008.7,201261857.0,10.91,178684846.0,10.48,5078491.0,4.33,154094751.0,10.61,19511604.0,11.2,22577011.0,14.38,13406624.0,14.34,9170387.0,14.44
2008.8,233243378.0,10.19,206649291.0,9.8,6037254.0,3.09,177559814.0,9.9,23052223.0,10.97,26594087.0,13.28,15787793.0,12.91,10806294.0,13.82
2008.9,262699915.0,9.67,232089984.0,9.26,6808780.0,2.56,198891377.0,9.31,26389827.0,10.76,30609931.0,12.93,18160110.0,12.45,12449821.0,13.63
2009.10,297750357.0,2.79,259738697.0,1.66,8023131.0,7.19,219122084.0,0.21,32593482.0,11.06,38011660.0,11.19,22256808.0,9.94,15754852.0,13.01
2009.11,329907836.0,4.77,288240184.0,3.82,8698456.0,8.09,243787621.0,2.62,35754107.0,11.6,41667652.0,11.87,24368395.0,10.71,17299257.0,13.54
2009.12,364300000.0,5.96,318560000.0,5.14,9470000.0,7.86,269930000.0,4.15,39210000.0,12.11,45710000.0,11.87,,,,
2009.2,49721788.0,-5.22,42330754.0,-7.57,1124080.0,4.88,34931446.0,-10.19,6275228.0,7.66,7391034.0,10.91,4374458.0,7.71,3016576.0,15.89
2009.3,78099006.0,-4.02,66860073.0,-6.02,1746009.0,5.12,55908272.0,-8.21,9205792.0,7.41,11238933.0,9.88,6704764.0,7.91,4534169.0,12.94
2009.4,105588152.0,-4.03,91072735.0,-5.83,2512110.0,4.69,76455398.0,-8.12,12105227.0,9.04,14515417.0,9.1,8609271.0,7.46,5906146.0,11.57
2009.5,134441456.0,-3.66,116685545.0,-5.34,3388670.0,4.81,98496556.0,-7.39,14800319.0,8.21,17755911.0,9.1,10498843.0,7.8,7257068.0,11.04
2009.6,165258812.0,-2.24,144091490.0,-3.79,4348079.0,3.81,121705092.0,-5.73,18038319.0,9.42,21167322.0,9.87,12463996.0,8.68,8703326.0,11.62
2009.7,199466890.0,-0.89,174356911.0,-2.4,5341691.0,5.05,147432460.0,-4.26,21582760.0,10.37,25109979.0,10.99,14762581.0,9.87,10347398.0,12.63
2009.8,234092360.0,0.36,204389050.0,-1.06,6414439.0,6.29,172423000.0,-2.84,25551611.0,10.7,29703310.0,11.39,17459692.0,10.33,12243618.0,12.93
2009.9,266354637.0,1.4,232090085.0,0.04,7246264.0,6.35,195494111.0,-1.67,29349712.0,11.26,34264551.0,11.73,20111081.0,10.53,14153470.0,13.49
2010.1,35310000.0,40.14,,,700000.0,23.5,26240000.0,45.99,3980000.0,25.61,4400000.0,25.9,,,,
2010.10,348456967.0,,305349688.0,,8408435.0,,259259801.0,,37681452.0,,43107279.0,,25230660.0,,17876619.0,
2010.11,382981200.0,,335986208.0,,9145643.0,,285667299.0,,41173266.0,,46994992.0,,27401843.0,,19593149.0,
2010.12,419230000.0,14.56,,,9840000.0,4.68,313180000.0,15.41,44970000.0,14.02,51250000.0,12.02,,,,
2010.2,62635101.0,25.95,54204378.0,28.27,1249739.0,13.36,45537533.0,30.18,7417106.0,20.15,8430723.0,12.8,5042188.0,73.32,3388535.0,12.02
2010.3,96951254.0,24.19,84167100.0,25.72,1904808.0,9.77,71467019.0,27.57,10795273.0,17.47,12784154.0,14.96,7570088.0,14.57,5214066.0,15.54
2010.4,130754672.0,23.85,114061056.0,25.21,2721265.0,8.77,97179210.0,26.97,14160581.0,17.48,16693616.0,15.31,9859169.0,14.8,6834447.0,16.05
2010.5,165746154.0,23.31,145353920.0,24.57,3581450.0,7.12,124424944.0,26.26,17347526.0,17.24,20392234.0,15.01,12019593.0,14.72,8372641.0,15.44
2010.6,200940766.0,21.57,176918733.0,22.69,4511144.0,5.61,151551407.0,24.24,20856182.0,16.19,24022033.0,13.93,14088482.0,13.63,9933551.0,14.37
2010.7,239894884.0,20.25,211510249.0,21.28,5659965.0,6.13,180938304.0,22.69,24911980.0,15.39,28384635.0,13.07,16632704.0,12.77,11751931.0,13.5
2010.8,279487556.0,19.34,245940755.0,20.26,6781994.0,5.85,209581913.0,21.47,29576848.0,15.72,33546801.0,12.97,19674389.0,12.84,13872412.0,13.16
2010.9,314418791.0,18.05,275611010.0,,7663541.0,5.76,233968804.0,19.68,33978665.0,15.77,38807781.0,13.26,22791507.0,,16016274.0,
2011.10,389507778.0,11.87,342138247.0,12.12,8724274.0,4.38,290892113.0,12.16,42521860.0,13.62,47369531.0,10.1,27023253.0,7.42,20346278.0,13.89
2011.11,428350221.0,11.85,376678965.0,12.1,9446585.0,3.77,320650750.0,12.13,46581630.0,13.74,51671256.0,10.05,29453927.0,7.66,22217329.0,13.38
2011.12,469280000.0,11.74,,,10150000.0,3.92,351850000.0,11.88,50820000.0,13.49,56460000.0,10.84,,,,
2011.2,70247639.0,12.32,60534021.0,11.85,1288749.0,3.91,50728528.0,11.41,8516744.0,15.88,9713618.0,15.37,5676539.0,12.88,4037079.0,19.05
2011.3,109110712.0,13.41,94552923.0,13.79,1947585.0,2.47,80245412.0,14.03,12359926.0,14.08,14557789.0,10.85,8429430.0,8.46,6128359.0,14.17
2011.4,146746055.0,11.23,127886364.0,11.25,2785396.0,2.77,108947903.0,11.3,16153065.0,12.91,18859691.0,11.09,10837469.0,7.02,8022222.0,16.85
2011.5,185446727.0,10.79,162580114.0,11.01,3716906.0,8.07,139074416.0,10.61,19788792.0,15.23,22866613.0,8.96,13085225.0,4.79,9781388.0,14.8
2011.6,225150266.0,13.0,198192872.0,12.99,4748260.0,11.93,169607397.0,12.59,23837215.0,16.4,26957394.0,13.06,15356696.0,10.12,11600698.0,16.95
2011.7,268691129.0,11.81,236968169.0,12.1,5912986.0,1.18,202526303.0,11.94,28528880.0,16.38,31722960.0,9.54,18082237.0,7.6,13640723.0,12.25
2011.8,312404020.0,9.09,275100290.0,9.22,7059436.0,2.07,234394503.0,9.42,33646351.0,9.75,37303730.0,8.15,21291025.0,5.49,16012705.0,11.96
2011.9,351566211.0,11.95,308747505.0,12.14,7952426.0,4.53,262350894.0,12.13,38444185.0,13.95,42818706.0,10.61,24439614.0,7.57,18379092.0,14.93
2012.10,408810000.0,4.9,356266133.0,4.11,8670000.0,-0.7,300290000.0,3.2,47310000.0,11.2,52540000.0,10.9,30035340.0,11.1,22507538.0,10.57
2012.11,450280000.0,5.1,393136867.0,4.34,9400000.0,-0.6,331910000.0,3.5,51830000.0,11.2,57140000.0,10.6,32653271.0,10.83,24490611.0,10.21
2012.12,495910000.0,5.5,,,10130000.0,0.0,366690000.0,3.9,56900000.0,11.5,62190000.0,10.7,,,,
2012.2,74970000.0,6.66,63794953.0,5.33,1230000.0,-4.74,53160000.0,4.76,9400000.0,10.27,11170000.0,14.9,6387378.0,12.42,4783050.0,18.39
2012.3,116550000.0,6.8,99722112.0,5.46,1900000.0,-3.0,83850000.0,4.5,13980000.0,13.0,16830000.0,15.5,9686425.0,14.76,7145672.0,16.49
2012.4,155540000.0,6.0,133779956.0,4.61,2670000.0,-4.17,112940000.0,3.67,18170000.0,12.47,21760000.0,15.39,12544192.0,15.74,9219276.0,14.91
2012.5,196180000.0,5.8,170080828.0,4.65,3590000.0,-3.5,144260000.0,3.8,22230000.0,12.4,26100000.0,14.2,14976986.0,14.49,11124974.0,13.77
2012.6,237550000.0,5.5,207188724.0,4.55,4650000.0,-2.0,175800000.0,3.7,26730000.0,12.1,30360000.0,12.7,17328978.0,12.89,13027304.0,12.34
2012.7,283320000.0,5.4,247628527.0,4.47,5890000.0,-0.4,209810000.0,3.6,31930000.0,11.9,35690000.0,12.5,20404907.0,12.83,15288450.0,12.08
2012.8,328280000.0,5.1,286461369.0,4.12,7020000.0,-0.6,241840000.0,3.2,37600000.0,11.7,41820000.0,12.1,23925196.0,12.37,17895281.0,11.75
2012.9,368820000.0,4.8,321028958.0,3.9,7950000.0,-0.3,270230000.0,2.9,42850000.0,11.3,47790000.0,11.6,27372488.0,11.91,20422209.0,11.06
2013.10,438250000.0,7.4,380481268.0,7.05,8550000.0,-0.5,319470000.0,6.7,52460000.0,10.6,57770000.0,9.8,32919817.0,9.29,24849423.0,10.45
2013.11,483100000.0,7.5,,,9350000.0,0.1,353910000.0,6.9,57310000.0,10.8,62540000.0,9.4,,,,
2013.12,532230000.0,7.5,,,10140000.0,0.7,391430000.0,7.0,62730000.0,10.3,67930000.0,9.2,,,,
2013.2,78920000.0,5.48,67238757.0,5.63,1280000.0,4.32,55280000.0,4.21,10680000.0,13.84,11690000.0,4.65,6771882.0,6.1,4913443.0,2.73
2013.3,121390000.0,4.25,104034761.0,4.44,1890000.0,-0.26,86880000.0,3.75,15270000.0,9.22,17350000.0,3.07,9952164.0,2.74,7402141.0,3.52
2013.4,163030000.0,4.86,140777181.0,5.25,2700000.0,1.52,118230000.0,4.71,19850000.0,9.14,22250000.0,2.44,12703593.0,1.58,9548796.0,3.59
2013.5,205730000.0,4.88,178875441.0,5.2,3620000.0,1.13,150980000.0,4.69,24280000.0,9.13,26860000.0,2.81,15307064.0,2.13,11550535.0,3.71
2013.6,249610000.0,5.14,218046211.0,5.32,4610000.0,-0.77,184190000.0,4.88,29250000.0,9.26,31560000.0,3.89,17949453.0,3.52,13612780.0,4.37
