月份,货币和准货币(M2)-数量(亿元),货币和准货币(M2)-同比增长,货币和准货币(M2)-环比增长,货币(M1)-数量(亿元),货币(M1)-同比增长,货币(M1)-环比增长,流通中的现金(M0)-数量(亿元),流通中的现金(M0)-同比增长,流通中的现金(M0)-环比增长
2021年06月份,2317788.36,8.6,1.85671646,637479.36,5.5,3.34793967,84346.97,6.2,0.2010627
2021年05月份,2275538.07,8.3,0.59373625,616828.32,6.1,1.88404651,84177.72,5.6,-1.89462255
2021年04月份,2262107.12,8.1,-0.63173305,605421.89,6.2,-1.7352786,85803.37,5.3,-0.85537193
2021年03月份,2276488.45,9.4,1.80937578,616113.17,7.1,3.8123316,86543.64,4.2,-5.85366703
2021年02月份,2236030.26,10.1,1.03851959,593487.46,7.4,-5.12759042,91924.6,4.2,2.5655273
2021年01月份,2213047.33,9.4,1.20045223,625563.81,14.7,-0.00274625,89625.24,-3.9,6.29868897
2020年12月份,2186795.89,10.1,0.6810922,625580.99,8.6,1.12325552,84314.53,9.2,3.33472192
2020年11月份,2172002.55,10.7,1.03651292,618632.17,10.0,1.5512201,81593.61,10.3,0.68756731
2020年10月份,2149720.42,10.5,-0.66376234,609182.41,9.1,1.14065279,81036.43,10.4,-1.62003873
2020年09月份,2164084.8,10.9,1.27515066,602312.12,8.1,0.17013779,82370.87,11.1,2.90864715
2020年08月份,2136836.91,10.4,0.53534088,601289.1,8.0,1.70781275,80042.71,9.4,0.21974179
2020年07月份,2125458.462,10.7,-0.4445165,591192.6368,6.9,-2.17192478,79867.20837,9.9,0.51322017
2020年06月份,2134948.661,11.1,1.65532755,604317.9685,6.5,3.99354149,79459.40667,9.5,-0.31041635
2020年05月份,2100183.741,11.1,0.31764053,581111.0573,6.8,1.92240098,79706.8297,9.5,-2.18246366
2020年04月份,2093533.829,11.1,0.60600106,570150.4789,5.5,-0.8520659,81485.2149,10.2,-1.85130012
2020年03月份,2080923.411,10.1,2.46662579,575050.2863,5.0,4.04369961,83022.20508,10.8,-5.85669711
2020年02月份,2030830.424,8.8,0.38377083,552700.7291,4.8,1.31412003,88187.05371,10.9,-5.42858426
2020年01月份,2023066.485,8.4,1.84132247,545531.7866,0.0,-5.29112487,93249.1631,6.6,20.80554912
2019年12月份,1986488.82,8.7,1.27760183,576009.15,4.4,2.40408072,77189.47,5.4,4.34701087
2019年11月份,1961429.56,8.2,0.81357964,562486.52,3.5,0.77804305,73973.82,4.8,0.78808754
2019年10月份,1945600.55,8.4,-0.34062944,558143.92,3.3,0.18056031,73395.4,4.7,-0.99062792
2019年09月份,1952250.49,8.4,0.86582927,557137.95,3.4,0.06103828,74129.75,4.0,1.33574163
2019年08月份,1935492.43,8.2,0.83784096,556798.09,3.4,0.67896696,73152.62,4.8,0.63746703
2019年07月份,1919410.82,8.1,-0.10145781,553043.11,3.1,-2.58114649,72689.25,4.5,0.14919891
2019年06月份,1921360.19,8.5,1.59725198,567696.18,4.4,4.28773733,72580.96,4.3,-0.29877006
2019年05月份,1891153.7,8.5,0.34400552,544355.64,3.4,0.69199759,72798.46,4.3,-1.57816265
2019年04月份,1884670.33,8.5,-0.25096748,540614.6,2.9,-1.27122917,73965.76,3.5,-1.30210759
2019年03月份,1889412.14,8.6,1.17727144,547575.54,4.6,3.86673523,74941.58,3.1,-5.71574008
2019年02月份,1867427.45,8.0,0.07996633,527190.48,1.6,-3.38098968,79484.72,-2.4,-9.12980839
2019年01月份,1865935.33,8.4,2.14540788,545638.46,0.4,-1.09617583,87470.62,17.2,19.48166599
