报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息、手续费及佣金的现金,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付利息、手续费及佣金的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,发行债券收到的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,待摊费用减少,预提费用增加,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,间接法-现金及现金等价物净增加额
2020-12-31,,998.92亿,-161.61亿,159.44亿,1034.01亿,2789.50亿,,,3356.75亿,110.12亿,151.40亿,2184.84亿,469.96亿,6536.12亿,4056.11亿,False,801.85亿,178.29亿,245.25亿,236.57亿,6697.73亿,-161.61亿,,6619.67亿,369.42亿,3.77亿,6992.86亿,6798.52亿,34.90亿,False,6833.42亿,159.44亿,,8065.70亿,8065.70亿,6943.80亿,59.24亿,False,7031.69亿,1034.01亿,-32.92亿,998.92亿,1790.58亿,2789.50亿,,,289.28亿,8.07亿,41.94亿,10.59亿,6.30亿,2600.00万,False,7.16亿,False,-337.54亿,-36.88亿,False,False,-4830.76亿,3825.15亿,False,False,False,-161.61亿,,,38.05亿,54.59亿,2751.45亿,1735.99亿,998.92亿
2020-09-30,,1140.13亿,306.98亿,160.75亿,686.44亿,2930.71亿,,,1676.97亿,88.50亿,294.50亿,1632.85亿,561.90亿,5126.67亿,3036.39亿,False,609.63亿,140.58亿,203.80亿,183.99亿,4819.69亿,306.98亿,,5346.95亿,289.47亿,2.54亿,5638.96亿,5461.26亿,16.95亿,False,5478.21亿,160.75亿,,5899.68亿,5899.68亿,5114.50亿,77.58亿,False,5213.24亿,686.44亿,-14.04亿,1140.13亿,1790.58亿,2930.71亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2020-06-30,,185.97亿,-256.66亿,-7.92亿,441.93亿,1976.55亿,,,729.98亿,62.05亿,False,1061.46亿,712.59亿,3222.08亿,2057.16亿,False,403.75亿,105.14亿,153.80亿,109.92亿,3478.74亿,-256.66亿,,3712.09亿,196.44亿,1.14亿,3909.67亿,3909.77亿,7.82亿,False,3917.59亿,-7.92亿,,3524.24亿,3524.24亿,2996.80亿,71.28亿,False,3082.31亿,441.93亿,8.62亿,185.97亿,1790.58亿,1976.55亿,,,136.78亿,6.37亿,20.38亿,4.68亿,2.70亿,1400.00万,False,12.68亿,False,-186.98亿,-24.50亿,False,False,-2207.29亿,1522.37亿,False,False,False,-256.66亿,,,48.78亿,54.59亿,1927.77亿,1735.99亿,185.97亿
2020-03-31,,-12.18亿,180.06亿,-23.80亿,-174.56亿,1778.40亿,,,1388.70亿,91.31亿,False,507.78亿,493.02亿,2649.43亿,1298.73亿,False,199.22亿,74.15亿,22.14亿,77.97亿,2469.37亿,180.06亿,,1761.30亿,91.77亿,4.04亿,1857.11亿,1875.40亿,5.51亿,False,1880.91亿,-23.80亿,,1965.71亿,1965.71亿,2126.30亿,8.74亿,1700.00万,2140.27亿,-174.56亿,6.12亿,-12.18亿,1790.58亿,1778.40亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2019-12-31,,172.57亿,-400.25亿,-1020.56亿,1586.67亿,1790.58亿,,,2858.50亿,False,13.11亿,2015.27亿,463.86亿,5872.14亿,3741.97亿,False,809.89亿,180.90亿,228.79亿,260.83亿,6272.39亿,-400.25亿,,4357.11亿,309.34亿,1.64亿,4668.09亿,5653.12亿,35.53亿,False,5688.65亿,-1020.56亿,,6093.28亿,6093.28亿,4453.44亿,33.64亿,False,4506.61亿,1586.67亿,6.71亿,172.57亿,1618.01亿,1790.58亿,,,281.95亿,10.56亿,36.96亿,13.07亿,5.97亿,2100.00万,False,6.60亿,False,-325.69亿,-57.66亿,False,False,-4164.97亿,3066.00亿,False,False,False,-400.25亿,,,54.59亿,50.15亿,1735.99亿,1567.86亿,172.57亿
2019-09-30,,-30.45亿,844.80亿,-788.09亿,-105.27亿,1587.56亿,,,2037.92亿,False,8.27亿,1482.45亿,489.15亿,4636.57亿,1885.71亿,False,604.63亿,145.22亿,183.12亿,221.63亿,3791.77亿,844.80亿,,3323.61亿,226.73亿,8700.00万,3551.21亿,4320.52亿,18.78亿,False,4339.30亿,-788.09亿,,3006.71亿,3006.71亿,3039.84亿,58.61亿,False,3111.98亿,-105.27亿,18.11亿,-30.45亿,1618.01亿,1587.56亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2019-06-30,,-2.21亿,264.32亿,-544.09亿,277.25亿,1615.80亿,,,1008.83亿,False,False,986.94亿,97.26亿,2427.18亿,1069.21亿,False,375.47亿,112.36亿,141.74亿,198.03亿,2162.86亿,264.32亿,,1520.78亿,152.59亿,6000.00万,1673.97亿,2208.48亿,9.58亿,False,2218.06亿,-544.09亿,,1845.53亿,1845.53亿,1509.40亿,51.63亿,False,1568.28亿,277.25亿,3100.00万,-2.21亿,1618.01亿,1615.80亿,,,154.03亿,3.94亿,16.49亿,5.92亿,2.53亿,1000.00万,False,-8.44亿,False,-158.84亿,-25.29亿,False,False,-1147.63亿,1081.41亿,False,False,False,264.32亿,,,51.43亿,50.15亿,1564.37亿,1567.86亿,-2.21亿
2019-03-31,,391.62亿,531.84亿,-317.90亿,189.23亿,2009.63亿,,,690.10亿,False,False,500.04亿,17.90亿,1877.91亿,658.41亿,False,171.11亿,75.95亿,53.47亿,54.28亿,1346.07亿,531.84亿,,1053.13亿,75.00亿,2.38亿,1130.51亿,1444.32亿,4.09亿,False,1448.41亿,-317.90亿,,781.54亿,781.54亿,583.57亿,8.74亿,False,592.31亿,189.23亿,-11.55亿,391.62亿,1618.01亿,2009.63亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2018-12-31,,247.77亿,-573.23亿,613.82亿,190.21亿,1618.01亿,,,845.69亿,167.91亿,False,1801.18亿,532.67亿,4362.78亿,2871.46亿,False,764.38亿,161.94亿,221.55亿,176.24亿,4936.01亿,-573.23亿,,4403.02亿,263.72亿,9200.00万,4667.66亿,4007.65亿,46.19亿,False,4053.84亿,613.82亿,,7655.79亿,7655.79亿,7433.49亿,32.09亿,False,7465.58亿,190.21亿,16.97亿,247.77亿,1370.24亿,1618.01亿,,,248.18亿,5700.00万,11.43亿,8.88亿,4.34亿,1200.00万,False,-49.30亿,False,-289.23亿,-32.59亿,False,False,-2196.92亿,1094.69亿,False,False,False,-573.23亿,,,50.15亿,42.26亿,1567.86亿,1327.98亿,247.77亿
2018-09-30,,275.86亿,-113.10亿,739.59亿,-370.81亿,1646.10亿,,,1047.30亿,189.60亿,False,1337.40亿,205.39亿,3812.32亿,2503.40亿,False,567.60亿,129.31亿,200.11亿,381.53亿,3925.42亿,-113.10亿,,3489.14亿,210.81亿,1.08亿,3701.03亿,2946.26亿,15.18亿,False,2961.44亿,739.59亿,,5811.79亿,5811.79亿,6125.40亿,57.20亿,False,6182.60亿,-370.81亿,20.18亿,275.86亿,1370.24亿,1646.10亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2018-06-30,,838.83亿,74.55亿,665.07亿,94.03亿,2209.07亿,,,819.25亿,119.94亿,False,919.48亿,247.00亿,2768.47亿,1652.95亿,False,351.46亿,96.47亿,160.40亿,335.81亿,2693.92亿,74.55亿,,2416.74亿,144.24亿,1.07亿,2562.05亿,1890.16亿,6.82亿,False,1896.98亿,665.07亿,,4010.45亿,4010.45亿,3907.68亿,8.74亿,False,3916.42亿,94.03亿,5.18亿,838.83亿,1370.24亿,2209.07亿,,,133.72亿,6200.00万,5.11亿,3.71亿,2.26亿,400.00万,False,-34.78亿,False,-152.34亿,-6.61亿,False,False,-1073.40亿,895.53亿,False,False,False,74.55亿,,,37.86亿,42.26亿,2171.21亿,1327.98亿,838.83亿
2018-03-31,,538.64亿,414.42亿,32.22亿,105.02亿,1908.87亿,,,592.27亿,142.45亿,False,445.00亿,209.40亿,1830.47亿,False,786.39亿,156.58亿,66.49亿,25.78亿,68.70亿,1416.05亿,414.42亿,,1132.66亿,72.81亿,False,1205.47亿,1172.98亿,2700.00万,False,1173.25亿,32.22亿,,1992.53亿,1992.53亿,1872.00亿,15.51亿,False,1887.51亿,105.02亿,-13.02亿,538.64亿,1370.23亿,1908.87亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
