代码,名称,送转股份-送转总比例,送转股份-送转比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
300765,新诺威,2.0,,2.0,3.2,0.008283717318,0.6533,4.338110332602,0.918093299945,2.180318464838,4.031426720063,1170742154,2024-03-15,2024-04-24,2024-04-25,实施分配,2024-04-19
300456,赛微电子,,,,0.35,0.001947690595,0.14,7.037656609494,5.505601544723,0.613084374751,241.23712467239,732213134,2024-03-27,2024-04-26,2024-04-29,实施分配,2024-04-19
002419,天虹股份,,,,1.6,0.030828516378,0.1939,3.600528987116,0.972143034942,1.132021165032,88.752597759428,1168847750,2024-03-15,2024-04-25,2024-04-26,实施分配,2024-04-19
688586,江航装备,,,,1.3,0.014054054054,0.24,3.130203263909,1.198801088253,0.785627779627,-20.904114892344,791339156,2024-03-15,2024-04-24,2024-04-25,实施分配,2024-04-19
002469,三维化学,,,,3.0,0.050675675676,0.43,4.189009303633,0.995163244938,1.94949719325,3.095508032951,648862630,2024-03-22,2024-04-25,2024-04-26,实施分配,2024-04-19
300896,爱美客,4.0,,4.0,23.23,0.007821285479,8.6,29.33972211125,15.989126066371,13.685115352237,47.082657949706,216360000,2024-03-20,2024-04-26,2024-04-29,实施分配,2024-04-19
920139,华岭股份,,,,0.59,0.00595358224,0.28,4.18,1.83247158557,1.126775797039,7.1496977676,266800000,2024-03-22,2024-04-25,2024-04-26,实施分配,2024-04-19
300294,博雅生物,,,,3.0,0.009563277016,0.47,14.516150514947,8.057525403544,4.958625111403,-45.056238333084,504248738,2024-03-23,2024-04-25,2024-04-26,实施分配,2024-04-19
002920,德赛西威,,,,8.4,0.007116834703,2.81,14.327834340498,4.727801927684,8.15372670273,30.570247084402,555006100,2024-03-28,2024-04-26,2024-04-29,实施分配,2024-04-20
600976,健民集团,,,,12.0,0.021242697823,3.41,14.652715659009,3.394320958927,9.346512960809,27.782967232864,153398600,2024-03-16,2024-04-25,2024-04-26,实施分配,2024-04-20
002381,双箭股份,,,,2.5,0.030303030303,0.59,5.105298726872,1.380149076916,2.227552457019,112.599406572694,411576821,2024-03-28,2024-04-26,2024-04-29,实施分配,2024-04-20
002865,钧达股份,,,,7.461764,0.014333008068,3.83,20.709556860529,13.169786177966,6.485573552989,13.766064345794,228556116,2024-03-13,2024-04-25,2024-04-26,实施分配,2024-04-20
001368,通达创智,,,,8.0,0.037523452158,0.96,12.569542907054,8.276327995357,2.90009289,-23.183556006974,113867600,2024-03-28,2024-04-26,2024-04-29,实施分配,2024-04-20
002791,坚朗五金,,,,1.0,0.003211303789,1.01,15.82450105511,3.631700693382,10.672896153418,393.894116317318,321540000,2024-03-27,2024-04-26,2024-04-29,实施分配,2024-04-20
600577,精达股份,,,,1.3,0.028697571744,0.21,2.491736744643,0.186031296748,1.208459161662,11.840035514146,2079656928,2024-03-19,2024-04-25,2024-04-26,实施分配,2024-04-20
920879,基康技术,,,,2.5,0.028248587571,0.52,3.98,2.152460292198,0.828110034027,20.007648577145,139497776,2024-03-29,2024-04-29,2024-04-30,实施分配,2024-04-22
601126,四方股份,,,,6.0,0.038910505837,0.75,5.083298264971,1.900955835703,1.857200951408,15.462046085995,832251000,2024-03-20,2024-04-25,2024-04-26,实施分配,2024-04-22
920982,锦波生物,3.0,,3.0,10.0,0.004464285714,4.64,14.01,4.85903062891,7.647862949064,174.601572966209,68086000,2024-03-20,2024-04-26,2024-04-29,实施分配,2024-04-22
920971,天马新材,,,,2.5,0.025458248473,0.117,4.11,2.436721801754,0.633487932054,-65.620372179868,106128002,2024-03-26,2024-05-07,2024-05-08,实施分配,2024-04-22
920504,博迅生物,,,,2.0,0.014194464159,0.72,4.45,2.644401892779,0.423556390842,0.986201471421,43333100,2024-03-15,2024-04-29,2024-04-30,实施分配,2024-04-22
301281,科源制药,,,,3.0,0.011507479862,0.76,12.291441938683,8.403076247668,2.45202527925,-15.599492221638,108290000,2024-03-29,2024-04-29,2024-04-30,实施分配,2024-04-22
300638,广和通,,,,3.8,0.023413431916,0.74,4.09122130971,0.89994841333,1.969978138269,54.469172031295,765744029,2024-03-26,2024-04-26,2024-04-29,实施分配,2024-04-22
920225,利通科技,2.0,,2.0,2.0,0.014814814815,1.26,5.58,1.001942162654,3.184416515196,60.779566781356,105765745,2024-03-27,2024-04-29,2024-04-30,实施分配,2024-04-22
