交易所,合约代码,合约名称,品种代码,品种名称,合约乘数,最小跳动,开仓费率,开仓费用/手,平仓费率,平仓费用/手,平今费率,平今费用/手,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,上日结算价,上日收盘价,最新价,成交量,持仓量,1手开仓费用,1手平仓费用,1手平今费用,做多1手保证金,做空1手保证金,1手市值,1Tick平仓盈亏,1Tick平仓净利,2Tick平仓净利,1Tick平仓收益率%,2Tick平仓收益率%,1Tick平今净利,2Tick平今净利,1Tick平今收益率%,2Tick平今收益率%,更新时间
CZCE,CF611,CF611,CF,一号棉花,5,5.0,1e-06,4.31,1e-06,4.31,1e-06,0.0,0.07,0,0.07,0,16475.0,16485.0,16415.0,4450,17912,4.38,4.38,0.07,5745.25,5745.25,82075.0,25.0,16.25,41.25,0.283,0.718,20.56,45.56,0.358,0.793,2026-04-24 15:58:58
CZCE,CF701,CF701,CF,一号棉花,5,5.0,1e-06,4.31,1e-06,4.31,1e-06,0.0,0.07,0,0.07,0,16665.0,16695.0,16645.0,25829,73150,4.38,4.38,0.07,5825.75,5825.75,83225.0,25.0,16.25,41.25,0.279,0.708,20.56,45.56,0.353,0.782,2026-04-24 15:58:58
CZCE,CF703,CF703,CF,一号棉花,5,5.0,1e-06,4.31,1e-06,4.31,1e-06,0.0,0.07,0,0.07,0,16540.0,16580.0,16510.0,171,1068,4.38,4.38,0.07,5778.5,5778.5,82550.0,25.0,16.25,41.25,0.281,0.714,20.56,45.56,0.356,0.788,2026-04-24 15:58:58
CZCE,CJ605,CJ605,CJ,红枣,5,5.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.15,0,0.15,0,8615.0,8585.0,8565.0,3592,11261,3.04,3.04,3.04,6423.75,6423.75,42825.0,25.0,18.91,43.91,0.294,0.684,18.91,43.91,0.294,0.684,2026-04-24 15:58:58
CZCE,CJ607,CJ607,CJ,红枣,5,5.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.09,0,0.09,0,8855.0,8840.0,8775.0,2228,9575,3.05,3.05,3.05,3948.75,3948.75,43875.0,25.0,18.91,43.91,0.479,1.112,18.91,43.91,0.479,1.112,2026-04-24 15:58:58
CZCE,CJ609,CJ609,CJ,红枣,5,5.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.09,0,0.09,0,9110.0,9090.0,9030.0,83363,111575,3.05,3.05,3.05,4063.5,4063.5,45150.0,25.0,18.91,43.91,0.465,1.081,18.91,43.91,0.465,1.081,2026-04-24 15:58:58
CZCE,CJ612,CJ612,CJ,红枣,5,5.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.09,0,0.09,0,9690.0,9680.0,9640.0,314,2418,3.05,3.05,3.05,4338.0,4338.0,48200.0,25.0,18.9,43.9,0.436,1.012,18.9,43.9,0.436,1.012,2026-04-24 15:58:58
CZCE,CJ701,CJ701,CJ,红枣,5,5.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.09,0,0.09,0,9805.0,9800.0,9750.0,2130,11985,3.05,3.05,3.05,4387.5,4387.5,48750.0,25.0,18.9,43.9,0.431,1.001,18.9,43.9,0.431,1.001,2026-04-24 15:58:58
CZCE,CJ703,CJ703,CJ,红枣,5,5.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.09,0,0.09,0,9840.0,9840.0,9780.0,132,511,3.05,3.05,3.05,4401.0,4401.0,48900.0,25.0,18.9,43.9,0.429,0.998,18.9,43.9,0.429,0.998,2026-04-24 15:58:58
CZCE,CY605,CY605,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.2,0,0.2,0,22655.0,22715.0,22665.0,190,1588,1.1,1.1,0.09,22665.0,22665.0,113325.0,25.0,22.8,47.8,0.101,0.211,23.81,48.81,0.105,0.215,2026-04-24 15:58:58
