symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TF2606,20260421,106.225,106.235,106.19,106.215,52549,202884,5581523.055,106.2,106.19,TF
TF2609,20260421,106.015,106.085,106.015,106.035,4151,30832,440223.14,106.035,106.015,TF
TF2612,20260421,106.01,106.045,106.01,106.03,196,1412,20780.76,106.02,105.995,TF
TL2606,20260421,113.33,113.79,113.33,113.78,123372,155815,14011343.86,113.69,113.31,TL
TL2609,20260421,113.04,113.48,113.04,113.48,7937,35869,899475.73,113.41,113.01,TL
TL2612,20260421,113.09,113.44,113.05,113.44,308,1317,34884.47,113.37,112.97,TL
TS2606,20260421,102.568,102.574,102.55,102.572,29046,85292,5957992.4,102.558,102.556,TS
TS2609,20260421,102.554,102.566,102.546,102.564,582,4903,119375.84,102.554,102.548,TS
TS2612,20260421,102.536,102.548,102.536,102.548,126,770,25840.904,102.542,102.536,TS
IC2605,20260422,8183.4,8349.6,8181.0,8345.8,23250,46498,3848796.108,8324.4,8215.4,IC
IC2606,20260422,8100.0,8265.6,8091.0,8264.2,75950,153427,12439129.596,8240.2,8125.0,IC
IC2609,20260422,7934.0,8112.0,7934.0,8108.0,18463,81776,2968793.132,8087.8,7975.8,IC
IC2612,20260422,7808.0,7971.6,7806.6,7962.8,6128,8575,968522.604,7942.6,7835.0,IC
IF2605,20260422,4728.0,4781.2,4722.4,4779.6,17616,36231,2513344.686,4773.0,4739.8,IF
IF2606,20260422,4693.0,4745.6,4688.0,4744.8,51772,141181,7332738.096,4737.4,4705.0,IF
IF2609,20260422,4615.0,4667.0,4609.2,4666.0,11618,69626,1618817.202,4658.8,4626.8,IF
IF2612,20260422,4568.0,4623.6,4565.0,4620.0,5582,7858,769735.92,4611.2,4581.2,IF
IH2605,20260422,2925.4,2932.8,2917.6,2930.0,8579,14410,752986.92,2926.2,2927.8,IH
IH2606,20260422,2913.6,2921.0,2906.2,2917.8,23286,57449,2035292.826,2913.4,2915.8,IH
IH2609,20260422,2877.8,2887.4,2869.4,2883.0,5487,30765,473797.092,2878.6,2878.6,IH
IH2612,20260422,2865.0,2875.2,2858.4,2870.8,1510,2617,129823.176,2867.0,2867.0,IH
IM2605,20260422,8260.0,8438.8,8252.0,8438.8,34283,63242,5734208.016,8414.8,8277.8,IM
IM2606,20260422,8141.0,8326.4,8141.0,8322.8,115334,202394,19024982.052,8301.6,8164.0,IM
IM2609,20260422,7925.6,8104.4,7924.4,8099.0,27275,106860,4381523.796,8082.2,7948.6,IM
IM2612,20260422,7754.0,7904.8,7740.0,7900.0,10921,16849,1712761.276,7881.6,7751.6,IM
T2606,20260422,108.83,108.885,108.775,108.84,85587,349294,9314246.4,108.825,108.74,T
T2609,20260422,108.775,108.775,108.68,108.74,7700,41573,837241.235,108.725,108.645,T
T2612,20260422,108.61,108.66,108.57,108.635,90,1104,9775.82,108.62,108.535,T
TF2606,20260422,106.225,106.28,106.225,106.27,53058,208261,5637660.835,106.26,106.2,TF
TF2609,20260422,106.085,106.13,106.07,106.105,5531,32024,586815.835,106.09,106.035,TF
TF2612,20260422,106.06,106.1,106.045,106.07,102,1445,10819.355,106.085,106.02,TF
TL2606,20260422,114.08,114.37,113.85,114.18,110000,157048,12553463.32,114.08,113.69,TL
TL2609,20260422,113.83,114.06,113.55,113.89,9555,37160,1087644.61,113.79,113.41,TL
TL2612,20260422,113.71,114.02,113.52,113.85,252,1352,28687.33,113.72,113.37,TL
TS2606,20260422,102.576,102.602,102.564,102.596,31707,89042,6505202.48,102.592,102.558,TS
TS2609,20260422,102.566,102.596,102.564,102.596,928,5100,190385.032,102.588,102.554,TS
TS2612,20260422,102.564,102.582,102.562,102.578,189,831,38771.808,102.572,102.542,TS
IC2605,20260423,8357.6,8370.0,8180.0,8265.2,31248,48625,5166208.256,8258.4,8324.4,IC
IC2606,20260423,8288.2,8288.2,8090.0,8177.0,99438,159238,16249382.552,8166.4,8240.2,IC
IC2609,20260423,8115.8,8134.8,7941.0,8028.0,22437,82465,3599453.172,8014.8,8087.8,IC
IC2612,20260423,7971.4,7991.2,7800.0,7889.2,5941,9635,935724.412,7871.4,7942.6,IC
IF2605,20260423,4788.8,4799.6,4734.0,4766.0,25766,40851,3683509.782,4760.0,4773.0,IF
IF2606,20260423,4754.2,4763.0,4691.8,4724.4,70330,141725,9971443.368,4720.2,4737.4,IF
IF2609,20260423,4675.0,4683.0,4608.6,4641.4,15688,68690,2185030.536,4638.4,4658.8,IF
IF2612,20260423,4620.0,4634.4,4557.0,4596.2,5986,8610,825248.946,4591.6,4611.2,IF
IH2605,20260423,2932.4,2936.8,2906.8,2925.8,11779,15488,1032857.466,2923.2,2926.2,IH
IH2606,20260423,2919.0,2924.4,2891.2,2911.2,34040,60680,2970222.186,2909.6,2913.4,IH
IH2609,20260423,2888.0,2888.8,2855.6,2876.0,7556,31538,651097.998,2873.8,2878.6,IH
IH2612,20260423,2868.8,2876.2,2845.4,2866.8,2231,3058,191555.028,2862.0,2867.0,IH
IM2605,20260423,8445.4,8449.6,8261.0,8331.8,46344,67998,7722671.824,8321.0,8414.8,IM
IM2606,20260423,8330.0,8337.0,8144.8,8219.2,150090,209404,24671504.392,8206.0,8301.6,IM
IM2609,20260423,8112.0,8117.0,7932.0,8001.2,36155,108505,5786304.728,7990.2,8082.2,IM
IM2612,20260423,7915.8,7920.0,7740.2,7809.0,13290,19145,2074357.004,7797.6,7881.6,IM
T2606,20260423,108.825,108.84,108.725,108.75,80719,348087,8781210.895,108.765,108.825,T
T2609,20260423,108.73,108.745,108.645,108.65,6422,43583,698058.35,108.675,108.725,T
T2612,20260423,108.585,108.625,108.52,108.54,51,1113,5537.775,108.55,108.62,T
TF2606,20260423,106.26,106.285,106.225,106.24,72314,207339,7683617.425,106.245,106.26,TF
TF2609,20260423,106.1,106.125,106.06,106.065,7157,33967,759312.525,106.075,106.09,TF
TF2612,20260423,106.07,106.1,106.04,106.06,297,1500,31505.21,106.06,106.085,TF
TL2606,20260423,114.05,114.15,113.75,113.83,98250,156013,11190146.25,113.85,114.08,TL
TL2609,20260423,113.73,113.85,113.45,113.56,6836,37933,776546.19,113.56,113.79,TL
TL2612,20260423,113.69,113.81,113.44,113.49,238,1447,27024.47,113.51,113.72,TL
TS2606,20260423,102.594,102.608,102.576,102.596,41441,86564,8503079.112,102.588,102.592,TS
TS2609,20260423,102.6,102.608,102.574,102.586,1594,5765,327059.124,102.582,102.588,TS
TS2612,20260423,102.566,102.584,102.564,102.57,87,834,17847.72,102.57,102.572,TS
IC2605,20260424,8223.2,8276.8,8132.2,8217.4,29084,45063,4768737.56,8241.6,8258.4,IC
IC2606,20260424,8150.8,8193.8,8042.0,8132.8,97813,154408,15866422.804,8158.8,8166.4,IC
IC2609,20260424,7998.6,8046.8,7896.4,7986.0,22943,82830,3653342.956,8013.8,8014.8,IC
IC2612,20260424,7850.6,7902.6,7758.0,7841.2,5873,11168,918307.968,7868.6,7871.4,IC
IF2605,20260424,4755.8,4769.4,4718.0,4752.0,23628,37841,3359877.612,4757.2,4760.0,IF
IF2606,20260424,4712.2,4733.0,4678.6,4713.6,60653,138176,8556197.976,4721.0,4720.2,IF
IF2609,20260424,4632.0,4652.6,4599.6,4635.0,12378,67881,1715811.33,4640.6,4638.4,IF
IF2612,20260424,4584.2,4603.2,4550.6,4588.0,4535,9062,621809.7,4591.8,4591.6,IF
IH2605,20260424,2922.6,2947.0,2909.2,2943.6,10101,13913,887675.112,2943.0,2923.2,IH
IH2606,20260424,2906.8,2934.2,2893.6,2929.0,33589,58743,2938596.6,2929.8,2909.6,IH
IH2609,20260424,2871.0,2896.0,2858.4,2890.0,7343,30559,634170.18,2890.4,2873.8,IH
IH2612,20260424,2862.0,2884.4,2848.4,2877.0,2332,3701,200403.252,2878.4,2862.0,IH
IM2605,20260424,8303.0,8335.0,8225.0,8268.0,45578,67180,7540608.368,8297.8,8321.0,IM
IM2606,20260424,8208.0,8232.0,8115.6,8163.0,143941,209086,23506000.788,8194.8,8206.0,IM
IM2609,20260424,7980.2,8019.0,7904.2,7957.8,31375,106287,4991407.928,7984.8,7990.2,IM
IM2612,20260424,7784.8,7828.0,7717.0,7761.6,14302,23016,2221270.648,7792.0,7797.6,IM
