股票代码,股票简称,公告日期,出质人,质权人,质押数量,占总股本比例,质押解除数量,质押事项,累计质押占总股本比例
300456,赛微电子,2021-09-30,杨云春,光大证券股份有限公司,,1.47,1070.0,本公司控股股东、实际控制人杨云春将2020年10月12日质押给光大证券股份有限公司的10700000股解除质押，解除日期为2021年09月30日。,19.72
300456,赛微电子,2021-09-30,杨云春,光大证券股份有限公司,,0.25,180.0,本公司控股股东、实际控制人杨云春将2020年10月12日质押给光大证券股份有限公司的1800000股解除质押，解除日期为2021年09月30日。,19.72
300459,汤姆猫,2021-09-30,王健,方正证券股份有限公司,,0.005,16.2023,本公司持股5%以上股东王健将2019年06月21日质押给方正证券股份有限公司的162023股解除质押，解除日期为2021年09月27日。,9.04
300459,汤姆猫,2021-09-30,王健,方正证券股份有限公司,,0.018,64.3699,本公司持股5%以上股东王健将2019年06月21日质押给方正证券股份有限公司的643699股解除质押，解除日期为2021年09月23日。,9.04
300459,汤姆猫,2021-09-30,王健,方正证券股份有限公司,,0.002,8.1671,本公司持股5%以上股东王健将2019年06月21日质押给方正证券股份有限公司的81671股解除质押，解除日期为2021年09月28日。,9.04
300459,汤姆猫,2021-09-30,王健,方正证券股份有限公司,,0.009,32.219,本公司持股5%以上股东王健将2019年06月21日质押给方正证券股份有限公司的322190股解除质押，解除日期为2021年09月24日。,9.04
300486,东杰智能,2021-09-30,姚卜文,中信建投证券股份有限公司,,1.48,603.0,本公司控股股东、实际控制人姚卜文将2019年08月26日质押给中信建投证券股份有限公司的6030000股解除质押，解除日期为2021年09月30日。,0.0
300486,东杰智能,2021-09-30,姚卜文,中信建投证券股份有限公司,,1.86,756.0,本公司控股股东、实际控制人姚卜文将2019年08月26日质押给中信建投证券股份有限公司的7560000股解除质押，解除日期为2021年09月30日。,0.0
300486,东杰智能,2021-09-30,姚卜文,国泰君安证券股份有限公司,,1.13,457.5,本公司控股股东、实际控制人姚卜文将2019年03月18日质押给国泰君安证券股份有限公司的4575000股解除质押，解除日期为2021年09月29日。,0.0
300486,东杰智能,2021-09-30,姚卜文,国泰君安证券股份有限公司,,1.66,675.0,本公司控股股东、实际控制人姚卜文将2019年12月27日质押给国泰君安证券股份有限公司的6750000股解除质押，解除日期为2021年09月29日。,0.0
300486,东杰智能,2021-09-30,姚卜文,国泰君安证券股份有限公司,,0.3,120.0,本公司控股股东、实际控制人姚卜文将2020年09月11日质押给国泰君安证券股份有限公司的1200000股解除质押，解除日期为2021年09月29日。,0.0
300486,东杰智能,2021-09-30,姚卜文,中信建投证券股份有限公司,,1.52,616.5,本公司控股股东、实际控制人姚卜文将2019年08月06日质押给中信建投证券股份有限公司的6165000股解除质押，解除日期为2021年09月30日。,0.0
300486,东杰智能,2021-09-30,姚卜文,海通证券股份有限公司,,1.29,525.0,本公司控股股东、实际控制人姚卜文将2020年12月18日质押给海通证券股份有限公司的5250000股解除质押，解除日期为2021年09月29日。,0.0
300486,东杰智能,2021-09-30,姚卜文,国泰君安证券股份有限公司,,0.61,247.5,本公司控股股东、实际控制人姚卜文将2019年03月14日质押给国泰君安证券股份有限公司的2475000股解除质押，解除日期为2021年09月29日。,0.0
300503,昊志机电,2021-09-30,汤丽君,中国中金财富证券有限公司,,2.78,850.0,本公司持股5%以上股东汤丽君将2020年07月08日质押给中国中金财富证券有限公司的8500000股解除质押，解除日期为2021年09月28日。,4.61
300503,昊志机电,2021-09-30,广西昊聚企业管理有限公司,广州市番禺融合小额贷款股份有限公司,369.0,1.21,,本公司大股东一致行动人广西昊聚企业管理有限公司将持有的本公司3690000股流通A股质押给广州市番禺融合小额贷款股份有限公司，质押开始日期为2021年09月29日。,1.21
300503,昊志机电,2021-09-30,汤秀清,湖南兴湘投资有限公司,,0.23,72.82,本公司控股股东、实际控制人汤秀清将2019年02月25日质押给湖南兴湘投资有限公司的728200股解除质押，解除日期为2021年09月28日。,16.58
300503,昊志机电,2021-09-30,汤丽君,广州市番禺融合小额贷款股份有限公司,631.0,2.06,,本公司大股东一致行动人汤丽君将持有的本公司6310000股流通受限股份质押给广州市番禺融合小额贷款股份有限公司，质押开始日期为2021年09月29日。,4.61
300503,昊志机电,2021-09-30,汤秀清,湖南湘江中盈投资管理有限公司,,0.36,109.23,本公司控股股东、实际控制人汤秀清将2019年02月20日质押给湖南湘江中盈投资管理有限公司的1092300股解除质押，解除日期为2021年09月28日。,16.58
300575,中旗股份,2021-09-30,吴耀军,华泰证券股份有限公司,,3.26,675.0,本公司控股股东吴耀军将2020年12月21日质押给华泰证券股份有限公司的6750000股解除质押，解除日期为2021年09月29日。,7.1
300575,中旗股份,2021-09-30,吴耀军,华泰证券股份有限公司,,2.75,570.0,本公司控股股东吴耀军将2021年01月19日质押给华泰证券股份有限公司的5700000股解除质押，解除日期为2021年09月29日。,7.1
300575,中旗股份,2021-09-30,吴耀军,华泰证券(上海)资产管理有限公司,1100.0,5.31,,本公司控股股东吴耀军将持有的本公司11000000股流通A股质押给华泰证券(上海)资产管理有限公司，质押开始日期为2021年09月28日，终止日期为2023年09月28日。,7.1
300575,中旗股份,2021-09-30,吴耀军,华泰证券(上海)资产管理有限公司,370.0,1.79,,本公司控股股东吴耀军将持有的本公司3700000股流通A股质押给华泰证券(上海)资产管理有限公司，质押开始日期为2021年09月28日，终止日期为2023年09月28日。,7.1
300596,利安隆,2021-09-30,天津聚鑫隆股权投资基金有限合伙企业(有限合伙),广发证券股份有限公司,30.85,0.15,,本公司持股5%以上股东天津聚鑫隆股权投资基金有限合伙企业(有限合伙)将持有的本公司308500股质押给广发证券股份有限公司，质押开始日期为2021年09月28日，终止日期为2022年09月28日。,4.44
300596,利安隆,2021-09-30,天津聚鑫隆股权投资基金有限合伙企业(有限合伙),广发证券股份有限公司,,,50.0,本公司持股5%以上股东天津聚鑫隆股权投资基金有限合伙企业(有限合伙)将2020年10月29日质押给广发证券股份有限公司的500000股解除质押，解除日期为2021年09月29日。,4.44
300617,安靠智电,2021-09-30,陈晓晖,海通证券股份有限公司,100.0,0.59,,本公司股东陈晓晖将持有的本公司1000000股流通A股质押给海通证券股份有限公司，质押开始日期为2021年09月29日，终止日期为2022年09月29日。,10.51
300708,聚灿光电,2021-09-30,孙永杰,招商银行股份有限公司温州分行,440.0,0.81,,本公司股东孙永杰将持有的本公司4400000股流通A股质押给招商银行股份有限公司温州分行，质押开始日期为2021年09月29日，终止日期为2024年09月23日。,9.62
300739,明阳电路,2021-09-30,孙文兵,招商证券股份有限公司,,0.91,267.0,本公司股东孙文兵将2020年11月26日质押给招商证券股份有限公司的2670000股流通A股解除质押，解除日期为2021年09月29日。,0.0
300739,明阳电路,2021-09-30,云南润之玺企业管理有限公司,安信证券资产管理有限公司,1000.0,3.39,,本公司控股股东云南润之玺企业管理有限公司将持有的本公司10000000股流通A股质押给安信证券资产管理有限公司，质押开始日期为2021年09月29日。,10.18
300748,金力永磁,2021-09-30,江西瑞德创业投资有限公司,中信银行股份有限公司赣州分行,,0.68,480.0,本公司控股股东江西瑞德创业投资有限公司将2020年10月27日质押给中信银行股份有限公司赣州分行的4800000股解除质押，解除日期为2021年09月29日。,0.68
300769,德方纳米,2021-09-30,吉学文,深圳担保集团有限公司,20.0,0.22,,本公司控股股东、实际控制人吉学文将持有的本公司200000股流通受限股份质押给深圳担保集团有限公司，质押开始日期为2021年09月29日。,3.92
301035,润丰股份,2021-09-30,山东润源投资有限公司,中信银行股份有限公司济南分行,2330.1837,8.44,,本公司控股股东山东润源投资有限公司将持有的本公司23301837股流通受限股份质押给中信银行股份有限公司济南分行，质押开始日期为2021年09月29日，终止日期为2024年12月31日。,8.44
