序号,基金代码,基金简称,单位净值,总募集规模,最近总份额,成立日期,基金经理,更新日期
36,180901,南方润泽科技数据中心REIT,,100000.0,1000000000.0,2025-07-18,冯达、胡阔、王雪,
37,508018,华夏中国交建高速REIT,,100000.0,1000000000.0,2022-04-13,莫一帆、王越、刘伟杰,
38,508009,中金安徽交控REIT,,100000.0,1000000000.0,2022-11-11,吴亚琼、郑霜、郭茂乾,
39,180603,华夏大悦城商业REIT,,100000.0,1000000000.0,2024-09-03,燕莉、吴文婷、苗晓霖(休产假)、张九龙(代理),
40,180602,中金印力消费REIT,,100000.0,1000000000.0,2024-04-16,刘立宇、石健行、郑霜,
41,163003,长信利鑫债券(LOF)C,0.6678,98386.4,983864000.0,2016-06-25,冯彬,2026-04-23
42,007517,博时富淳3个月定开债发起式,1.0204,97637.2,976372000.0,2019-07-18,郭思洁,2026-04-23
43,000497,财通纯债债券A,1.0309,96867.5,968675000.0,2016-01-19,吴伟,2026-04-23
44,508000,华安张江产业园REIT,,96032.6,960326000.0,2021-06-07,叶璟、蒋翼超、杜金鉴,
45,180301,红土创新盐田港REIT,,95363.0,953630000.0,2021-06-07,陈锦达、陈超、林赟聪,
46,508077,华夏基金华润有巢REIT,,94780.3,947803000.0,2022-11-18,李兮、苗晓霖(休假)、所付晶、吕灵卓(代理),
47,164703,汇添富纯债(LOF)A,0.8631,93836.6,938366000.0,2013-11-06,晏建军、曾丽琼,2026-04-23
48,161010,富国天丰强化债券(LOF)A,1.1924,93355.5,933555000.0,2008-10-24,张明凯,2026-04-23
49,166105,信澳鑫安,1.026,93299.3,932993000.0,2012-05-07,杨彬、宋加旺,2026-04-23
50,160128,南方金利定开债券A,1.025,91760.8,917608000.0,2012-05-17,李璇,2026-04-23
51,160617,鹏华丰润债券(LOF),1.1206,90578.8,905788000.0,2010-12-02,吴国杰、祝松,2026-04-23
52,508027,东吴苏园产业REIT,,90000.0,900000000.0,2021-06-07,徐昊、孙野、刘帆,
53,508099,建信中关村产业园REIT,,90000.0,900000000.0,2021-12-03,张湜、王未、史宏艳,
54,508060,南方万国数据中心REIT,,80000.0,800000000.0,2025-07-18,周洪宇、张文全、徐文妹,
55,508078,中航易商仓储物流REIT,,80000.0,800000000.0,2024-12-24,王雨宸、朱小东、文佩,
56,180105,易方达广州开发区高新产业园REIT,,80000.0,800000000.0,2024-08-29,李国正、祖大为、罗宇健,
57,508028,中信建投国家电投新能源REIT,,80000.0,800000000.0,2023-03-20,孙营、刘志鹏、徐程龙,
58,508005,华夏首创奥莱REIT,,80000.0,800000000.0,2024-08-14,张聪、张玮、杨凯,
59,005752,金鹰添盛定期开放债券,1.0227,79814.0,798140000.0,2018-09-26,林暐,2026-04-23
60,161117,易方达永旭定期开放债券,1.041,79022.6,790226000.0,2012-06-19,李一硕,2026-04-23
61,162215,宏利聚利债券(LOF),1.089,74733.5,747335000.0,2011-05-13,李宇璐,2026-04-23
62,508068,华夏北京保障房REIT,,72421.8,724218000.0,2022-08-22,岳洋、王欣悦、张九龙,
63,180201,平安广交投广河高速REIT,,70000.0,700000000.0,2021-06-07,马赛、孙磊、沈荣,
64,180102,华夏合肥高新产园REIT,,70000.0,700000000.0,2022-09-20,燕莉、刘京虎、朱圆芬,
65,161713,招商信用添利债券(LOF)A,1.0566,62876.0,628760000.0,2010-06-25,向霈,2026-04-23
66,508088,国泰海通东久新经济REIT,,61926.3,619263000.0,2022-09-23,张鹏坤、冯晓昀、张晋,
67,508096,中航京能国际能源REIT,,60088.0,600880000.0,2023-03-20,褚西舒、邢薛程、文佩,
68,508019,中金湖北科投光谷REIT,,60000.0,600000000.0,2023-06-09,郭瑜、周嘉辰(休假)、陈茸茸、尚元(代理),
69,180701,银华绍兴原水水利REIT,,60000.0,600000000.0,2024-10-28,杨默、王鹏、林卉、许梁,
70,180401,鹏华深圳能源REIT,,60000.0,600000000.0,2022-07-11,臧钊、刘一璠、王弈哲,
71,180302,华夏深国际REIT,,60000.0,600000000.0,2024-06-25,张九龙、朱昱汀、郑磊,
72,508021,国泰海通临港创新产业园REIT,,58878.9,588789000.0,2022-09-22,苏瑞、胡家伟、刘敏、赵鹏,
73,006289,华夏养老2040三年持有混合(FOF)A,,57336.2,573362000.0,2018-09-13,许利明、孟清扬,
74,164206,天弘添利债券(LOF)C,1.666,50807.5,508075000.0,2015-12-04,杜广,2026-04-23
75,180203,招商高速公路REIT,,50000.0,500000000.0,2024-10-17,朱杰、王路、郑庆铨,
76,508016,华夏华电清洁能源REIT,,50000.0,500000000.0,2025-07-14,陈昂、李新太、张赛,
77,180501,红土创新深圳安居REIT,,50000.0,500000000.0,2022-08-22,裴颖、皮姗姗、胡定雨,
78,508058,中金厦门安居REIT,,50000.0,500000000.0,2022-08-22,李耀光、陈涛、吕静杰,
79,180502,招商基金招商蛇口租赁住房REIT,,50000.0,500000000.0,2024-09-26,郭王炅、任吉伟、陈如琳,
80,508085,华泰苏州恒泰租赁住房REIT,,50000.0,500000000.0,2025-04-25,王轶、陈宇峰、莫丹,
81,180103,华夏杭州和达高科产园REIT,,50000.0,500000000.0,2022-12-16,惠琦（休假）、郑磊、所付晶、朱圆芬（代理）,
82,508022,博时津开科工产业园REIT,,50000.0,500000000.0,2024-08-28,江洲、王敏燕、李瑞伟,
83,508001,浙商沪杭甬REIT,,50000.0,500000000.0,2021-06-07,侯显夫、陈叶玲、韩可,
84,180605,易方达华威农贸市场REIT,,50000.0,500000000.0,2025-01-13,焦瑞鹏、雷昀、李国正,
85,508006,富国首创水务封闭式REIT,,50000.0,500000000.0,2021-06-07,李盛、王刚、张元,
86,508003,中金联东科创REIT,,50000.0,500000000.0,2024-10-17,尚元、吴亚琼、马牧野,
87,180606,中金中国绿发商业REIT,,50000.0,500000000.0,2025-06-19,王琛、杨烁、马牧野,
88,508055,汇添富上海地产租赁住房REIT,,50000.0,500000000.0,2025-03-21,潘德佳、杨振宁、李凯,
89,508069,华夏南京交通高速公路REIT,,50000.0,500000000.0,2024-10-17,惠琦、岳洋、何中值,
90,508008,国金中国铁建高速REIT,,50000.0,500000000.0,2022-06-27,唐耀祥、梁贤超、吴婷,
91,508098,嘉实京东仓储基础设施REIT,,50000.0,500000000.0,2023-01-11,王艺军、魏晨熙、张卓、于金行,
92,162511,国联安双佳信用债券(LOF),0.9653,49086.2,490862000.0,2012-06-04,俞善超,2026-04-23
93,164105,华富强化回报债券,1.6553,45412.8,454128000.0,2010-09-08,尹培俊,2026-04-23
94,164210,天弘同利债券(LOF)C,1.2524,42451.0,424510000.0,2016-09-20,赵鼎龙、程仕湘,2026-04-23
95,161505,银河通利,1.38,42009.2,420092000.0,2012-04-25,何晶、郑可成,2026-04-23
96,180106,广发成都高投产业园REIT,,40000.0,400000000.0,2024-12-06,李文博、杜金鑫、彭翔艺,
97,180306,华夏安博仓储REIT,,40000.0,400000000.0,2025-11-18,郑韬、王江飞、贾瑞,
98,508097,华泰南京建邺REIT,,40000.0,400000000.0,2024-11-11,陆梦琦、肖如嘉、周南,
99,508090,中银中外运仓储物流REIT,,40000.0,400000000.0,2025-06-26,董嘉杰、杜羽、马越,
100,508091,华夏凯德商业REIT,,40000.0,400000000.0,2025-09-16,许兆晗、刘海文、陈倩,
