基金代码,基金简称,2026-04-24-万份收益,2026-04-24-7日年化%,2026-04-24-单位净值,2026-04-23-万份收益,2026-04-23-7日年化%,2026-04-23-单位净值,日涨幅,成立日期,基金经理,手续费,可购全部
000789,易方达龙宝货币A,---,---,---,0.3335,1.2340%,---,---,2014-09-12,梁莹,0费率,购买
004568,长城工资宝货币B,---,---,---,0.3135,1.5870%,---,---,2017-04-20,邹德立 等,0费率,购买
003281,广发活期宝货币B,---,---,---,0.3780,1.4010%,---,---,2016-09-02,温秀娟 等,0费率,购买
003022,建信现金添益货币A,---,---,---,0.3311,1.2240%,---,---,2016-09-02,陈建良 等,0费率,购买
001820,兴全天添益货币A,---,---,---,0.3262,1.2130%,---,---,2015-11-05,王健,0费率,购买
675032,西部利得天添鑫货币B,---,---,---,0.3101,1.1590%,---,---,2016-06-23,张英,0费率,购买
002960,博时合利货币B,---,---,---,0.3403,1.2440%,---,---,2016-08-03,鲁邦旺,0费率,购买
001232,嘉合货币A,---,---,---,0.4275,1.1800%,---,---,2015-05-06,季慧娟 等,0费率,购买
000758,招商招钱宝货币C,---,---,---,0.2637,1.0120%,---,---,2014-08-29,向霈,0费率,购买
000605,银华多利宝货币B,---,---,---,0.3428,1.3520%,---,---,2014-04-25,王树丽 等,0费率,购买
000638,富国富钱包货币A,---,---,---,0.2733,1.0400%,---,---,2014-05-07,张波 等,0费率,购买
000569,鹏华增值宝货币,---,---,---,0.2801,1.0160%,---,---,2014-02-26,叶朝明 等,0费率,购买
005056,东方红货币A,---,---,---,0.3046,1.1290%,---,---,2017-08-25,李燕 等,0费率,购买
005057,东方红货币B,---,---,---,0.3427,1.2690%,---,---,2017-08-25,李燕 等,0费率,购买
005058,东方红货币E,---,---,---,0.3429,1.2690%,---,---,2017-08-25,李燕 等,0费率,购买
