序号,股票代码,股票简称,发行价,最新价,网上-发行中签率,网上-有效申购股数,网上-有效申购户数,网上-超额认购倍数,网下-配售中签率,网下-有效申购股数,网下-有效申购户数,网下-配售认购倍数,总发行数量,开盘溢价,首日涨幅,上市日期
60,301632,广东建科,6.56,20.84,0.0235656875,12435240.85,12316902.0,4243.46,0.02174239,20217420.0,7140.0,4599.31,10466.0,397.865853658537,418.4451,2025-08-12
61,603406,天富龙,23.6,34.15,0.02879541,8844464.05,12614961.0,3472.78,0.01195529,9363670.0,8504.0,8364.5,4001.0,200.805084745763,140.678,2025-08-08
62,301491,汉桑科技,28.91,48.98,0.0173328509,7763869.95,12539810.0,5769.39,0.02675761,5653140.0,6822.0,3737.25,3225.0,216.499481148392,186.7174,2025-08-06
63,001221,悍高集团,15.43,62.64,0.0226333072,11136905.35,14857668.0,4418.27,0.01328368,8132160.0,7127.0,7528.04,4001.0,204.666234607907,418.4705,2025-07-30
64,603262,技源集团,10.88,25.57,0.02959423,9463162.6,12374328.0,3379.04,0.01092759,10983670.0,8067.0,9151.15,5001.0,368.75,274.5404,2025-07-23
65,301609,山大电力,14.66,45.74,0.0183847511,9634887.05,12493731.0,5439.29,0.02277103,8315170.0,7098.0,4391.54,4072.0,498.226466575716,356.0027,2025-07-23
66,600930,华电新能,3.18,6.26,0.56373573,38929890.05,11491780.0,177.39,0.10217857,101312500.0,4883.0,978.68,496894.4214,72.955974842767,125.7862,2025-07-16
67,301630,同宇新材,84.0,228.98,0.0114103361,8763983.7,11335866.0,8763.98,,,,,1000.0,114.285714285714,128.0476,2025-07-10
68,688729,屹唐股份,8.45,23.07,0.05211051,12066375.7,5107210.0,1919.0,0.04270017,35625720.0,5527.0,2341.91,29556.0,210.059171597633,174.5562,2025-07-08
69,001388,信通电子,16.42,37.47,0.0237402601,10513785.4,12761361.0,4212.25,0.01007498,6193560.0,7058.0,9925.58,3900.0,265.408038976857,286.3581,2025-07-01
70,603400,华之杰,19.88,65.39,0.02490265,6425019.85,11054785.0,4015.64,0.00924742,4325530.0,7324.0,10813.83,2500.0,206.841046277666,170.9759,2025-06-20
71,301678,新恒汇,12.8,59.0,0.0209420064,11438970.8,11697285.0,4775.09,0.02244473,10673150.0,6697.0,4455.39,5988.8867,290.625,229.0625,2025-06-20
72,603382,海阳科技,11.5,26.78,0.03014953,9618888.5,11073718.0,3316.8,0.0090988,7967890.0,7400.0,10990.47,4531.29,186.95652173913,386.6957,2025-06-12
73,688775,影石创新,47.27,192.3,0.03553912,2768779.85,4704681.0,2813.8,0.04403656,5213850.0,4980.0,2270.84,4100.0,285.02221281997,274.4447,2025-06-11
74,603049,中策橡胶,46.5,48.72,0.04799473,12754318.2,10500835.0,2083.56,0.02407784,10895730.0,5969.0,4153.2,8744.856,22.58064516129,6.8387,2025-06-05
75,301590,优优绿能,89.6,182.5,0.0165595188,2561064.75,10708714.0,6038.82,0.02363632,1845330.0,6823.0,4230.78,1050.0,67.421875,68.6384,2025-06-05
76,001390,古麒绒材,12.08,21.45,0.0272158002,14697344.8,13097569.0,3674.34,0.01169226,8552670.0,5971.0,8552.67,5000.0,148.344370860927,164.9007,2025-05-29
77,603014,威高血净,26.5,37.0,0.03215719,8351008.75,11633128.0,3109.72,0.01515032,8259120.0,7555.0,6600.52,4113.9407,88.641509433962,56.2642,2025-05-19
78,301595,太力科技,17.05,44.79,0.0179792135,6549507.85,12017939.0,5561.98,0.02417995,5205760.0,6646.0,4135.66,2707.0,163.929618768328,218.4751,2025-05-19
79,688755,汉邦科技,22.77,37.5,0.03001029,2345862.2,5057087.0,3332.19,0.03368808,3134640.0,5255.0,2968.41,2200.0,115.195432586737,102.4594,2025-05-16
80,301636,泽润新能,33.06,65.38,0.0175741941,4406460.95,10954685.0,5690.16,0.02400323,3425770.0,6715.0,4166.11,1596.6956,98.124621899577,99.516,2025-05-16
81,301560,众捷汽车,16.5,41.26,0.0178732163,6803476.1,11686280.0,5594.96,0.02202679,5520550.0,6664.0,4539.93,3040.0,172.727272727273,179.3939,2025-04-25
82,603202,天有为,93.5,85.45,0.03016703,8653488.2,10986868.0,3314.88,0.01730082,4136820.0,6706.0,5780.07,4000.0,49.732620320856,24.0642,2025-04-24
83,001400,江顺科技,37.36,198.99,0.0117284851,12789375.5,13488892.0,8526.25,,,,,1500.0,126.177730192719,78.5332,2025-04-24
84,301662,宏工科技,26.6,155.83,0.0181968146,4465616.75,11041283.0,5495.47,0.02551307,3332340.0,6209.0,3919.56,2000.0,171.428571428571,165.0752,2025-04-17
85,603120,肯特催化,15.0,38.22,0.02787755,6485505.4,10348112.0,3587.12,0.00878272,5146470.0,7437.0,11386.0,2260.0,266.0,226.0,2025-04-16
86,001335,信凯科技,12.8,45.61,0.0201695398,9294708.85,13812143.0,4957.97,0.01014875,4619180.0,6646.0,9853.43,2343.489,298.4375,312.5781,2025-04-15
87,301665,泰禾股份,10.27,27.01,0.0212962191,6973068.75,11914033.0,4695.67,0.02631295,8892960.0,6499.0,3800.41,4500.0,338.169425511198,289.9708,2025-04-11
88,603210,泰鸿万立,8.6,16.25,0.04050726,14167459.4,11582850.0,2468.69,0.01363071,13207090.0,6945.0,7336.38,8510.0,249.06976744186,253.9535,2025-04-09
89,603257,中国瑞林,20.52,57.19,0.02638517,7549695.95,11540219.0,3790.01,0.00982357,5069440.0,7096.0,10179.6,3000.0,197.514619883041,386.8421,2025-04-08
90,301658,首航新能,11.8,40.95,0.0218772048,7388969.55,11967474.0,4570.97,0.02780227,9018010.0,6253.0,3596.83,4123.7114,238.983050847458,244.4915,2025-04-02
91,301616,浙江华业,20.87,48.16,0.0129252552,15473582.3,12578431.0,7736.79,,,,,2000.0,173.838045040728,149.1136,2025-03-27
92,301535,浙江华远,4.92,19.01,0.0222132412,11200301.55,12747577.0,4501.82,0.02803802,13879230.0,5629.0,3566.59,6379.4118,509.756097560976,389.0244,2025-03-27
93,688757,胜科纳米,9.08,26.8,0.03181202,3256787.95,5521672.0,3143.47,0.04108307,6008380.0,4647.0,2434.09,4033.1149,241.409691629956,202.4229,2025-03-25
94,301629,矽电股份,52.28,316.5,0.0111081899,9390818.9,12210129.0,9002.37,,,,,1043.1819,244.299923488906,202.0849,2025-03-24
95,001382,新亚电缆,7.4,20.23,0.0279503214,15527549.55,14353660.0,3577.78,0.0164928,11277650.0,5824.0,6063.25,6200.0,400.0,304.1892,2025-03-21
96,603124,江南新材,10.54,130.68,0.02663772,8765764.6,11863825.0,3754.07,0.00927818,6332790.0,7269.0,10777.98,3643.63,526.18595825427,606.8311,2025-03-20
97,301501,恒鑫生活,39.92,37.22,0.0181712222,6806091.45,11651177.0,5503.21,0.02811978,4670200.0,6514.0,3556.22,2550.0,119.438877755511,79.0581,2025-03-19
98,301479,弘景光电,41.9,107.55,0.0164483907,4287045.55,11758274.0,6079.62,0.02743972,2897160.0,6513.0,3644.35,1588.6667,210.262529832936,282.0286,2025-03-18
99,603271,永杰新材,20.6,49.78,0.03106689,10135549.25,11389584.0,3218.86,0.01021201,7708570.0,7170.0,9792.39,4920.0,129.611650485437,124.4175,2025-03-11
100,301275,汉朔科技,27.5,39.95,0.0210664131,6416137.35,11713787.0,4746.89,0.02883832,7030750.0,6238.0,3467.61,4224.0,187.927272727273,143.3455,2025-03-11
