序号,股东名称,股东类型,期末持股只数统计-总持有,期末持股只数统计-新进,期末持股只数统计-增加,期末持股只数统计-不变,期末持股只数统计-减少,流通市值统计,持有个股
11,中国国际金融香港资产管理有限公司-客户资金2,QFII,74,71.0,3.0,,,1415978469.794,"600691|潞化科技,600186|莲花控股,002165|红宝丽,600331|宏达股份,600982|宁波能源,300256|星星科技,600308|华泰股份,002433|太安退,600121|郑州煤电,603299|苏盐井神"
12,嘉实基金-农业银行-嘉实中证金融资产管理计划,基金,72,8.0,,64.0,,12658842578.14,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,601901|方正证券,601099|太平洋,000338|潍柴动力,600208|衢州发展,600252|中恒集团"
13,中信里昂资产管理有限公司-客户资金,QFII,72,61.0,5.0,1.0,5.0,6645819981.61,"000821|ST京机,600096|云天化,002274|华昌化工,600186|莲花控股,002067|景兴纸业,601126|四方股份,002335|科华数据,002433|太安退,600773|西藏城投,603299|苏盐井神"
14,中欧基金-农业银行-中欧中证金融资产管理计划,基金,70,8.0,,62.0,,17723577589.52,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,601901|方正证券,600252|中恒集团,600026|中远海能,600320|振华重工,900947|振华B股"
15,大成基金-农业银行-大成中证金融资产管理计划,基金,62,8.0,,54.0,,25809177917.26,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,600019|宝钢股份,601618|中国中冶,600518|康美药业,601018|宁波港,000338|潍柴动力,600252|中恒集团"
16,博时基金-农业银行-博时中证金融资产管理计划,基金,60,9.0,,51.0,,13038979593.02,"601766|中国中车,600010|包钢股份,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,601901|方正证券,601018|宁波港,600252|中恒集团,600320|振华重工"
17,广发基金-农业银行-广发中证金融资产管理计划,基金,53,5.0,,48.0,,13051450776.8,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,600252|中恒集团,600026|中远海能,600320|振华重工,900947|振华B股,002081|金螳螂"
18,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,基金,53,7.0,,46.0,,10081271341.38,"601766|中国中车,600795|国电电力,601186|中国铁建,601618|中国中冶,000338|潍柴动力,600252|中恒集团,600320|振华重工,900947|振华B股,002081|金螳螂,000572|海马汽车"
19,易方达基金-农业银行-易方达中证金融资产管理计划,基金,52,7.0,,45.0,,12252785876.33,"601766|中国中车,600010|包钢股份,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,601018|宁波港,600252|中恒集团,600320|振华重工,900947|振华B股"
20,华夏基金-农业银行-华夏中证金融资产管理计划,基金,52,3.0,,49.0,,24491344370.24,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,600518|康美药业,000338|潍柴动力,600252|中恒集团,600320|振华重工,900947|振华B股"
21,南方基金-农业银行-南方中证金融资产管理计划,基金,51,6.0,,45.0,,13583851842.78,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,600252|中恒集团,600320|振华重工,900947|振华B股,002081|金螳螂,601198|东兴证券"
22,银华基金-农业银行-银华中证金融资产管理计划,基金,50,5.0,,45.0,,11212466737.19,"601766|中国中车,600795|国电电力,601390|中国中铁,601186|中国铁建,601618|中国中冶,601901|方正证券,600252|中恒集团,600320|振华重工,900947|振华B股,601198|东兴证券"
23,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,基金,46,2.0,19.0,,25.0,9935056019.29,"000547|航天发展,600372|中航机载,600118|中国卫星,600760|中航沈飞,002179|中航光电,601698|中国卫通,600316|洪都航空,600685|中船防务,000561|烽火电子,601606|长城军工"
24,全国社保基金四一三组合,社保,43,7.0,16.0,15.0,5.0,5765504292.99,"600642|申能股份,600908|无锡银行,600153|建发股份,600581|*ST八钢,600597|光明乳业,002833|弘亚数控,601928|凤凰传媒,000726|鲁泰A,200726|鲁泰B,600039|四川路桥"
25,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,基金,42,2.0,3.0,36.0,1.0,5700201258.8,"600220|ST阳光,600199|金种子酒,600521|华海药业,002166|莱茵生物,002154|报喜鸟,600718|东软集团,600387|退市海越,002315|焦点科技,002405|四维图新,600528|中铁工业"
26,GOLDMAN SACHS INTL,QFII,42,29.0,4.0,2.0,7.0,4966300599.98,"000488|ST晨鸣,200488|ST晨鸣B,300256|星星科技,601969|海南矿业,600366|宁波韵升,600773|西藏城投,002433|太安退,603861|白云电器,300041|回天新材,000531|穗恒运A"
27,招商证券香港有限公司,券商,42,3.0,17.0,8.0,14.0,4583167562.623,"000625|长安汽车,200625|长安B,000012|南玻A,200012|南玻B,600695|退市绿庭,900919|退市庭B,600295|鄂尔多斯,900936|鄂资B股,000541|佛山照明,200541|粤照明B"
28,MORGAN STANLEY & CO. INTERNATIONAL PLC.,QFII,42,23.0,8.0,1.0,10.0,7595108596.098,"601966|玲珑轮胎,600845|宝信软件,900926|宝信B,000488|ST晨鸣,200488|ST晨鸣B,600653|申华控股,603005|晶方科技,000889|中嘉博创,002908|德生科技,600665|天地源"
29,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,基金,41,9.0,32.0,,,18112777155.56,"688981|中芯国际,688321|微芯生物,688819|天能股份,688001|华兴源创,688169|石头科技,688008|澜起科技,688126|沪硅产业,688088|虹软科技,688111|金山办公,688116|天奈科技"
30,中国工商银行股份有限公司-中欧价值智选回报混合型证券投资基金,基金,41,22.0,17.0,,2.0,12758996710.96,"600166|福田汽车,002236|大华股份,002318|久立特材,601968|宝钢包装,603818|曲美家居,603326|我乐家居,600522|中天科技,603313|梦百合,002214|*ST大立,603757|大元泵业"
31,交通银行股份有限公司-广发中证基建工程交易型开放式指数证券投资基金,基金,40,40.0,,,,4393906396.95,"601618|中国中冶,600170|上海建工,601800|中国交建,601117|中国化学,002663|普邦股份,002717|ST岭南,002047|*ST宝鹰,601611|中国核建,002061|浙江交科,002163|海南发展"
32,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,基金,39,4.0,26.0,,9.0,26647941431.65,"601099|太平洋,601377|兴业证券,601688|华泰证券,601211|国泰海通,601901|方正证券,601162|天风证券,600369|西南证券,002736|国信证券,002500|山西证券,601375|中原证券"
33,中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金,基金,37,22.0,13.0,,2.0,3861346545.1,"002046|国机精工,601778|晶科科技,603055|台华新材,002315|焦点科技,601968|宝钢包装,600821|金开新能,603380|易德龙,603693|江苏新能,003043|华亚智能,605166|聚合顺"
34,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,基金,37,8.0,11.0,,18.0,3720957035.301,"600170|上海建工,600642|申能股份,600649|城投控股,600651|飞乐音响,600827|百联股份,900923|百联B股,600895|张江高科,600597|光明乳业,600284|浦东建设,600626|申达股份"
35,VANGUARD EMERGING MARKETS STOCK INDEX FUND,其他,36,2.0,13.0,12.0,9.0,2120716643.907,"000012|南玻A,200012|南玻B,600611|大众交通,900903|大众B股,000488|ST晨鸣,200488|ST晨鸣B,600845|宝信软件,900926|宝信B,000055|方大集团,200055|方大B"
36,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),基金,34,6.0,9.0,2.0,17.0,14066568461.88,"600208|衢州发展,600984|建设机械,002158|汉钟精机,600729|重庆百货,002507|涪陵榨菜,600845|宝信软件,900926|宝信B,603699|纽威股份,002653|海思科,603960|克来机电"
37,华夏人寿保险股份有限公司-自有资金,保险,34,13.0,11.0,5.0,5.0,17975397408.86,"601117|中国化学,000938|紫光股份,000547|航天发展,600521|华海药业,688276|百克生物,601166|兴业银行,000671|ST阳光城,002638|勤上股份,002092|中泰化学,300587|天铁科技"
38,中国银行股份有限公司-华夏行业景气混合型证券投资基金,基金,34,29.0,5.0,,,4130154620.495,"002291|遥望科技,002865|钧达股份,603825|ST华扬,002312|川发龙蟒,603177|德创环保,600619|海立股份,900910|海立B股,603936|博敏电子,603303|得邦照明,688678|福立旺"
39,澳门金融管理局-自有资金,QFII,33,9.0,8.0,10.0,6.0,10674598036.8,"601100|恒立液压,603179|新泉股份,603699|纽威股份,603650|彤程新材,002507|涪陵榨菜,603520|司太立,603939|益丰药房,601799|星宇股份,600031|三一重工,601155|新城控股"
40,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,基金,33,26.0,4.0,,3.0,3213267865.53,"600673|东阳光,600210|紫江企业,002583|海能达,002741|光华科技,600821|金开新能,600744|华银电力,002876|三利谱,600470|六国化工,601179|中国西电,000027|深圳能源"
41,MERRILL LYNCH INTERNATIONAL,QFII,32,19.0,2.0,,11.0,9602910615.86,"000333|美的集团,601966|玲珑轮胎,000423|东阿阿胶,600753|*ST海钦,688305|科德数控,603628|清源股份,601008|连云港,688191|智洋创新,300973|立高食品,688195|腾景科技"
42,中国华融资产管理股份有限公司,其他,32,7.0,,17.0,8.0,11864449480.54,"600682|南京新百,600760|中航沈飞,600856|退市中天,601368|绿城水务,600456|宝钛股份,603555|ST贵人,600775|南京熊猫,600939|重庆建工,600482|中国动力,300199|翰宇药业"
43,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,其他,31,15.0,5.0,9.0,2.0,44206818420.0,"600079|ST人福,600085|同仁堂,600416|湘电股份,601100|恒立液压,603939|益丰药房,600984|建设机械,600004|白云机场,688768|容知日新,688789|宏华数科,600031|三一重工"
